ரேடியோ அதிர்வெண் முடுக்கிகள், துகள்கள் நேரடியாக முடுக்குகிறது.	Radio athirven mudikkigal, thugalkal neradiyaga mudukukirathu.
அக்காலகட்டத்தில் நீளமான நூல்களை அச்சிடுவதற்கு அதிகப் பொருள் செலவழிக்க வேண்டிய நிலை நிலவியது.	akkalakattathil neelamana noolgalai achyidhuvadariku adhiga porul selavazhika vendiya nilay nilaviyadhu.
நண்பர்கள் உதவியுடன் அவர்கள் வீட்டின் தரையில் படுத்தேன்.	nanbargal udhaviyudan avargal vettin tharaiyil paduthen.
இன்னொரு நட்சத்திரம் புலப்படாதது.	innooru natchathiram pulapadadhu.
இப்படத்தில் இடம் பெற்ற "முதன்முதலில்" என்ற பாடல் 1992 ம் வருடம் இந்தி மொழியில் வெளிவந்த தீவானா என்ற படத்தின் தழுவலாக இருந்தது.	ippadathil idham petra "mudanmudhalill" endra padal 1992 m varudam hindi mozhiyil velivandha deewana endra padathin thazhuvalaga irundhadhu.
வேதம் ஆகியவை தான் அடிப்படையில் வேதங்களாகக் கருதப்பட்டன.	vedham aiyavai than adipadaiyil vethangalaga karudhapattana.
கடற்கொள்ளை மற்றும் 1812 ஆம் ஆண்டுப் போர் ஆகிய இரண்டில் ஏதேனும் ஒன்று காரணமாய் இருக்கலாம் எனக் கூறப்படுகிறது.	kadarkollai matrum 1812 am andhup poorr agiya irandil ethenum onru karanamai irukalam ennak korappadugiradhu.
முடியும்	mudiyum
இந்த நிலையத்தை நங்கநல்லூர், பழவந்தாங்கல், இந்து காலனி, மடிப்பாக்கம், மீனம்பாக்கம் ஆகிய பகுதி மக்கள் பயன்படுத்துகின்றனர்.	indha nilaiyathai nanganallur, pazhavanthangal, hindhu colony, madipakkam, meenampakkam agiya pagudhi makkal payanpaduthuginranar.
இப்பறவையின் கூடுகள் திறந்தே இருப்பதனால் கழுகுகளும், பெரும் புள்ளிப்பருந்துகளும் சிறு குஞ்சுகளை வேட்டையாட இயலுகிறது.	ipparavaiyin koodugal thirandhe irrupathanall kazhugukallum, perum pullipparundhugallum sirru kunjugalai vettaiyada iyalugiradhu.
மாறாக இந்த அமைப்பில் அனைத்துச் சமயங்களின் அரிய கோட்பாடுகள் அமைந்திருந்தன.	marraga indha amaipphil annaithu samaingalin aariya kootpadugal amaindhiruindhana.
ஆபிரகாம் தம் மகனை வெட்டுமாறு தம் கையை நீட்டிக் கத்தியைக் கையிலெடுத்தார்.	aabirham tham magannai vettumaru tham kaiyai neetti kathiyaik kaiyilledhuthar.
இரண்டு முறை வந்தியத்தேவனைச் சந்தித்தும் அவனிடம் குந்தவையால் பேசமுடியவில்லை.	irandhu murrai vandhiyathevanai sandhithum avannidham kunthavaiyal pesamudiyavillai.
மழை அளவு கணிப்பு	mazhai allavu gannippu
மாநிலம் முழுவதிலுமுள்ள அலுவலர்கள் சிறப்பாக வடிவமைக்கப்பட்ட திட்டங்களைத் தீட்டுவதற்காக துறையின் பயிற்சிப் பிரிவு வலுவாக்கப்பட்டது.	maanillam mozhuvathilmulla alluvalargal sirrappaga vadivamaikkapatta thittangalai thittuvatharkaga thuraiyin payirtch pirivu valluvakkapattadhu.
இந்த தாக்குதல் ஆகஸ்ட் 1, 1990ல் அக்கரைப்பற்றில் நடைத்தப்பட்ட தாக்குதலின் தொடர்ச்சியாக கருதப்படுகிறது.	indha thakuthal august 1, 1990il akkaraipattril nadaithappatta thakkuthalin thodaritchiyaaga karuthapadugiradhu.
அத்துடன் சண்டீசன் எனும் பதவியான சிவபெருமானின் ஆடைக்கும், பூசை பொருட்களுக்கும் உரியவரானாக நியமித்தார்.	attudhan sandison ennum padhaviyana sivaperumanin aadaiikkum, poosai porutgalukkum urriyavaranaga niyamithar.
1768:ஆற்காடு நவாப் சேப்பாக்கத்தில், கலச மஹால் கட்டினார்.	1768:arcadu nawab chepakkathil, kalasa mahal kattinar.
சட்டத் தொகுப்பின் கீழ், பின் வருவன மாற்றத்தக்க செலாவணியாகா, அத்தகைய பொருட்களைப் பொறுத்த வரை சட்ட நிர்வாக பொறுப்புகள் இருப்பினும், மாற்றத்தக்க செலாவணியைப் போன்றோ அல்லது அதற்கான பொருந்தும் சட்டத்திலிருந்தோ பெறப்படுவன:	sattath thoguppin kizh, pin varvana mattrathakka sellavanniyaga, athagaiya porutkalai poorutha varai satta nirvaga prouppugal iruppinnum, mattrathakka sellavanniyaip poonroo alladhu atharkana poorundhum sattathillirundhoo perrapaduvana:
இசையைப் பதிவுசெய்ய எந்தவித வசதியும் இல்லாததால், அவர்கள் இசைக்கலவையில் ஒலிகளை வெளிப்படுத்தக்கூடிய ஏற்கனவேயுள்ள முறைகள் குறித்து ஆராய்ச்சி செய்தனர்.	isaiyai padhivusaiya endhavidha vasathiyum illathathall, avargal isaikalavaiyil olligalai velipaduthakodiya errkanavayulla murraigal kurithu aratchi seidhanar.
குழந்தைக்குத் தேவையான ஆக்சிசன் உட்பட்ட அனைத்துத் தேவைகளும் தாயிலிருந்து கிடைத்துக்கொண்டிருக்கும்.	kuzhandhaikku thevaiyana oxygen uttpatta annaithu thevaigalum thaiyilrundhu kidaithukondirukkum.
நீரிழிவு நோய் போன்றவற்றைக் குறைக்கும் மருத்துவப் பண்பு இருப்பதாகச் சொல்லப்படுகிறது.	neerazhivu nooi ponravatrai kuraikkum maruthuva pannbhu iruppadhaga sollapadugiradhu.
யதார்த்தத்தில் சில சுற்றுவட்டப்பாதை அளவுகள் சாத்தியமற்றதாகும்.	etharthathil silla sutruvattapadhai allavugal sathiyamattradhagum.
ஸ்ரீ ராமச்சந்திரா மருந்தியல் கல்லூரி, வேதாரண்யம்	shri ramachandhra marundhiyal kalluri, vedharaniyam
கிரிஸ்டோஃபர் கை கேவ்ரியல் கே என்ற எழுத்தாளருடன் இணைந்து தனது தந்தையின் வெளியாகாத பல படைப்புகளைத் தொகுத்து தி சில்மரிலியன் என்ற பெயரில் 1977ம் ஆண்டு வெளியிட்டார்.	christopher kai kavriyal ke endra ezhuthalarudan innaindhu thanadhu thandhaiyin velliyagatha pala padaippugalai thoguthu the silmariliyan endra peyaril 1977m andhu velliyittar.
அவரது ஆட்சிக் காலத்தில் தமிழகத்தில் பள்ளிகளின் எண்ணிக்கை 27,000 ஆனது.	avaradhu aatchi kallathil tamilazghathil palligalin ennikkai 27,000 anadhu.
திசு கட்டமைப்பில் ஏற்படும் குறைபாடுகளின் காரணமாக உருவாகும் தசைச் சுருக்கமானது, தசை உயிரணுவின் வெளிப்புறச் சவ்வில் பிளவுகளை ஏற்படுத்துவதற்கும், தசை வலுவிழப்பு மற்றும் தசைவளக்கேடு போன்றவற்றை ஏற்படுத்துவதற்கும் காரணமாக அமைகிறது.	thisu kattamaippil erpadum kuraipadugalin karanamaga uruvagum thasai surukkamanadhu, thasai uyiranuvin velipura javvil pillavugalai errpaduthuvatharkum, thasai valuvizhappu matrum thasaivalakedu pondravatrai erpaduvatharkum karanamaga amaigiradhu.
இதனால் கிளைவ் நவாபின் தளபதி மீர் ஜாஃபருடன் ஒரு சதித்திட்டம் தீட்டினார்.	idhanal claiv nawabin thalapathi meer jaffarudan oru sadittam thtinar.
முதல் கின் பேரரசரான கின் சி குவாங்கின் சமாதி லின்டாங் மாவட்டம், சியான்,சான்சி மாகாணத்தில் உள்ளது.	mudhal kin perarasarna kin chi kovankin samadhi lindang maavattam, siyan,sanchi maganathil ulladhu.
யூதர்கள், தாங்கள் வழிபட்டு வந்த யாவே கடவுளின் சட்டங்களுக்கு பதிலாக கிரேக்கர்களின் பண்பாட்டு வழக்கங்களைப் பின்பற்றுமாறு வற்புறுத்தப்பட்டனர்.	yuthargal, thangal vazhipattu vandha yave kadavulin sattangalukku bathilaga greekarkalin pannpattu vazhakangalai pinpattrumaru varpuruthapattanar.
இவர்கள் தமிழ் அல்லது கன்னடம் போன்ற மொழிகளையும் பேசக்கூடியவர்களாக உள்ளனர்.	ivargal tamil alladhu kannadam pondra mozhigalaiyum pesakodiyavargalaga ullanar.
நேபாளத்தின் இரண்டாவது குடியரசுத் தலைவராக 2015இல் தேர்ந்தெடுக்கப்பட்ட இவரே முதல் பெண் குடியரசுத் தலைவருமாவார்.	nepallathin irandavadhu kudiyarasu thalaivaraga 2015ill therindhedukkapatta ivare mudhal penn kudiyarasu thalaivarumavar.
ஆனந்தி மற்றும் கம்மணியின் குடும்பத்தாரோடு நெருக்கமாக உள்ளார்.	annandhi matrum kanmaniyin kudumbatharodu nerukkamaga ullar.
சில இடங்களைப் பொறுத்தவரை விலக்கப்பட்ட மற்ற குழுக்களுக்கும் (கொடிய குற்றங்களுக்காக தண்டனை அளிக்கப்பட்டவர்கள் சில சிறுபான்மைக் குழுக்களின் உறுப்பினர்கள், பொருளாதார ரீதியாக பாதகமான நிலையில் உள்ளவர்கள் போன்றவர்கள்) வாக்குரிமையைப் பரவலாக்குவது என்பது வாக்குரிமை கோரி வாதாடுபவர்களின் முக்கியமான இலக்காக தொடர்ந்து இருந்து வருகிறது.	silla idangalai poruthavarai vellakkapatta matra kuzhukalukkum ( kodiya kutrangalukaga thandanai allikkapattavargal silla sirupanmai kuzhukalin urupinnargal,poruladhara reedhiyaga padagamana milayil ullavargal pondravargal) vakkurimaiyai paravalakuvadhu enpadhu vakkurimai korri vadadhubavargalin mugiyamana illaggaka thodarindhu irundhu varugiradhu.
சிறிய அளவிலான அல்லது கீழ்மட்ட பிழைப்புநிலைச் சமூகங்களில் இயற்கைச் சூழல், அச் சமூகங்களின் சமூக அமைப்பு, மனித நிறுவனங்கள் ஆகியவற்றின் உருவாக்கத்தில் பெரும் பங்களிப்புச் செலுத்துகின்றது.	siriya alavilana alladhu kizhmatta pizhaippnilai samugangallin iyarkai sozhal, ach samogangalin samoga amaippu, manidha niruvanangal agiyavattrin uruvakkathil perum pangalippu seluthukinradhu.
குறிப்பாக தரைக்கு மேலேயுள்ள குகைச் சூழலில், இவை பனித்திவலைப் படிவுகள் என்று பொதுப்பெயரால் அழைக்கப்படுகின்றன.	kurippaga tharaikku meleyulla gugai sozhallil, ivai panithivalai padivukal endru podhupeyaral azhaikkapaduginrana.
வடகிழக்கு இந்தியாவில் வெள்ளம், மண்சரிவினால் குறைந்தது 55 பேர் உயிரிழந்தனர். (ஸ்கை)	vadakizhaku indhiyavil vellam, mannsarivinal kuraindhadhu 55 per uyirrandhanar. (sky)
பிராமணப்பட்டு	bramappattu
சாண்டியாகோ கிரீக் ஓடை எர்வின் நகரில் ஓடுகிறது.	sandiyago greek oodai errvin nagaril odugiradhu.
மேற்கு ஆபிரிக்காவில் எபோலா நோய்ப் பரவல், 2014: சியேரா லியோனியில் மூன்று நாள் ஊரடங்கு தளர்த்தப்பட்டது. (பிபிசி)	merku africavil epallo nooii paraval, 2014; siyera leoniyil mondru nall uradangu thalarthapattadhu. (BBC)
வட இந்தியாவில் ராவல்பிண்டியிலிருந்து குடிபெயர்ந்து ஜம்மு காஷ்மீர் மாநிலத்தில் வாழ்ந்து வந்தவா்கள் தோக்கரா குடும்பத்தினா்.	vada indhiyavil ravapindiyilirindhu kudiperyarundhu jammu kashmir manilathil vazhandhu vandhavargal thokkra kudumbathinar.
தூய்மையான ரேடியம் வெள்ளியைப் போல வெண்மை நிறமுடையதாக உள்ளது.	thoimaiyana radium velliyai polla venmai niramudaiyadhaga ulladhu.
இவருக்கு 2006 இல் அமெரிக்க வானியல் கழகம் 2006 ஆம் ஆண்டுக்கான கல்விப் பரிசை வானியல், விண்வெளி அறிவியல் புலங்களுக்கான தொடர்ந்து பணியாற்றியமைக்காகவும் இவரது தலைமைதாங்கும் திறமைகளுக்காகவும் நல்கியது.	ivarukku 2006 ill america vaniyal kazhagam 2006 am andukana kalvi parisai vaniyal, vinvelli ariviyal pulangalukana thodarindhu panniyariyamaikkagavum ivaradhu thalaimaithangum thiramaigalukkagavum nalgiyadhu.
இசைப்பாட்டு, கூத்து, நாடகம் முதலியவற்றைப் பார்க்காமல் இருத்தல்.	isaippattu, kuthu, nadagam mudaliyavatrai parrkamal iruthal.
அந்நூலில், சிங்கப்பூரின் தலைவரும் முன்னாள் பிரதமருமான லீ குவான் யூ, ஜெயரத்தினம் உள்ளிட்ட எதிரணித் தலைவர்களை ஒழித்துக்கட்ட மேற்கொண்ட முயற்சிகளை விவரித்துள்ளார்.	annoolyil, singaporin thalaivarum munnal prathamarumana lee kuvan yu, jayarathinam ullitta ethirrani thalaivargalai ozithukatta merkonda muyartchigalai vivarithular.
புங்கை மரப்பட்டையை ஒன்றிரண்டாக இடித்து நீர்விட்டு காய்ச்சி வடிகட்டி குடித்து வர மூல நோய் தீரும்.	pungai marapattaiyai onrindaga edithu neervittu kaichi vadikati kudith vara moola nooi theerum.
2011-ஆம் ஆண்டில் பிரான்ஸ் தேசிய காற்பந்து அணிக்காக முதன்முறையாக விளையாடினார்.	2011-am andhil france desiya karpandhu annikaka mudhanmuraiyaga vilaiyadinar.
இவர்கள் பல்வேறு அரசியல் பிரச்சினைகளுக்கும் முகம் கொடுக்கவேண்டியவர்கள் ஆனார்கள்.	ivargal palveru arasiyal prachanaigalukkum mugam kodhukkavendiyavargal aanarrgal.
சயனூரிக் புளோரைடு எளிதில் சயனூரிக் அமிலமாக நீராற்பகுப்பு அடைகிறது.	sayanooric folride ellidhi sayanooric amilamaga neerarpaguppu adaigiradhu.
இந்தச் செயல்படி மிகவும் முக்கியமானதாகும்.	indha seyalpadi migavum mukiayamanadhagum.
இம்முறையில், நாம் எந்த தளத்திற்கு செல்ல விரும்புகிறோமோ அதை பதிவு செய்திட வேண்டும்.	immuraiyil, namm endha thalathirku sella virumbugiramo athai pathivu seithida vendum.
பிரெஞ்சு கணிதவியலாளர் ஹென்றி பிரகார்டின் நினைவாக இம்முக்கோணம் பெயரிடப்பட்டுள்ளது.	france kannidhaviyalar henry brakartin ninaivaga immukonam peyaridapattulladhu.
கத்தோலிக்க திருச்சபையின் சிறப்பு நாள்காட்டி (இந்தியா)	catholica thirusabaiyin sirappu nallkatti (indiya)
உயர்த்தி அல்லது தூக்கி (Elevator) என்பது ஆட்களையோ பொருட்களையோ நிலைக்குத்துத் திசையில் தூக்கிச் செல்லும் ஒரு போக்குவரத்துக் கருவியாகும்.	uyarthi alladhu thookki (Elavator) enbadhu atkalaiyo porutkalaiyo nilaikuthu thisaiyil thookki sellum oru pokuvarathu karuviyagum.
வெள்ளி எழுந்தது, புள் குடம்பையிலிருந்து குரல் எழுப்புகின்றன, பொய்கை மலர்கள் கண் விழித்தன, பைப்பயச் சுடரும்(விண்மீன்களும்) சுருங்கின, முரசும் வலம்புரியும் ஆர்க்கின்றன - இப்படி இரவுப் புறங்கண்ட காலை தோன்றிற்று என்று கூறி அரசனை புலவர் துயில் எழுப்புகிறார்.	velli ezhuthadhu, pull kudambaiyilirundhu kural ezhuppginrana. Pooigai malargal kann vizhithana, paipyatch sudarum(vinmiingalum) surungina, murasum valampuriyum aarikkinrana - eppadi iravu purankanda kalai thondrirru endru koori arasanai pulavar thooyil ezhuppgirar.
திருவஞ்சனம் தம்பதியினரின் புதல்வியாக பிறந்த தங்கேஸ்வரி கன்னங்குடா மகாவித்தியாலயத்தில் ஆரம்ப கல்வியைப் பெற்றார்.	thiruvanchanam thambathiyinarin pudhalviyaga pirandha thangeshwari kannankuda mahavidhalayathi arambha kalviyai petrar.
இந்‌நிலை அதிக சட்டஞ்சார் (legal) மதிப்புடையது. ஏனெனில் இது பார்க்க கற்பழிப்பு மரணத்தை ஒத்திருக்கும்.	innilai adiga sattanchar (legal) madippudaiyadhu. Ennenil idhu paarrika karpazhippu maranathai othirrukum.
ஆள்களின் உருவச் சித்திரங்கள் ஆக்குதல், நிலப் பரப்பைச் சித்தரித்தல் போன்ற முயற்சிகள் நிகழ்ந்தன.	aatkalin uruva chithirangal aagudhal, nilla paraipai sitharithal pondra muyartchigal nigazhindhana.
1992 ஆம் ஆண்டு, லிஸ்பனில், பிரீட்டாஸ் மாகல்ஹேயஸ் போன்ற வேறும் சிலருடன் சேர்ந்து பண்பாட்டுப் பதுகாப்புக்கான தேசிய முன்னணி என்னும் இயக்கத்தைத் தொடங்கினார்.	1992 am andhu, lizbanil, pirrittos magalhayas pondra verum sillarudhan serindhu pannpattu padukappukana desiya munnanni ennum iyagathai thodanginar.
சில ஒரேதளத்தில் இருக்கலாம்; செட்லாந்திலுள்ள மாவிசு கிரைண்டு இத்தகையதாகும்.	silla orethalathill irukkalam; setlandhilulla mavisu giraindu ithagaiyathagum.
முல்லை மரத்தை வட்டமிட்டுச் சென்றது கொக்கு.	mullai marathai vatammittu senradhu kokku.
1899 ஆம் ஆண்டு முதல் 1923 ஆம் ஆண்டு வரை உத்தரப் பிரதேசத்தின் கிழக்குப்பகுதி பள்ளிகளில் ஆசிரியர் பணிகளில் இருந்தார்.	1899 am andhu mudhal 1923 am andhu varai uttara pradesathin kizhakupaduthi palligalin aasiriyar panigalill irundhar.
சிறந்த பேச்சாளர்.	sirandha pessalar.
உள்கட்டமைப்பு தனிமங்கள் குறிப்பிடப்படும் வகையில் சேதம் அல்லது அழிவுக்கு உட்பட்டு, அதனால் சார்ந்திருக்கும் நிறுவனம் அல்லது அமைப்பிற்குத் தீவிரமான தடங்கலை ஏற்படுத்துமேயானால், அவற்றை வேறுபடுத்துவதற்காக நெருக்கடியான உள்கட்டமைப்பு என்ற சொல் பரவலாகக் கடைப்பிடிக்கப்படுகிறது.	ullkattamaippu thanimangal kurippidapadhum vagaiyil desam alladhu azhivuku utpatu, adhanal saarindhiruigum niruvanam alladhu amaipirkku thiviramana thadangalai erpaduthumeyanal, avatrai verupaduthuvatharkaga nerukkadiyana ullkattamaippu endra soll paravalaga kadaippidikkapadugiradhu.
இவரும் இசுக்கொட்லாந்திய அரசராக விரும்பியவர்.	ivarum isukkottlandiya arasaraga virumbiyavar.
"ஓரியோலிடெ" குடும்பத்தில் மூன்று இனங்கள் உள்ளன.	"ooreyolide" kudumbathil mondru enangal ullana.
விசயன் தீவுக்கூட்ட மொழிகளுள் இதுவே அதிகமானோர் பேசும் மொழியாகும்.	visayan theivukkutta mozhigalull idhuve adhigamanor pesum mozhiyagum.
கட்டிடக்கலை வரைபடங்கள் பல வகைகளாக உள்ளதுடன் அவை பல்வேறு நோக்கங்களுக்காகவும் வரையப்படுகின்றன.	kattitakalai varaipadangal pala vagaigalaga ulladhudan avai palveru nookkangalukkagavum varaiyapaduginrana.
இது சனியன் நிலவுகளில் மூன்றாவது அடர்த்தி கொண்ட நிலவாகும்.	edhu saniyan nilavugalill mondravadhu adarthi konda nilavakum.
திரிபதார்த்த ரூபாதி தசகாரிய அகவல் என்னும் நூல் 16 ஆம் நூற்றாண்டில் தோன்றியது.	tiripathartha ropadhi dasakariya akaval ennum nool 16 am noorrandhil thondriyadhu.
பல ராப் ஆராய்ச்சி செய்யரவர்கள் இவர் ராப் இசை வரலாற்றில் மிக உயர்ந்த கலைஞர்களில் ஒன்று என்று உறுதிசொல்கிராற்கள்.	pala rap arayatchi seiyaravargal ivar rap isai varalaril miga uyarindha kalinnargalill ondru endru urudhisollgirargal.
என்னுடைய பங்களிப்பைப் பற்றியும் நான் மிகவும் கவலை கொண்டுள்ளேன்; காரணம், இப் புதிய யூத எதிர்ப்புப் போக்கு யூதர்கள் உலகை ஆள்வதாகக் குறிப்பிடுகிறது....	ennudaiya pangalippai patriyum nann migavum kavalai kondhulen; karanam, ipp pudhia yutha ethrippu pookku yuthargal ulagai allvathaga kurippidugirathu….
இதனால் காபனீரொக்சைட்டு நிறைந்த வளி வெளிநோக்கித் தள்ளப்படும்.	ithanal kapannirocxide niraindha vali vellinokki thallapadum.
ஒரு செயற்கைத் துணைக் கோளை ஏவுதற்கு முன்பே, நிலைத் திசையன்களைக் கொண்டும் (ஏவுதற்கான காலத்திலிருந்து அளக்கப்படும்) காலத்தைக் கொண்டும், அச்செயற்கைத் துணைக் கோளின் (செய்மதியின்) சுற்றுப்பாதை இயல்புகளை கணித்தறியலாம்.	oru seyarikkai thunai kollai avuvathariku munbe, nilay disaiyangalai kondum (evuvatharikana kallathilirundhu allakkapadum) kallathai kondhum, asseyarikkai thunai kollin (seimathiyin) sutrupadhai iyalbugalai gannithariyalam.
லாக்கி படிமங்களும் தகவல்களும்	lakki padimangalum thagavalgalum
குடிஅரசு இதழில் ஆசிரியர் ஈ.	kudiarasu ithazill aasiriyar E.
"ஆர்க்டிக்கை வெதுவெதுப்பாக்கும் வெப்ப இடம்" இக்கடலில் உள்ளதால் இவ்வாறு குறிப்பிடப்படுகின்றது.	"aartickai veduveduppakkum veppa idam" ikkadalill ulladhal ivvaru kurippidapaduginradhu.
அதுபோல அவர் என்னைப் பிரித்துக் கட்டிவைத்துவிட்டு அவர்மட்டும் காட்டு வழியில் செல்ல நினைக்கிறார்.	adhepolla avar ennai pirithu kativaithuvittu avarmattum kattu vazhiyil sella ninaikirar.
நன்கு வளர்ந்த காஃபிபாராக்கள் சராசரியாக ஒரு நாளைக்கு 3.5 கி்கி புற்களை உண்கிறது.	nangu valarandha coffeeparakkal sarasariyaga oru nallaikku 3.5 kiki purkalai unnkiradhu.
மீ தொலைவில் உள்ள செம்மேடு பகுதியில் அம்மன்னனுக்கு சிலை உள்ளது.	mee tholaivil ulla semmedu paguthiyil ammannanukku silai ulladhu.
அப்பொழுது மிகவும் அழகிய இளம் பாலகனாக அவர் இருந்தார்.	appozhudhu mikavum azhagiya illam balakanaga avar irundhar.
உலக வருமானத்தில் 10 சதவிகித விழுக்காடு மட்டும் பெறுகிறார்கள்.	ulaga varumathil 10 sagavigidha vizhakkadu matum perugirargal.
மு 15 ஆம் நூற்றாண்டு (குறுகிய காலவழி) மித்தானி பேரரசுடன் இணைந்து, அலலாக்வின் ஐட்ரிமி உடன் ஒரு ஒப்பந்தத்தில் கையெழுத்திட்டார்.	mu 15 am norrandhu (kurugiya kalavazhi) mitthani perarasudan ennaindhu, allalagavin jatrimi udan oru oppandhathil kaiezhuthitar.
பாவேந்தரின் புரட்சிக்கவி நாடகம் தந்தை பெரியார், கலைவாணர் முன்னிலையில் நடைபெற்ற பொழுது அந்த நாடகத்தில் அமைச்சர் வேடத்தில் நடித்த பெருமைக்கு உரியவர் சுரதா.	pavendharin puratchikavi nadagum thandhai periyar, kalaivanar munnilayil nadaipetra pozhudhu andha nadagathil amaichar vedathil naditha perumaikku uriyavar suradha.
திருகாணி போல் மேலிருந்து கீழே பறக்கும்போது காற்றில் சுழலுதல்	thirugani poll melirundhu kizhe parakumbodhu katrill suzhaluthal
இது அரசாங்கத்தால் பாதுகாக்கப்பட்ட பகுதியானதால் இங்கு யாரும் எளிதில் சென்றுவர அனுமதியில்லை.	edhu arasangathal padhugakapatta paguthiyanadhal ingu yarum ellithil senruvara annumadillai.
தூக்கம்	thookkam
அவற்றில் நேரடி பரவல் மூலம் வாயுக்கள் பரிமாற்றப்படுகின்றன (கலச் சுவாசம்).	avatrill neradi paraval moolam vayukkal parimatrapaduginrana (kala suvasam).
றொகான் குணரத்ன.	rehkhan gunarathna.
265 என்ற எண்ணில் 5 என்ற எண்ணுரு ஒன்றுகள் இடத்தில் இருந்தாலும் அதன் இயல்பான மதிப்பு ஐந்தே ஆகும்.	265 endra ennill 5 endra ennorru ondrukal idathil irundhalum adhan eyalbana madippu indhe aagum.
தற்போது இந்நிறுவனம் திருவாரூர் மத்திய பல்கலைக்கழகத்துடன் இணைவுப்பெற்றுள்ளது.	tharipodhu inniruvanam thiruvarur madhiya palkalaikazhagathudan innaivuppatrulladhu.
இவை தன் கூடுகளை பெரும்பாலும் 'டிராங்கோ', கீச்சான் மற்றும் "ஃப்ரையாபேர்ட்ஸ்" பறவைகளின் கூடுகளுக்கருகில் அமைக்கின்றன.	ivai than koodugalai perumpallum 'dirankoo', keesshan matrum "fraiyaberitis" paravaigalin koodugalikkarugil amaikkirana.
ஒரு தளபதி யாக அவர் தைரியமான நடவடிக்கை அறியப்பட்டது,தான் .	oru thalapathi yaga avar thairiyamana nadavadikkai arriyappattadhu.dhan .
கடலுக்கடியில் மீத்தேன் ஹைட்ரேட்டுகள் கொண்டுள்ள மற்ற பகுதிகளில் பெர்முடா முக்கோணம் போன்ற சம்பவங்கள் நிகழவில்லை என்பதும், நீருக்கடியிலான எரிவாயு குமிழிகள் விமானங்கள் மறைந்து போனதற்குக் காரணமாக முடியாது என்பதும் கருத்தில் கொள்ளத்தக்கது.	kadalukkadiyil methen hyderatkal kondulla matra paguthigalill bermuda mukonam pondra sambavangal nigazhavillai enbadhum, nerukkadiyilana eriyavu kumizhigal vimanangal maraindhu ponatharikku karanamaga mudiyathu enbadhum karuthil kollathakkadhu.
வேதியியல் பொறியியல் பட்டப்படிப்பினை மும்பை பல்கலைக்கழகத்தின் கீழுள்ள வேதியியல் தொழில்நுட்பத் துறை (UDCT)யில் முடித்தார்.	vedhiyiyal pooriyiyal pattapadippinai mumbai palkalaikazhagathin kizheulla vediyiyal thozhilnutpa thurai (UDCT)yil mudithar.
மேலும் லின்செஸ்டிஸ் எல்லைக்கு உட்பட்ட இரு மாசிடோனியன் இளவரசர்களையும் இழக்க நேரிட்டது.	melum linchestis ellaikku utpatta iru masitoniyan elavarasargalaiyum ezhaka neerittadhu.
கார்த்திகை மாதம் கார்த்திகை நட்சத்திர நாளில் வீடுகளில் ஒளிவிளக்கு ஏற்றி கார்த்திகை விழா கொண்டாடப்படும்.	karthikai madham karthikai natchatra nallil veedugalil ollivelaku yetri karthikai vizha kondadapatum.
ஆற்றல் வரை முடுக்கப்படுகின்றன.	aatraril varai mudakkapaduginrana.
ஜப்பான், சிங்கப்பூர், இந்தோனேசியா, பிலிப்பைன்ஸ், பாகிஸ்தான் நாடுகளில் தோலை இறக்குமதி செய்கின்றனர்.	japan, singapore, indonesia, philipness, pakistan nadugalill thoolai erakkumadhi saiginranar.
இவர் புனைவு எழுத்தாளராகவும் தனது படைப்புகளை வழங்கிவருகிறார்.	ivar punavu ezhutharagavum dhanadhu padaippugalai vazhangivarkirar.
ஈதா பர்னே	eetha parne
இப்பொழுதுதான் இக் கிளை மொழியில் இலக்கியங்கள் சில வரத் தொடங்குகின்றன.	ippozhudhudhan ikk kilai mozhiyil illakkiyangal silla vara thodangukinrana.
தாஜ் குழுமத்தின் இரண்டாவது ஃபிஷர்மேன்ஸ் கோவ் விடுதி கட்டப்பட்டது.	taj kuzhumathin irandhavadhu fishermens koovu vedhuthi kattapattadhu.
கணிதம் என்பது செயல்படுவதில் உள்ள மனநல செயல்பாடாகும், மற்றொன்றுக்கு பிறகு, மனோ நிர்மாணம் மற்றும் தூண்டக்கூடிய மனநல கட்டமைப்புகள்.	kannitham enbadhu seyalpaduvathi ulla mananala seyalpadakum, matonruikku piragu, mano nirmanam matrum thoondakodiya mananala katamaippugal.
முதிர்ச்சியில் பொதுவாகப் பெரிய புன்வெற்றிடத்தைக் கொண்டிருப்பதுடன் ஒரு சாதாரண தாவரக் கலத்துக்குச் சிறந்த உதாரணமாகக் காட்டப்படும் கலவகையாகும்.	muditchiyil podhuvaga periya punvetridathai konduruppadhudan oru satharana thavara kalathukku sirandha utharanamaga kattapadum kalavaiyagum.
இவர் 2011 ஆம் ஆண்டு நடந்த சட்டமன்றத் தேர்தலில், திருப்பூர் வடக்கு தொகுதியிலிருந்து தமிழக சட்டமன்றத்திற்குத் தேர்ந்தெடுக்கப்பட்டார்.	ivar 2011 am andhu nadantha sattamandra therthalill, thirupur vadaku thoguthirundhu thamzilaga sattamandrathirikku therindhuyedukkapattar.
