కృష్ణాష్టమి నాడు భక్తులు పగలంతా ఉపవాసం ఉండి, సాయంత్రాం శ్రీకృష్ణుని పూజిస్తారు.	Krishnashtami naadu bhakthulu pagalantha vupavaasam vundi, saayanthram shreekrishnuni poogistharu.
1225 నుండి దాదాపు మూడుదశాబ్ధాల కాలం శ్రీలంకలోని దక్షిణ మరియు మద్య భూభాగాన్ని డంబదేనియా, యపాహువా, గంపోలా, రైగమా, కొట్టే, సిత్వాకా మరియు క్యాండీ రాజ్యాలు పాలినాయి.	1225 nundi daadaapu moodudasaabdhaala kaalam Srilankaloni dakshina mariyu madya bhoobhaagaanni Dambadeniyaa, Yapahua, Gampola, Rygama, Kotte, Sitvaka mariyu Candy raajyaalu paalinaayi.
రఘురామ్ (ప్రకాశ్ రాజ్) ఓ ఉద్యానవనంలో నడుస్తూ సుధాకర్ (జగపతి బాబు) తన కూతుర్ని ఆడిస్తూ కష్టపడుతూ ఉండటం చూస్తాడు.	Raghuram (Prakash Raj) o udyaanavanamlo nadustoo Sudhakar (Jagapati Babu) tana kooturni aadistoo kashtapadutoo undatam choostaadu.
INSEAD లో బోధన పద్ధతులలో కేస్ స్టడీస్(ఒక పరిశోధన గురించి వ్రాసిన నివేదిక), బోధనలు, పీర్-టు-పీర్ అధ్యయనము, స్వయం శిక్షణ, సామూహిక శిక్షణ, అనుకరణలు మరియు రోల్-ప్లేస్ ముఖ్య పాత్ర వహిస్తాయి.	INSEAD lo bodhana paddhatulalo case studies(oka parisodhana gurinchi vraasina nivedika), bodhanalu, peer-tu-peer adhyayanamu, svayam sikshana, saamoohika sikshana, anukaranalu mariyu role-plays mukhya paatra vahistaayi.
మోల్నియా కక్ష్య, జీపీయెస్‌ ఉపగ్రహాలు తిరిగే కక్ష్యలు వీటికి ఉదాహరణలు.	Molnia Kakshya, GPS upagrahaalu tirige kakshyalu veetiki udaaharanalu.
ఒకరి చేతి నొకరు పట్టు కొనినంత మాత్రమున అంటునని తోచదు.	okari cheti nokaru pattu koninamta maatramuna amtunani tochadu.
ఈ ఉపపురాణాలు ఏ ప్రత్యేకమైన శాఖకు చెందని రచనలు అయి ఉన్నాయి.	ee upapuraanaalu e pratyekamaina saakhaku chendani rachanalu ayi vunnaayi.
రెండు భాగాల సూట్ లో కేవలం జాకెట్ మరియు ట్రౌజర్సు, అదే మూడు భాగాల సూట్ లో అయితే వెయిస్ట్ కోట్, ఒక్కో మారు ఫ్ల్యాట్ క్యాప్ కూడా చేరతాయి.	rendu bhaagaala suit lo kevalam jacket mariyu trougersu, ade moodu bhaagaala suit lo ayite veyist kot, okko maaru flat cap koodaa cherataayi.
దద్ధోజనం అనేది వాడుక పేరు.	daddhojanam anedi vaaduka peru.
ఇతని గురించి చెప్పుకోవలసిన విజయం తన తండ్రిగారి హయాములో సింహళ ద్వీపంపైన సాధించింది.	itani gurinchi cheppukovalasina vijayam tana tandrigaari hayaamulo Simhala dveepampaina saadhinchindi.
ఆయన శివాజీ హీరోగా నటించిన స్టేట్ రౌడీ, వేణుమాధవ్ హీరోగా నటించిన ప్రేమాభిషేకం (2008 సినిమా) చిత్రాలను డైరెక్ట్ చేసిన దర్శకుడు.	aayana Sivaji heerogaa natinchina state rowdy, Venumadhav heerogaa natinchina Premabhishekam (2008 cinema) chitraalanu direct chesina darsakudu.
క్రూసీ బోట్లు రెండు వైపులా బోట్ రేవుల నుండి బయలుదేరుతుంటాయి.	curisy boatlu rendu vaipulaa boat revula nundi bayaluderutuntaayi.
నయనతార	Nayanatara
అయ్యాగారి పెళ్ళానికి అన్ని కళలు తెలియాలి	ayyaagaari pellaaniki anni kalalu teliyaali
ఈ సంస్థ ప్రదానంగా సాహిత్యానికి సంబంధించిన కార్యక్రమాలను రూపొందిస్తున్నది. దీని అజెండాపై ఇప్పటికే కొన్ని కార్యక్రమాలు ఉన్నవి	ee samstha pradaanangaa saahityaaniki sambandhinchina kaaryakramaalanu roopondistunnadi. Deeni ajendaapai ippatike konni kaaryakramaalu unnavi
జాగ్రత్తలు: సరైన పోషక ఆహారాలు తీసుకోవటం, నిదాన పరివర్జనం అంటే...	jaagrattalu: saraina poshaka aahaaraalu teesukovatam, nidaana parivarjanam ante...
ఇలా మ్రొక్కిన కొన్ని దినాలకు గ్రామంలో ఇంటింటికి చందాలు వసూలు చేసి గ్రామ మధ్యలో దేవతల విగ్రహాలను ప్రతిష్ఠించి ఒక నెల రోజులు పంబల కథలతో సాధులతో రాత్రిళ్ళు ప్రదర్శనలిస్తూ సన్నాయి వాయిద్య గాళ్ళ వీరంగ వాయిద్యం తోనూ, కనక తప్పెట్ల తోనూ మహోధృతంగా జాతర చేస్తారు.	ilaa mrokkina konni dinaalaku graamamlo intintiki chandaalu vasoolu chesi graama madhyalo devatala vigrahaalanu pratishthinchi oka nela rojulu pambala kathalato saadhulato raatrillu pradarsanalistoo sannaayi vaayidya gaalla veeranga vaayidyam tonoo, kanaka tappetla tonoo mahodhrutangaa jaatara chestaaru.
విభాజక ప్రాంతము నుండి లోనికి వచ్చు సమాచారము హిప్పోకాంపస్ యొక్క దేహ సంబంధ స్థితిని నియంత్రించుటలో ప్రధాన పాత్ర వహిస్తుంది.	vibhaajaka praantamu nundi loniki vachchu samaachaaramu hippocampas yokka deha sambandha sthitini niyantrimchutalo pradhaana paatra vahistundi.
ప్రతికూల ఎంపిక (రాజకీయాలు)	pratikoola empika (raajakeeyaalu)
సంగంవలస (ముంచంగిపుట్టు) - విశాఖపట్నం జిల్లాలోని ముంచంగిపుట్టు మండలానికి చెందిన గ్రామము	Sangamvalasa (Munchangiputtu) - Visakhapatnam jillaaloni Munchangiputtu mandalaaniki chendina graamamu
కన్నబిరాన్ విద్యాభ్యాసం నెల్లూరులో చేసారు.	kannabiraan vidyaabhyaasam Nellurulo chesaaru.
కలిగించింది.	kaliginchindi.
ఇథికా	ithikaa
ఈ హోటల్లో విశ్రాంతి తీసుకునేందుకు ప్రత్యేక సదుపాయాలు ఉన్నాయి.	ee hotallo visraamti teesukunenduku pratyeka sadupaayaalu vunnaayi.
పురస్కార సహిత దర్శనాం ఫలప్రదామ్	puraskaara sahita darsanaam phalapradaam
వాల్మీకి నోటివెంట వెలువడ్డ ప్రప్రథమ శ్లోకం	Valmiki notiventa veluvadda praprathama slokam
అంతే కాక, 1900లో, అతను ది గ్రేట్ బోయర్ వార్ అనే పెద్ద పుస్తకము వ్రాశాడు.	ante kaaka, 1900lo, atanu di great bower war ane pedda pustakamu vraasaadu.
రెండు వేల సంవత్సరాలపాటు చిన్న రాజ్యాలుగా పాలింపబడిన శ్రీలంకకు, 16వ శతాబ్దం మొదటి భాగంలో పోర్చుగీసు వారి రాకతో విదేశీయుల రాక ఆరంభమైంది.	rendu vela samvatsaraalapaatu chinna raajyaalugaa paalinpabadina Srilankaku, 16va sataabdam modati bhaagamlo porchugeesu vaari raakato videseeyula raaka aarambhamaimdi.
ఎన్నో జన్మల నుండే అతడికి తానూ గొప్పపేరు సంపాదించు కోవాలని, బాగా ధనవంతుడినవ్వాలని, పెద్ద పెద్ద పదవులలో ఉద్యోగం చేయాలనీ కోరిక ఉండేదిట!	enno janmala nunde atadiki taanoo goppaperu sampaadinchu kovaalani, baagaa dhanavamtudinavvaalani, pedda pedda padavulalo udyogam cheyaalanee korika undedita!
అనీ బిసెంట్‍ ఆయనతో తన ఆలోచనలు పంచుకుంది.	Annie Besant aayanato tana aalochanalu panchukundi.
అనడంతో అతనికి మూర్ఛ వస్తుంది.	anadamto ataniki moorcha vastundi.
పాటలు: వనమాలి, శ్రీకాంత్, మాస్టార్జీ, సురేంద్ర కృష్ణ	paatalu: Vanamali, Sreekant, Masterji, Surendra Krishna
ఆహేతువునుబట్టి భారతయుద్ధమున అర్జునుఁడు సైంధవునితల శమంతపంచక సమీపమున తపము ఆచరించుచు ఉండిన వృద్ధక్షత్రుని గుండ మహీతలమున పడునట్లు పాశుపతాస్త్రప్రయోగమున చేసెను.	aahetuvunubatti Bhaaratayuddhamuna argunumdu saimdhavunitala samamtapanchaka sameepamuna tapamu aacharimchuchu vundina vruddhakshatruni gunda maheetalamuna padunatlu paasupataastraprayogamuna chesenu.
ఉప్పు సత్యాగ్రహం, స్త్రీల డిక్టేటర్ల సమావేశంలో పాల్గొన్నందున 1932,1933 సంవత్సరములలో ఏలూరు, గుంటూరు సబ్ జైళ్ళలోనూ, వెల్లూరు కన్ననూరు జైళ్లలోనూ 16 నెలల కఠిన శిక్షను అనుభవించారు.	uppu satyaagraham, streela dictatorla samaavesamlo paalgonnanduna 1932,1933 samvatsaramulalo Eluru, Gunturu sub jaillalonoo, Velluru Kannanooru Jaillalonoo 16 nelala kathina sikshanu anubhavinchaaru.
సౌర తెరచాపల వంటి గురుత్వేతర బలాలను వాడి ఉపగ్రహాన్ని యాక్టివ్ భూ సమన్వయ కక్ష్య అనే ఊహా కక్ష్యలో ఉంచవచ్చు.	saura terachaapala vanti gurutvetara balaalanu vaadi upagrahaanni yaaktiv bhoo samanvaya kakshya ane oohaa kakshyalo vunchavachchu.
భరతుడు సింధుదేశపు రాజైన రహూగణునికి తత్వోపదేశము చేయుట	Bharatudu sindhudesapu raajaina rahooganuniki tatvopadesamu cheyuta
సుబుద్ధి సాయంతో నిజం తెలుసుకున్న రాజరాజు శిక్ష నిలుపుదల చేయమంటాడు.	subuddhi saayamto nijam telusukunna raajaraaju siksha nilupudala cheyamantaadu.
కుంపటి	kumpati
పసుపు పచ్చని అన్నమును ఇష్టపడుతుంది.	pasupu pachchani annamunu ishtapadutundi.
నయాగరా నది పక్కన నయాగరా రిక్రియేషనల్ ట్రైల్ (వినోద యాత్ర) ఫోర్ట్ ఎర్రీ నుండి ఫోర్ట్ గోర్జ్ వరకు 35 కిలోమీటర్లు దూరం ఏర్పాటు చేయబడి ఉంది.	Nayagara nadi pakkana Nayagara recreational trail (vinoda yaatra) Fort Erry nundi Fort Gorge varaku 35 kilometerlu dooram erpaatu cheyabadi vundi.
1935లో పెరూ న్యాయశాఖ మంత్రిగా నియమించబడ్డాడు.	1935lo peroo nyaayasaakha mantrigaa niyaminchabaddaadu.
అల్పాయుష్కుడైనప్పటికీ కొడుకునే యిమ్మ" ని ప్రార్థించారు వారు. “తథాస్తు" అని వరమిచ్చి శివుడు తరలిపోయాడు.	alpaayushkudainappatikee kodukune yimma" ni praarthinchaaru vaaru. “tathaastu" ani varamichchi sivudu taralipoyaadu.
వశిష్ఠుడు నిరాకరించగా విశ్వామిత్రుడు బలవంతంగా శబళను తీసుకుపోదలచాడు.	Vasishthudu niraakarinchagaa Viswamitrudu balavantangaa sabalanu teesukupodalachaadu.
చైనీస్ మసాలా దోశ :- నూడిల్స్ మరియు ఇతర చైనా పదార్ధాలు కూర్చి చేసిన దోశలను చైనా మాసాలా దోశలు అంటారు.	chainese masaalaa dosa :- noodles mariyu itara China padaardhaalu koorchi chesina dosalanu China maasaalaa dosalu antaaru.
కావేరీ అమ్మ కూడా గీతకు ముందు పెళ్ళి చేసే పంపించడం తన బాధ్యత అని చెబుతుంది.	Kaveri amma koodaa Geetaku mundu pelli chese pampinchadam tana baadhyata ani chebutundi.
అల్లరి రాముడు	allari raamudu
తీవ్రనష్టమ్మును తెచ్చుపెట్టు	teevranashtammunu techchupettu
మూడవ చిత్రం ఆర్య 2 అల్లు అర్జున్ నడవలేదు.	moodava chitram Arya 2 Allu Arjun nadavaledu.
హీరోగా నటించిన తొలి చిత్రం సమ్మల్ సూపర్ హిట్ అయింది.	heerogaa natinchina toli chitram sammal super hit ayindi.
సమ్మెల జాబితా	sammela jaabitaa
శిశుపోషణ	sisuposhana
ఎట్టి పరిస్థితుల్లోను అది అచ్చయి తీరాలని వ్రాశాను.	etti paristhitullonu adi achchayi teeraalani vraasaanu.
అంతేకాదు, వైదికవాజ్ఞ్మయం మీద అధికారం ఉండాలి.	antekaadu, vaidikavaagnmayam meeda adhikaaram undaali.
అత్తా కోడల్లాట	attaa kodallaata
ఆస్ట్రేలియాలో లీచీ ఉత్పత్తి	Australialo Litchi vutpatti
నవనీతం పిళ్ళై కోరిన తరువాత ఆమెను శ్రీలంకకు వెళ్ళడానికి అనుమతించినా భద్రతా దళాలు ఆమె ఎక్కడకు వెళ్ళడానికి యుద్ధబాధితులను చూడడానికి అనుమతి లేదని చెప్పారు	navaneetam pillai korina taruvaata aamenu Srilankaku velladaaniki anumatinchinaa bhadrataa dalaalu aame ekkadaku velladaaniki yuddhabaadhitulanu choodadaaniki anumati ledani cheppaaru
ఉప్పునీటి సరస్సు	uppuneeti sarassu
వీటన్నింటిలో పీచు సమృద్ధిగా ఉంటుంది.	veetannintilo peechu samruddhigaa vuntundi.
ఆ తరువాత లూధియానా నుంచి వస్తున్న ‘ముసాదత్ దినపత్రికలో చేరాడు.	aa taruvaata loodhiyaanaa nunchi vastunna ‘musaadat dinapatrikalo cheraadu.
కామేపల్లి (దండేపల్లి) - ఆదిలాబాదు జిల్లా దండేపల్లి మండలంలోని గ్రామం	Kamepalli (Damdepalli) - Adilabadu jillaa Damdepalli mandalamloni graamam
శాంతా సిన్హా, అమర్త్య సేన్ వంటి యాబై మంది ప్రముఖుల వ్యాసాలతో జన విజ్ఞాన వేదిక ప్రచురించిన పుస్తకానికి సంపాదకత్వం వహించారు.	Santha Sinhaa, Amartya Sen vanti yaabai mandi pramukhula vyaasaalato jana vignaana vedika prachurinchina pustakaaniki sampaadakatvam vahinchaaru.
లవ్ మ్యారేజ్	lover marriage
ప్రార్థన - చక్రవర్తికి, వారి కుటుంబమునకు ఆరోగ్యం కలగాలని (అప్పటికి మనదేశాన్ని ఇంగ్లీషు వారు పరిపాలిస్తున్నారు. రచయిత ఇంగ్లీషువారికి విధేయుడయిన ఒక మహారాజు ఆస్థానంలో ఉండేవాడు), మరియు వారి సంఘము చిరకాలము అందరికి ఉపయోగప్రథముగ ఉండాలని దేవుని ప్రార్థించుట.	praarthana - Chakravartiki, vaari kutumbamunaku aarogyam kalagaalani (appatiki manadesaanni englishu vaaru paripaalistunnaaru. rachayita englishuvaariki vidheyudayina oka mahaaraaju aasthaanamlo undevaadu), mariyu vaari sanghamu chirakaalamu andariki vupayogaprathamuga vundaalani devuni praarthinchuta.
ముస్లింలు భారతీయ వాస్తు కళలకు కమాన్, గుమ్మటం, మీనార్ (స్తంభాలు) లను జోడించారు.	muslimlu bhaarateeya vaastu kalalaku kamaan, gummatam, meenaar (stambhaalu) lanu jodinchaaru.
దీప	Deepa
ఆమని ఋతువే పూవును వీడే	Amani rutuve poovunu veede
అప్పుడు శ్రీహరి తన తనూ కాంతితో దనుజాధీశుడైన హిరణ్యాక్షుని శరీరపు వెలుగును హరింపజేసెను.	appudu Sreehari tana tanoo kaamtito danujaadheesudaina Hiranyakshuni sareerapu velugunu harimpagesenu.
పితృదేవతా గౌరవము	pitrudevataa gauravamu
బ్లాస్ రోకా రే	blaas rokaa re
ముయాజ్జం ఔరంగజేబు సామ్రాజ్యంలోని వాయవ్య భూభాగానికి గవర్నర్‌గా నియమించబడ్డాడు.	Muyaajjam Aurangajebu saamraajyamloni vaayavya bhoobhaagaaniki governorgaa niyaminchabaddaadu.
1975లో వచ్చిన ఇదే పేరు గల మరొక సినిమా కోసం కథానాయకుని కథ చూడండి. ఇది ఒక డబ్బింగ్ సినిమా.	1975lo vachchina ide peru gala maroka cinema kosam kathaanaayakuni katha choodandi. Idi oka dubbing cinema.
కృష్ణుడి విగ్రహానికి పండగరోజు ఉదయం తెల్లదుస్తులు వేసి ప్రత్యేక ఆభరణాలతో అలంకరిస్తారు.	Krishnudi vigrahaaniki pandagaroju udayam telladustulu vesi pratyeka aabharanaalato alankaristaaru.
ఈ రాజ్యాన్ని దేవశిల్పి విశ్వకర్మ ధనాధిదేవత కుబేరుడి కొరకు నిర్మించాడు.	ee raajyaanni devasilpi Visvakarma dhanaadhidevata Kuberudi koraku nirminchaadu.
మరీచి మహర్షి (మరీచి అనగా ఒక కాంతి పుంజము) బ్రహ్మ మానసపుత్రులలో ఒక్కరు అని చెప్పబడినది.	Mareechi maharshi (Mareechi anagaa oka kaamti pumjamu) Brahma maanasaputrulalo okkaru ani cheppabadinadi.
కానీ బ్రిటిష్ కంపెనీ వారికే లోబడియుండునటుల చేయలేక పోయాడు.	kaanee British company vaarike lobadiyundunatula cheyaleka poyaadu.
వివిధ చట్టాలు ఈ పద్ధతులను క్రమబద్దీకరించుటకు కావలసిన మార్గాలను ఏర్పరుస్తున్నాయి.	vividha chattaalu ee paddhatulanu kramabaddeekarimchutaku kaavalasina maargaalanu erparustunnaayi.
కొస కూడా ముల్లులాగా ఉంటుంది.	kosa koodaa mullulaagaa vuntundi.
ఫకీర్రాజూ, ఆయన భార్య చిట్టెమ్మా వచ్చి బతిమాలితే గానీ తినకూడదని నిశ్చయించుకుంటుంది.	Fakeerraaju, aayana bhaarya chittemmaa vachchi batimaalite gaanee tinakoodadani nischayinchukvuntundi.
ఋతుకాలచక్రాల ఆధారంగా కాకుండా, పరిపూర్ణంగా చంద్రగమనాలపై ఆధారపడియున్నది.	rutukaalachakraala aadhaarangaa kaakundaa, paripoornangaa chandragamanaalapai aadhaarapadiyunnadi.
ఈ సాధన వలన ఆలోచనల్లో స్పష్టత, నడవడికలో సరళత, దృక్పదంలో విశాలత, అందర్నీ ప్రేమించగల సౌశీల్యత, ఆదరించగల సేవాతత్పరత, అన్ని పరిస్థితులలోనూ సంయమనం, స్థితప్రజ్ఞత అలవడతాయి.	ee saadhana valana aalochanallo spashtata, nadavadikalo saralata, drkpadamlo visaalata, amdarnee preminchagala sauseelyata, aadarinchagala sevaatatparata, anni paristhitulalonoo samyamanam, sthitapragnata alavadataayi.
ఆదిత్య హైదరాబాద్ లో తన తల్లిదండ్రులతో నివసిస్తున్నాడు.	aaditya Hyderabad lo tana tallidandrulato nivasistunnaadu.
ఆ ఆర్టికల్ భౌతిక శాస్త్రవేత్తలు సంప్రదాయ భౌతిక శాస్త్ర పరిమితులను ఎలా కనుగొన్నారో మరియు క్వాంటం సిద్ధాంతం ప్రధాన భావనల అభివృద్ధిని 20వ శతాబ్ద ప్రారంభ దశలలో ఎలా భర్తీ చేశారో వివరించారు.	aa article bhautika saastravettalu sampradaaya bhautika saastra parimitulanu elaa kanugonnaaro mariyu quantum siddhaantam pradhaana bhaavanala abhivruddhini 20va sataabda praarambha dasalalo elaa bhartee chesaaro vivarinchaaru.
ఈమె దేవదాసియై భోగము వనితవలె పెళ్ళి చేసికొనక, నిత్య సుమంగలిగానే రసికులతో సంసారము చేయుచుండును.	eeme devadaasiyai bhogamu vanitavale pelli chesikonaka, nitya sumangaligaane rasikulato samsaaramu cheyuchumdunu.
కల్లెడ పేరుతో అనేక ప్రాంతాలున్నాయి. అవి	kalleda peruto aneka praantaalunnaayi. avi
ఉల్టాపల్టా	ultaapaltaa
పార్లమెంటరీ స్థానాలైన చిదంబరం మరియు పెరంబూలూర్‌ లలో ఈ పార్టీ పోటీ చేసింది.	parlamentary sthaanaalaina chidambaram mariyu Perambulur lalo ee party potee chesindi.
ఒక CD మెత్తగా ఖాళీకి డేటా పాటలను ఒక మురి కలిగి ఉండగా, ఒక అసహ్యకరమైన, సమాంతర రేఖలు ఉంది.	oka CD mettagaa khaaleeki detaa paatalanu oka muri kaligi undagaa, oka asahyakaramaina, samaamtara rekhalu vundi.
జియాంగ్ వు	Giang Vu
జీవశాస్త్రం స్పష్టంగా పరమాణు యంత్ర వ్యవస్థలు సాధ్యం అని నిరూపించినప్పటికీ, నిర్జీవ పరమాణు యంత్రాలు ఈ రోజుకి ఇంకా తమ బాల్యదశ లోనే ఉన్నాయి.	jeevasaastram spashtangaa paramaanu yantra vyavasthalu saadhyam ani niroopinchinappatikee, nirjeeva paramaanu yantraalu ee rojuki inkaa tama baalyadasa lone vunnaayi.
1979 లో వచ్చిన గోరింటాకు సినిమాలో మహానటి సావిత్రి గారి కొడుకు "రాముడు" పాత్ర పోషించారు.	1979 lo vachchina gorintaaku cinemalo mahaanati Savitri gaari koduku "Ramudu" paatra poshinchaaru.
వేదవ్యాస మహర్షికి జగన్మాత దర్శనమిచ్చి ముగ్గురమ్మలకు ఆలయాన్ని నిర్మించమని ఆదేశించింది.	vedavyaasa maharshiki jajanmaata darsanamichchi muggurammalaku aalayaanni nirminchamani aadesinchindi.
ఇవి auxins ను పోలి ఉంటాయి మరియు చాలా నేల బ్యాక్టీరియా ద్వారా జీవఅధోకరణం చెందుతాయి.	ivi auxins nu poli vuntaayi mariyu chaalaa nela bacteria dvaaraa jeevaadhokaranam chendutaayi.
పట్టుదలతో దానినిన పట్టి నేలపడకొట్టాలని వెంట బడ్డాడు.	pattudalato daaninina patti nelapadakottaalani venta baddaadu.
వడ్నాల కిషన్	Vadnala Kishan
వైద్యుడైన రచయిత	vaidyudaina rachayita
అనుకుంట	anukunta
"త్రిబుజాకారంలో బిగించబడీన మూడూ అధం ముక్కల ప్ర్రిజం మధ్య, ఎ వస్తువు ఆఇనా	"tribujaakaaramlo biginchabadina moodoo adham mukkala prrigam madhya, e vastuvu aainaa
తిరుపతి వేంకట కవులు - దివాకర్ల తిరుపతి శాస్త్రి మరియు చెళ్ళపిళ్ళ వేంకట శాస్త్రి	Tirupati Venkata kavulu - Divakarla Tirupati Shastri mariyu Chellapilla Venkata Shastri
శ్రీహరి తన చక్రముతో మాయా చక్రాన్ని అడ్డగించారు.	Sreehari tana chakramuto maayaa chakraanni addaginchaaru.
జెట్ ద్వారా లుక్ వాట్ యు హేవ్ డాన్	jet dvaaraa look what you have done
కాకతీయ విశ్వవిద్యాలయం దూరవిద్య విభాగంలో అసిస్టెంట్‌ డైరెక్టర్‌ హోదాలో పనిచేసి, పదవీ విరమణ చేశారు.	kaakateeya visvavidyaalayam dooravidya vibhaagamlo asistent director hodaalo panichesi, padavee viramana chesaaru.
వీరి ప్రాంతాల్లో చెట్లు నరకాలంటే వీరప్పన్కి అయినా వణుకు పుట్టాల్సిందే.	veeri praantaallo chetlu narakaalante veerappanki ayinaa vanuku puttaalsimde.
జోగినుల హక్కుల కోసం చైతన్య కార్యక్రమాలు నిర్వహించింది.	joginula hakkula kosam chaitanya kaaryakramaalu nirvahinchindi.
వాణిజ్య సామర్థ్యాలను మరింత తక్కువగా ఉంటాయి.	vaanijya saamarthyaalanu marinta takkuvagaa vuntaayi.
లేకుంటే దళితులకు ఆ అవకాశమూ దక్కకుండా పోయేది.	lekunte dalitulaku aa avakaasamoo dakkakundaa poyedi.
2008, డిసెంబరు 20న జగన్నాథ్ న్యూఢిల్లీలో ఆంధ్రప్రదేశ్ కు ప్రత్యేక ప్రతినిధిగా నియమించబడ్డారు.	2008, Decemberu 20na Jagannath Newdelhilo Andhrapradesh ku pratyeka pratinidhigaa niyaminchabaddaaru.
హరిద్రాన్త్యైక సక్తాం, సకలశుభకరీం, హాకినీం భావయామః	haridraantyaika saktaam, sakalasubhakareem, haakineem bhaavayaamah
బౌద్ధనాగార్జునిని బుద్ధవిజ్ఞాజ్యోతి	bauddhanaagaarjunini buddhavignaagyoti
అంతర్గ్రహణం రెందువిధాలుగా ఉంటుంది.	amtargrahanam renduvidhaalugaa vuntundi.
తోట వైకుంఠం, ప్రముఖ చిత్రకారుడు.	tota vaikuntham, pramukha chitrakaarudu.
వ్యక్తులను కార్యోన్ముఖులను చేయవచ్చును ("మనసుంటే మార్గముంటుంది") ప్రమాదమును హెచ్చరించవచ్చును ("చిన్న పామునైనా పెద్దకర్రతో కొట్టాలి").	vyaktulanu kaaryonmukhulanu cheyavachchunu ("manasunte maargamvuntundi") pramaadamunu hechcharinchavachchunu ("chinna paamunainaa peddakarrato kottaali").
మనలోని భౌతిక శక్తిని నియంత్రించేది మూలాధార చక్రము.	manaloni bhautika saktini niyantrinchedi moolaadhaara chakramu.
రమ్యకృష్ణ లాగ ఉంటదా	Ramyakrishna laaga vuntadaa
ఆయన తానా సభలలో అనేక హరికథలను చెప్పారు.	aayana taanaa sabhalalo aneka harikathalanu cheppaaru.
1650లో పెద్ద సైన్యంతో మీర్ జుమ్లా గండికోటపై దండెత్తాడు.	1650lo pedda sainyamto Meer Jumlaa Gandikotapai damdettaadu.
గోల్వంకర్ అతనిని ఉత్తరప్రదేశ్ లోని గోరఖ్‌పూర్ కు ప్రచారక్ గా పంచాడు.	Golvankar atanini Uttarapradesh loni Gorakhpur ku prachaarak gaa panchaadu.
బుందేల్‌ఖండ్‌ (ఉత్తరప్రదేశ్‌): : ఉత్తరప్రదేశ్‌, మధ్యప్రదేశ్‌ రాష్ట్రాల్లోని జిల్లాలను కలిపి బుందేల్‌ఖండ్‌ రాష్ట్రంగా ఏర్పాటు చేయాలన్న డిమాండు ఉంది.	Bundelkhand (Uttarapradesh): : Uttarapradesh, Madhyapradesh raashtraalloni jillaalanu kalipi Bundelkhand raashtrangaa erpaatu cheyaalanna demandu vundi.
శాస్త్రి స్వాతంత్యోద్యమంలో మొత్తం 9 సంవత్సరాలు జైలు శిక్షను అనుభవించాడు.	Shastri svaatamtyodyamamlo mottam 9 samvatsaraalu jailu sikshanu anubhavinchaadu.
పాలవలె ఒకపాత్రలో మేముండే వాళ్ళము కామని జీవితప్రవాహమనే పాలమీద పుష్పం వలె తేలియాడే వారమని దీని మూలంగా ఉస్మాన్ షా తెలియపరిచాడు.	paalavale vokapaatralo memunde vaallamu kaamani jeevitapravaahamane paalameeda pushpam vale teliyaade vaaramani deeni moolangaa usmaan shaa teliyaparichaadu.
వారిలో చాలామంది గంపలలో వస్తువులు పెట్టుకొని అడవులూ, కొండలు దాటుతూ కావేటిరాజపురం, మధుర, గుంటూరు, తిరుచినాపల్లి మొదలగు ప్రాంతాలకు పోయారు.	vaarilo chaalaamandi gampalalo vastuvulu pettukoni adavuloo, kondalu daatutoo Kavetirajapuram, Madhura, Gunturu, Tiruchinaapalli modalagu praantaalaku poyaaru.
ధరణి పంతియ సముద్రంబులు నేల	dharani pamtiya samudrambulu nela
శ్రీకృష్ణుడికి, సాత్యకికి అర్జున రాజప్రాసాదములో విడిది ఏర్పాటు చేయండి.	Sreekrishnudiki, Satyakiki Arjuna raajaprasadamulo vididi erpaatu cheyandi.
నా నీటు నా గోటు ఓ యస్ ఐయాం బ్యూటిఫుల్ - రచన: తాపీ ధర్మారావు	naa neetu naa goatu o yes Iam beautiful - rachana: Taapee Dharmarao
తుమ్మలపల్లి	Tummalapalli
ఈ ప్రదర్శనలో హైదరాబాదులోని గత, ప్రస్తుత మరియు భవిష్యత్తు సంబంధిత ఆకర్షణీయమైన చారిత్రక, సాస్కృతిక మరియు ఆసక్తికరమైన కధలను తెరకెక్కిస్తుంది.	ee pradarsanalo Hyderabaduloni gata, prastuta mariyu bhavishyattu sambandhita aakarshaneeyamaina chaaritraka, saaskrutika mariyu aasaktikaramaina kadhalanu terakekkistundi.
కరుణము ప్రధాన రసం.	karunamu pradhaana rasam.
మంత్రి కుమారుడు సుబుద్ది (చలం), మాండవ్యుడు (రేలంగి) యువరాజు మిత్రులు.	mantri kumaarudu Subuddi (Chalam), Mandavyudu (Relangi) yuvaraaju mitrulu.
37వ ఎన్నీల ముచ్చట్ల పిలుపు	37va enneela muchchatla pilupu
ఇది కేవలం అలంకారప్రాయం.	idi kevalam alankaarapraayam.
సాంకేతిక విషయాలకు ఉపయోగించే సూక్ష్మ ద్రవాలు	saanketika vishayaalaku vupayoginche sookshma dravaalu
మగవాళ్లు పంటలు పండించి తెస్తే వాటిక్రయవిక్రయాలన్నిటినీ ఆడవాళ్లే చూసుకుంటారు.	magavaallu pamtalu pandinchi teste vaatikrayavikrayaalannitinee aadavaalle choosukuntaaru.
