కృష్ణాష్టమి	krishnashtami
ఏమి	emi
చేయాలని	cheyalani
అనిపిస్తే	anipisthe
అది	ade
చేయి	cheyi
కాని	kani
దీనిని	dhinini
ప్రేక్షకులు	prekshakulu
సుళువుగా	suluvuga
తీసుకోరు	thisukunnaru
</s>	</s>
వెన్నెల్లో	vennelo
గోదారి	godari
అందం	andham
పాటకు	pataku
గాను	ganu
ఎస్	yes
</s>	</s>
అందరూ	andharu
కలిసి	kalisi
తూటాల	thutala
రాణి	rani
ఇంట్లో	intlo
జొరబడతారు	jorabaddaru
</s>	</s>
ద్రవం	dhravam
అధిక	adhika
ఒత్తిడి	othidi
నుండి	nundi
తక్కువ	thakkuva
ఒత్తిడి	othidi
సరఫరాలవలనప్రతికూల	sarafarala valana prathikula
సైన్	sign
అవసరమైఉంది	avasaramai vundi
</s>	</s>
కథానాయకి	kadhanayaki
కాదంబరి	khadhambari
కథ	kadha
మధ్యలోకి	madhyalo
వచ్చేంతవరకూ	vachentha varaku
కనిపించదు	kanipinchadu
</s>	</s>
ఆ	aa
నాలుగు	nalugu
కలలు	kalalu
కూడా	kuda
ఈ	eee
త్రిజటా	thrijuta
స్వప్నం	swapnam
గాయత్రీ	gayathri
మంత్రమే	manthrame
అని	ani
చెబుతాయి	chebuthayi
</s>	</s>
ఈ	ee
సంఘటన	sangatana
తమిళనాడులోని	tamilnaduloni
పెద్ద	pedda
రాజకీయ	rajakiya
పార్టీ	party
అయిన	ayina
ద్రవిడ	dhravida
మున్నేట్ర	munnetra
కజగం	kajagam
DMK	dmk
నేతలతో	nethalatho
కలిసిపోయేలా	kalisipoyela
చేసింది	chesindhi
</s>	</s>
ప్రభుత్వ	prabhuthva
ఉద్యోగంలో	vudyogamlo
పదవీవిరమణ	padhaviviramana
చేసిన	chesina
తదుపరి	thadupari
ఆయన	ayana
శ్రీ	sri
సత్యసాయి	satyasai
విశ్వవిద్యాలయంలో	vishwavidyalayamlo
ఉప	vupa
కులపతిగా	kulapathiga
తన	thana
సేవలనందించాడు	sevalandhinchadu
</s>	</s>
క్యారట్	carrot
హల్వా	halwa
</s>	</s>
ఇది	idi
సమీప	samipa
పట్టణమైన	pattanamaina
వికారాబాద్	viakrabad
నుండి	nundi
20	20
కి	ki
</s>	</s>
క్రిస్మస్	crismas
చెట్టు	chettu
అనగా	anaga
ఒక	oka
అలంకరించబడిన	alankarinchabadina
చెట్టు	chettu
సాధారణంగా	sadharanangha
స్ప్రూస్	spross
పైన్	sign
లేదా	leda
ఫిర్	feer
వంటి	vanti
సతతహరిత	sathathaharitha
కానిఫేర్	kanifer
సూదిమొన	sudimona
ఆకులు	akulu
కలిగిన	kaligina
చెట్టు	chettu
సాంప్రదాయకంగా	sampradhayakangha
ఈ	ee
చెట్టు	chettlu
అలంకరణ	alamkarana
క్రిస్మస్	crismas
వేడుకలతో	vedukalatho
ముడిపడి	mudipadi
ఉంటుంది	vuntundi
</s>	</s>
బొంబాయి	bombay
హల్వా	halwa
</s>	</s>
పోతువెదురు	pothuveduru
వెదురు	veduru
జాతులలో	jathulalo
గట్టిగా	gattigha
బలంగా	balangha
ఉండే	vunde
గడ్డిచెట్టు	gaddichettu
</s>	</s>
శ్రీ	sri
శంకరాచార్యులవారు	shankaracharyulavaru
సౌందర్యలహరిలో	soundaryalaharilo
చెప్పిన	cheppina
వర్ణన	varnanan
బట్టి	batti
ఇది	idi
జలతత్త్వం	jalathathvam
గలది	galadi
</s>	</s>
ఐఐటీ	aiaiti
శిక్షణలో	shikshanalo
మంచి	manchi
పేరు	peru
సంపాదించి	sampadinchi
ఐఐటీ	aiaiti
రామయ్య	ramaya
అని	ani
పేరు	peru
తెచ్చుకున్నాడు	thechukunnadu
</s>	</s>
జోసెఫ్	joseph
టేలర్	taylor
రస్సెల్	russels
హల్స్	halls
వాటి	vati
గురుత్వ	gurutva
కేంద్రం	kendram
చుట్టూ	chuttoo
పరిభ్రమిస్తున్న	paribramistunna
రెండు	rendu
న్యూట్రాన్	neutron
తారలున్న	taralunna
జంట	janta
పల్సార్	palsar
PSR	psr
B1913+16ను	b1913+16nu
1974లో	1974lo
కనుగొన్నారు	kanugonnaru
</s>	</s>
లు	lu
పూర్తి	poorti
చేసుకుంది	chesukundi
</s>	</s>
కార్నెగీ	cornegi
మిలన్	milan
విశ్వవిద్యాలయం	viswavidyalayam
సైటులో	situlo
రాజ్	raj
రెడ్డి	reddy
గారి	gari
ప్రొఫైలు	profile
</s>	</s>
మంటో	manto
చివరి	chivari
దశలో	dashalo
పేదరికం	pedarikam
అనారోగ్యంతో	anarogyamtho
బాధపడ్డాడు	badapaddadu
</s>	</s>
ఆర్య	aarya
పాటల్లోని	patalloni
గాఢత	gadhata
ఆమె	aame
స్వర	swara
నాణ్యత	nanyatha
గానాన్ని	gananni
మెరుగు	merugu
పరచుకునేందుకు	parachukunenduku
ఆమె	aame
చేసే	chese
అంతులేని	antuleni
పరిశ్రమ	parishrama
పలువురు	paluvuru
సినీ	sinee
సంగీత	sangeetha
రంగ	ranga
ప్రముఖుల	pramukhula
నుంచి	nunchi
లెక్కలేనన్ని	lekkalenanni
ప్రశంసలు	prashamshalu
సాధించి	sadinchi
పెట్టాయి	pettai
</s>	</s>
వండర్	wonder
హాట్	hot
చిల్లీ	chilli
అనునది	anunadi
అతికారంగా	atikaramga
ఉన్న	unna
మిరపకాయ	mirapakaya
</s>	</s>
ప్రకృతి	prakruti
సౌందర్య	soundarya
ప్రేమికుడైన	premikudaina
పురాన్	puran
సింగ్	singh
ఆంగ్లంలోనూ	anglamlonoo
పంజాబీ	punjabi
భాషల్లోనూ	bashallonu
కవితలు	kavitalu
రాసేవారు	rasevaru
</s>	</s>
ఈ	ee
మ్యాచ్‌లలో	matchlalo
భారతదేశం	bharartadesam
విజయం	vijayam
సాధించింది	sadinchindi
</s>	</s>
ఆ	aa
తరువాత	taruvata
మునులందరూ	munulandaru
తమతమ	tamatama
స్థానాలకు	stanalaku
వెళ్ళారు	vellaru
</s>	</s>
అయితే	aite
మధ్యమ	madhyama
సెప్టమ్	septum
తీట	teeta
యొక్క	yokkka
కంట్రోలర్	controller
కన్నా	kanna
ఎక్కువ	yekkuva
ఇది	idi
హిప్పోకాంపస్	hipsocampus
కొలినెర్జిక్	kolinerjik
విక్షేపములలో	vikshepamulalo
ముఖ్యమైన	mukyamaina
ఆధారము	aadharmu
కూడా	kooda
</s>	</s>
ఇది	idi
సముద్ర	samudra
మట్టానికి	mattaniki
24	24
మీటర్ల	meetrla
ఎత్తులో	yettulo
ఉంది	undi
</s>	</s>
ఈతడు	itadu
ప్రస్తుత	prastutha
నౌగాంగ్	nougang
పట్టణానికి	pattananiki
16మైళ్ళదూరంలో	16 mailla dooramlo
ఉన్న	unna
అలిపుఖారి	alipukhari
అనేగ్రామంలో	anegramamlo
ఒక	oka
భూయాక్	booyak
వంశంలో	vamshamlo
పుట్టాడు	puttadu
</s>	</s>
అజ్ఞానులు	agnanulu
అర్ధహీనులు	ardhaheenulu
సన్యాసం	sanyasam
గురించి	gurinchi
తెలియక	teliyaka
ఉభయభ్రష్టులు	ubayabrashtlulu
ఔతున్నారు	outunnaru
</s>	</s>
ఆయన	aayana
ఇందిరాగాంధీ	indiragandhi
సెంటర్	centre
ఫర్	for
అటామిక్	atomic
రీసెర్చ్	research
కల్పకం	kalpakkam
వంటి	vanti
అనేక	aneka
ప్రదేశాలలో	pradeshaalalo
పనిచేసాడు	panichesadu
</s>	</s>
నువ్వు	nuvvu
నాకు	naku
నచ్చావ్	nachhav
</s>	</s>
తేడాలని	tedalani
అది	adi
ఏ	ye
విధంగా	vidamga
పాడుతుందో	padutundo
గమనించు	gamaninchu
</s>	</s>
1997లో	1997 lo
భారత్‌లోని	bharathloni
కాంచీపురం	kancheepuram
జిల్లాలో	jillalo
చేనేత	chenethe
పట్టు	pattu
వస్త్రాల	vastrala
తయారీ	tayari
పరిశ్రమలో	parisharamalo
పనిచేస్తున్న	panichestunna
బాల	bala
కార్మికుల	karmikula
సంఖ్య	samkhya
40,000కుపైగా	40,000 kupaiga
ఉందని	undani
ఒక	oka
పరిశోధన	parishodhana
వెల్లడించింది	velladinchindi
</s>	</s>
మానవ	manava
హక్కుల	hakkula
అమ్నెస్టీ	amnesty
ఇంటర్నేషనల్	international
మరియు	mariyu
హ్యూమన్	human
రైట్స్	rights
వాచ్	watch
శ్రీలంకలో	srilankalo
జరిగిన	jarigina
మానవహక్కుల	manavahakkula
ఉల్లంఘనను	ullamgananu
తీవ్రంగా	teevramga
విమర్శించింది	vimarshindhi
</s>	</s>
పారా	para
13	13
ఏమి	yemi
వివరిస్తున్నది	vivaristunnadi
అంటే	ante
ఈ	ee
ప్రమాణం	pramanam
ప్రకారము	prakaram
గాలిలోని	galiloni
బరువును	baruvunu
ఇంపీరియల్	imperial
స్టాండర్డ్	standard
పౌండ్	sound
గా	ga
పిలువవచ్చు	pilavochhu
మరియు	mariyu
వ్యాపారానికి	vyaparaniki
అనుమతి	anumati
ఉన్న	unna
ఇతర	itara
బరువులను	baruvulanu
చట్టములో	chattamulo
పొందుపరచబడిన	ponduparachabadina
బరువుల	baruvula
నుండి	nundi
సంగ్రహించవచ్చు	sangrahinchavachhu
</s>	</s>
గానం	ganam
చిత్ర	chitra
ఎస్.పి.బాలసుబ్రహ్మణ్యం	s.p.balasubramanyam
</s>	</s>
డామరము	damaramu
ఆది	aadi
దేవతలచే	devathalche
పరివేష్టించబడింది	parivestimchabadindi
</s>	</s>
అమెరికన్	american
షర్ట్	shirt
కాలరు	collar
వద్ద	vadda
నుండి	nundi
క్రింద	krindi
వరకు	varaku
బొత్తాలు	botthaalu
కలది	kaladi
</s>	</s>
సంసారం	samsaram
సముద్రంమీద	samudrammeda
తేలే	tele
బుగ్గని	buggani
అంటినిగదా	antinigada
మనసా	manasaa
</s>	</s>
పొట్టి	potti
శ్రీరాములు	sreeramulu
తెలుగు	telugu
విశ్వవిద్యాలయం	viswavidyalayam
వారిచే	variche
2003లో	2003 lo
సత్కారం	satkaram
</s>	</s>
ముస్లిం	muslim
సామ్రాజ్యాల	samrajyala
జాబితా	jabitaa
</s>	</s>
ఇస్లామీయ	islamia
ప్రవక్తలలో	pravaktalalo
ఆఖరి	aakari
ప్రవక్తపై	pravaktapai
ప్రకటింపబడిన	prakatimpabadina
గ్రంథము	grandamu
ఖురాన్	quaran
ఇది	idi
అల్లాహ్	allah
చే	che
ప్రకటింపబడిన	prakatimpabadina
ఆఖరి	aakari
గ్రంథము	grandhamu
</s>	</s>
ఈ	ee
మూలాధార	mooladhara
చక్రములో	chakramlo
సాకిన్యాంబ	sakinyamba
నివసిస్తుంది	nivasistundi
</s>	</s>
అయినా	aina
దిక్సూచి	diksoochi
మూలంగా	moolamga
ఇవి	ivi
ప్రయాణిస్తాయి	prayanistai
</s>	</s>
మిర్యాలగూడ	miryalguda
సూర్యాపేట	suryapeta
మాచెర్ల	macherla
కోదాడ	kodada
మున్నగు	munnagu
పట్టణాలు	pattanalu
ఈ	ee
గ్రామానికి	gramaniki
సమీపములో	sameepamlo
ఉన్నాయి	unnai
</s>	</s>
మోర్గాన్	morgan
మరియు	mariyu
వ్యాపార	vyapara
సంస్థను	samsthanu
వదలి	vadili
డ్రేక్సెల్	dreksel
భాగస్వామ్యులతో	bagaswamyulataho
కలసి	kalisi
మోర్గాన్	morgan
స్టాన్లీను	stanleynu
ఏర్పాటు	yerpatu
చేసారు	chesaru
</s>	</s>
ఆనాడు	aanadu
తీసుకున్న	teesukunna
నిర్ణయం	nirnayam
ఎంతో	yento
మంది	mandi
విద్యార్థుల	vidyardula
పట్ల	patla
వరంగా	varamga
మారింది	marindi
</s>	</s>
డైక్లోరిన్	dichlorine
మొనాక్సైడ్	monoxide
నీటిలో	neetilo
బాగా	baga
కరుగును	karugunu
</s>	</s>
శాస్త్రి	sastry
వెంట	venta
అతని	atani
వ్యక్తిగత	vyaktigata
వైద్యుడు	vaidyudu
ఆర్‌ఎన్‌	rn
చుగ్‌	chug
కూడా	kooda
తాష్కంట్‌	tashkant
వెళ్ళాడు	velladu
</s>	</s>
రఘువంశంలో	raghuvamshamlo
కాళిదాసు	kalidasu
చెప్పిన	cheppina
రామకథకు	ramakathaku
వాల్మీకి	valmiki
రామకథకు	ramakathaku
గల	gala
సునిశితమైన	sunishitamaina
వ్యత్యాసాలను	vyatyasalanu
తెలుపుతూ	teluputu
వ్రాసిన	vrasina
విశ్లేషణాత్మక	vishsleshanatmaka
పుస్తకం	pustakam
</s>	</s>
మోహన్‌లాల్‌తో	mohanlaltho
కూడా	kooda
ఒక	oka
సినిమాలో	cinemalo
నటించింది	natinchindi
</s>	</s>
1758	1758
నాటికి	natiki
అవోర్డుపోయిస్	avordupois
పౌండ్	pound
యొక్క	yokka
రెండు	rendu
తూనికా	toonika
ప్రమాణాలు	pramanalu
మిగిలాయి	migilai
మరియు	mariyu
అవి	avi
ట్రాయ్	trai
గ్రెయిన్స్	grains
ప్రకారము	prakaram
7,000	7,000
గింజలు	ginjalu
మరియు	mariyu
6,999	6,999
గింజలుగా	ginjaluga
కొలవబడ్డాయి	kolavabaddai
</s>	</s>
అందుకు	anduke
కెమేరా	camera
అవసరమని	avasaramani
గ్రహించిన	grahinchina
రాజు	raju
కెమేరాను	camaranu
పొందే	ponde
యోచనలో	yochanalo
పడతాడు	padatadu
</s>	</s>
నెమ్మదిగా	nemmadiga
తన	tana
సంగీతంతో	sangeetamtho
వాత్సల్యంతో	vatsalyamtho
పిల్లలకు	pillalaku
దగ్గరౌతుంది	daggarautundi
మరియా	maria
</s>	</s>
తరువాత	taruvata
జయవర్ధనే	jayavardane
ధారాణ	dharana
ఆర్థిక	ardhika
విధానాలను	vidanalanu
అనుసరిస్తూ	anusaritstu
శక్తివంతమైన	saktivantamania
పాలన	palana
కొరకు	koraku
అధ్యక్షపాలనా	adyakshapalana
విధానం	vidanam
ప్రవేశపెట్టాడు	praveshapettadu
</s>	</s>
నంద్యాల	nandyala
గురించి	gurunchi
ప్రాంతీయ	pranteeya
వెబ్ సైట్	website
దినంద్యాల్	the nandyal
</s>	</s>
మిట్టపాలెం	mittapalem
పేరుతో	perutho
ఒకటి	okati
కంటే	kante
ఎక్కువ	yekku
పేజీలున్నందు	pagelunnadu
వలన	valana
ఈ	ee
పేజీ	page
అవసరమైంది	avasaramaindi
ఈ	ee
పేరుతో	parutho
ఉన్న	unna
పేజీలు	pagelu
</s>	</s>
సింధుజ	sindhuja
</s>	</s>
ద్వీపంలోని	dweepamloni
వాయవ్య	vayuvya
నైరుతి	nairuti
మరియు	mariyu
తూర్పుభాగాలలో	toorpubagalalo
కాలానుగత	kalanugata
గాలివానలు	galivanalu
సంభవిస్తూ	sambavistu
కొన్నిసమయాలలో	konnisamayalalo
తుఫానుల	tuphanula
కారణంగా	karanamga
ఆకాశం	aakasham
మేఘావృతమై	meghavrutamai
భారీవర్షాలు	bareevarshalu
కురుస్తుంటాయి	kurustuntai
</s>	</s>
చరణ్	charan
ఛుహ్	chuh
</s>	</s>
అబ్బూరి	abburi
రామకృష్ణారావు	ramakrishnarao
</s>	</s>
పదిహేను	padihenu
సంవత్సరాల	samvatsarala
బాలుడు	baludu
కౄర	krura
రాక్షసును	rakshasudanu
నిలువరించ	niluvarincha
జాలడనీ	jaladane
కనుక	kanuka
తానే	tane
సైన్య	sainya
సమేతంగా	samethamga
వచ్చి	vachhi
యాగ	yaga
రక్షణ	rakshana
చేయడానికి	cheyadaniki
అనుమతించమనీ	anumatinchamanee
దశరథుడు	dasharathudu
అర్ధించాడు	ardinchadu
</s>	</s>
వీరి	veeri
ధైర్యసాహసాలు	dairyasahasalu
గణనీయము	gananeeyamu
</s>	</s>
తదుపరి	tadupari
గోలకొండ	golconda
సుల్తాను	sultanu
అబ్దుల్లా	abdullah
కుతుబ్	kutub
షా	shah
ప్రాపకము	prapakamu
సంపాదించి	sampadinchi
దర్బారులో	darbarulo
వజీరు	vajeeru
స్థానానికి	stananiki
ఎదిగాడు	yedigadu
</s>	</s>
ఈయన	eeyana
స్వగ్రామం	swagramam
చిట్టూర్పు	chittoorpu
</s>	</s>
మార్కెటింగ్	marketing
విషయాల	vishayala
జాబితా	jabita
</s>	</s>
ఈ	ee
అంతఃకలహం	anthahkalaham
బ్యాక్‌లాష్‌లో	byaklashlo
ఒక	oka
మ్యాచ్‌లో	matchlo
బిగ్	big
షో	show
విజయ	vijaya
పతకాన్ని	patakanni
ఎగరవేయడంతో	yegara veyadamtho
సమిసిపోయింది	samisipoindi
</s>	</s>
సామాజిక	samajika
వ్యాపారం	vyaparam
</s>	</s>
బండారనాయకే	bhandaranayake
1962లో	1962 lo
ప్రభుత్వానికి	prabootvaniki
వ్యతిరేకంగా	vyatirekamga
జరిగినపోరాటానికి	jariginaporataniki
ఎదురునిలిచి	yedurunilichi
నిలబడింది	nilabadindil
</s>	</s>
ఈ	ee
చట్టం	chattam
ప్రకారం	prakaram
దేవదాసి	devadasi
వ్యవస్థ	vyavasta
పూర్తిగా	poortiga
నిషేధం	nishedham
</s>	</s>
మాల	mala
కన్నమదాసు	kannamadasu
మనసైన	manasaina
సుతుడుగా	sutuduga
</s>	</s>
వీరు	veeru
పాఠశాల	patashala
పిల్లలకు	pillalaku
ఉపయోగపడే	upayogapade
అనేక	aneka
పుస్తకాలను	pustakalanu
ప్రచురించి	prachurinchi
వారికి	variki
ఉచితంగా	uchitamga
పంపిణి	pampini
చేసారు	chesaru
</s>	</s>
అతనికి	ataniki
ఇద్దరు	iddaru
పిల్లలు	pillaru
కలరు	kalaru
</s>	</s>
ఎం.మల్లికార్జునరావు	m.mallikarjunarao
తెలుగు	telugu
సినిమా	cinema
దర్శకులు	darshakulu
</s>	</s>
వీరు	veeru
మారుమూల	maarumoola
పల్లెలు	pallelu
గ్రామాలు	gramalu
ఎంచుకున్నారు	yenchukunnaru
</s>	</s>
సందేశాన్ని	sandeshanni
పంపడం	pampadam
మెసేజ్	message
పాసింగ్	passing
యొక్క	yokka
కచ్చితమైన	kachhitamaina
అర్థానికి	ardaniki
సంబంధించి	sambandinchi
తరచూ	tarachu
అసంఖ్యాక	asamkyaka
ప్రత్యామ్నాయాలు	pratyamnyalu
ఉన్నాయి	unnai
వాటిలో	vatilo
</s>	</s>
మహాప్రళయం	mahapralayam
సంభవించింది	sambavinchindi
</s>	</s>
ఈమెను	eemenu
మొదటగా	modataga
కె	k
</s>	</s>
ఇట్లు	itlu
విన్నవించు	vinnavinchu
</s>	</s>
గుప్త	gupta
శాస్త్రం	sastram
1999లో	1999lo
విడుదలైన	vidudalaina
తెలుగు	telugu
సినిమా	cinema
</s>	</s>
బ్రాచీ	brachi
థెరపీలో	therapylo
రేడియోధార్మికత	radiodarmikata
నిచ్చే	nichhe
వనరులను	vanaralanu
నేరుగా	neruga
కేన్సర్	cancer
కణితుల	kanithulu
వున్న	unna
ప్రదేశాలలోనే	pradeshaalalone
అమర్చుతారు	amarchutaru
</s>	</s>
దేశమంతటా	desamantataa
పుస్తక	pustaka
మేళాలను	melalanu
ప్రదర్శనలను	pradarshanalanu
ఏర్పాటుచేయడం	yerpatucheyadam
ద్వారా	dwara
గ్రంథాలను	grandhalanu
గ్రంథ	grandha
పఠనాభ్యాసాన్ని	patanabhyasanni
ప్రోత్సహిస్తున్నారు	protshahistunnaru
</s>	</s>
నిజాంపేట్	nizampet
</s>	</s>
కొన్నాళ్ళు	konnallu
స్వామీ	swami
రాం	ram
తీర్థ్	tirth
శిష్యునితో	sishyunitho
ఉన్నారు	unnaru
ఆయన	ayana
</s>	</s>
గౌతమ	goutama
మహర్షి	maharshi
కొన్ని	konni
వేల	vela
సంవత్సరాలు	samvathsarala
దాంపత్య	dampatya
బ్రహ్మచర్యమును	brahmacharyamunu
గడిపిన	gadipina
పిమ్మట	pimmata
అహల్యను	ahalyanu
ఆదరించి	adarinchi
వలసిన	valasina
కోరిక	korika
కోరుమనెను	korumanenu
</s>	</s>
చాలా	chaala
ఆధునిక	adhunika
పరికరాల్లో	parikarallo
వెంట్రిక్యులర్‌	ventriqueler
ఫిబ్రిలేషన్‌	phibrilation
వెంట్రిక్యులర్‌	ventriqueler
టాచికార్డియాలకు	tachicardiyalaku
ఉన్న	unna
తేడాలను	tedalanu
గుర్తించే	gurtinche
పరిజ్ఞానం	parignanam
ఉంటుంది	untundi
</s>	</s>
కొద్ది	koddi
మందికి	mandiki
మాత్రమే	matrame
తెలిసిన	telisina
లోతైన	lotaina
విషయమును	vishayamunu
నలుగురికి	naluguriki
తెలియచేసే	teliyachese
అవకాశము	avakasamu
కల్పించిన	kalpinchina
వారికి	variki
ధన్యవాదములు	danyavadamuluy
</s>	</s>
కొందరిలో	kondarilo
లివర్	liver
బయాప్సీ	biopsy
అవసరం	avasaram
</s>	</s>
నర్రా	narra
వెంకటేశ్వర	venkateswara
రావు	rao
</s>	</s>
కొన్నాళ్ళకు	konnallaku
శంకరదేవుడుమరొక	shankaradevudu maroka
గ్రామము	gramaniki
వెళ్ళిపోవలసి	vellipovalasi
వచ్చింది	vachhindi
</s>	</s>
ఈ	ee
చిత్రంలో	chitramlo
ఆశా	asha
భోస్లే	bhoshle
పాడిన	padina
జీవితం	jeevitam
సప్తసాగర	saptasagara
గీతం	geetam
అనే	ane
పాట	pata
జనరంజకమైనది	janaranjakamainadi
</s>	</s>
బ్యాక్టీరియల్‌	bacterial
ఇన్‌ఫెక్షన్‌	infection
వంటివి	vantivi
ఇందుకు	induku
ప్రధాన	pradana
కారణాలు	karanalu
</s>	</s>
నూతన్	nutan
ప్రసాద్	prasad
</s>	</s>
ఎన్నో	yenno
హిందీ/మరాఠీ	hindi/marathi
ఆల్బమ్‌లతో	albumlatho
పాటు	patu
రెండు	rendu
మరాఠీ	marathi
సినిమాల్లో	cinemallo
కూడా	kooda
పాడింది	padindi
</s>	</s>
ఈ	ee
దేవాలయం	devayalam
1929 లో	1929l o
కాశ్మీర్	kashmir
రాజు	raju
అయిన	aina
సుచాన్	suchan
సింగ్	singh
చే	che
నిర్మింపబదినది	nirmimpabadinadi
</s>	</s>
జర్మనీ	germany
లోని	loni
తపాలా	tapala
శాఖ	shakha
అధికారులందరి	adikarulandari
తోనూ	thonu
వైర్	wire
లెస్	less
ద్వారా	dwara
తన	tana
ఆఫీసు	office
నుంచే	nunche
మాట్లాడే	matlade
సమయం	samayam
త్వరలోనే	twaralone
ఆసన్నమవుతుందని	asannamautundani
డాక్టర్	doctor
బ్రెడో	bredo
ఆ	aa
సభకు	sabhaku
విచ్చేసిన	vichhesina
తపాలా	tapala
శాఖ	sakha
మంత్రితో	mantritho
చెప్పాడు	cheppadu
</s>	</s>
ఆయన	ayana
దేహం	deham
బూటి	bhooti
వాడలో	vadalo
ఖననం	khananam
చేయబడింది	cheyabadindi
</s>	</s>
అల్లు	allu
రామలింగయ్య	ramalingaiah
</s>	</s>
నాగభూషణం	nagabhushanam
</s>	</s>
ఇది	idi
భారత	bharata
ప్రభుత్వ	prabutva
సమాచార	samachara
మరియు	mariyu
ప్రసార	prasara
యంత్రాంగ	yantramga
ఆధ్వర్యములో	aadvaryamulo
స్వయంప్రతిపత్తి	swayampratipatti
కలిగిన	kaligina
ప్రసార	prasara
భారతి	bharathi
యొక్క	yokka
విభాగము	vibagamu
</s>	</s>
1935	1935
భారత	bharata
జాతీయ	jatiya
సైన్సు	science
అకాడమీని	academyni
కలకత్తాలో	calcuttalo
నెలకొల్పారు	nelakolparu
</s>	</s>
ఒక	oka
అతి	ati
ముఖ్యమైన	mukyamaina
విక్షేపం	nikshepam
మధ్య	madya
విభాజక	vibajaka
ప్రాంతము	prantamu
నుంచి	nunchi
వచ్చి	vachhi
కొలినెర్జిక్	kolinerjik
మరియు	mariyu
GABAergic	gabaergic
ఫైబర్లను	fibrlanu
హిప్పోకాంపస్	hippocampus
యొక్క	yokka
అన్ని	anni
భాగాలకు	bagalaku
పంపుతుంది	pamputundi
</s>	</s>
ఇవేకాక	ivekaka
ఆవో	aavo
గారో	garo
ఖాసీ	khasi
మిసింగ్	mising
మిజో	mizo
మొదలైన	modalaina
ఆదివాసీ	adivasi
భాషలలో	bhashalalo
కూడా	kuda
ప్రయోగాత్మకంగా	prayogatmakamga
ప్రచురణలు	prachuranalu
చేపట్టారు	chepattaru
</s>	</s>
1369	1369
లో	lo
మక్బూల్	maqbool
మరణం	maranam
తరువాత	taruvata
అతని	atani
కుమారుడు	kumarudu
జౌనా	jouna
ఖాన్	khan
లేదా	leda
జౌనా	jouna
షా	shah
వజీరు	vaziru
అయ్యాడు	ayyadu
</s>	</s>
అయినా	aina
వారిసంఖ్య	varisamkhya
క్రమంగా	kramamga
తగ్గుముఖం	taggumukam
పడుతూ	padutu
ఉంది	undi
</s>	</s>
మారియెట్	mariot
అనీకి	aneeki
మంచి	manchi
విద్యాభ్యాసం	vidyabhyasam
అందిస్తానని	andistanani
మాట	mata
ఇచ్చింది	ichhindi
</s>	</s>
జగపతిబాబు	jagapatibabu
</s>	</s>
ఈమె	yeme
సెరిబ్రల్	cerebral
ఫాల్సీ	falsee
వ్యాధితో	vyadhitho
పుట్టింది	puttindi
</s>	</s>
ఉపయోగాలున్నాయని	upayogalunnayani
అతిగా	atiga
తినడం	tinadam
సౌందర్య	soundarya
పోషణకు	poshanaku
వినియోగించడం	viniyoginchadam
మంచిది	manchidi
కాదు	kadu
</s>	</s>
ముఖ్యమైన-ప్రతినిధి	mukyamaina-pratinidhi
సమస్య	samasya
</s>	</s>
దేశంలో	deshamlo
1977లో	1977 lo
ప్రైవేటీకరణ	privatekarana
నియంత్రణ	niyantrana
సడలింపు	sadalimpu
మరియు	mariyu
ప్రైవేట్	private
సంస్థల	samsthala
ప్రమోషన్	promotion
వంటి	vanti
అంశాలతో	amshalatho
స్వేచ్ఛా	swechha
విఫణి	viphani
ఆర్థికవిధానం	ardikavidanam
ప్రవేశపెట్టబడింది	preveshapettabadindi
</s>	</s>
ధర	dhara
చూడబోతే	choodabote
పెద్ద	pedda
ఖరీదేమీ	khareedemi
కాదు	kadu
</s>	</s>
ఇంకనూ	inkanoo
ఈసా	eesha
ముహమ్మద్	mohammed
ప్రవక్త	pravakta
దైవసందేశాలను	daivasamdeshalanu
మోసుకొచ్చినవారే	mosukochhinavare
</s>	</s>
పెట్టుబడులకు	pettubadulaku
సంబంధించిన	sambandichina
నష్టాలను	nastalanu
గుర్తించి	gurtinchi
నిర్వహించడం	nirvahinchadam
ప్రాజెక్ట్	project
పెట్టుబడిదారులకు	pettubadidarulaku
ఎంతో	yento
అవసరం	avasaram
</s>	</s>
మరియు	mariyu
Seల	sela
బాష్పీభవనం	bashpeebhavanam
జరుగుతుంది	jarugutundi
రెండవ	rendava
దశలో	dashalo
ఇది	idi
సి	c
</s>	</s>
ఈ	ee
ఇతివృత్తం	itivruttam
శృంగారభరితమైనది	srungarabaritamainadi
</s>	</s>
అవార్డులు	avardulu
</s>	</s>
లిచిడో	lichido
లిక్కర్	liquor
</s>	</s>
స్టాథమ్	statham
అవివాహితుడు	avivahitudu
అయితే	aite
కొన్నేళ్లుగా	konnelluga
మోడల్	model
కెల్లీ	kelley
బ్రూక్‌తో	brooktho
అతను	atanu
సంబంధం	sambandam
కలిగి	kaligi
ఉన్నాడు	unnadu
</s>	</s>
పందిరి	pandiri
</s>	</s>
ఔషధోపయోగాలు	oushadhopayogalu
-	-
ధనియాలను	dhaniyalanu
వేయించి	veyinchi
పొడి	podi
చేసి	chesi
పూటకు	pootaku
సగం	sagam
చెంచా	chemcha
చొప్పున	choppuna
క్రమం	kramam
తప్ప	tappa
కుండా	kunda
తింటే	tinte
శరీర	sarira
దౌర్బల్యం	dourbalyam
తగ్గుతుంది	taggutundi
-	-
