ചാൾസ് തടാകം	Charles thadakom
ഫ്രാൻസിന്റെ പ്രതിനിധിയായി മൂത്തസഹോദരൻ ജോസെഫും ഇംഗ്ലണ്ടിന്റെ പ്രതിനിധിയായി കോൺവാലിസ് പ്രഭുവും ഇതിൽ ഒപ്പു വെച്ചു,	Francinte prathinidhiyayi moothasahodaran Josephum Englandinte prathinidhiyayi Convalis prabhuvum ethil oppu vachu,
അന്ന് കൊല്ലം പട്ടണത്തിൻറെ ഒരു ദിവസം തുടങ്ങുന്നത് പനങ്കാവിലമ്മയെ തൊഴുതുകൊണ്ടാണ്.	annu Kollam pattanathinte oru divasam thudangunnath Panankavilammaye thozhuthukondanu.
ദർഗന	dargana
"ഓൾ ഇന്ത്യ ഇസ് ലാഹി മൂവ്മെൻറ്" എന്നപേരിലും ഇസ് ലാഹി പ്രസ്ഥാനം കേരളത്തിനു പുറത്ത് പ്രവർത്തിക്കുന്നു.	"All India is Lahi movement" yennaperilum Is Lahi prasthanam Keralathinu purathu pravarthikunnu.
ഇതൊരു മഹാപുരാണമാണ് ഉപപുരാണമല്ല.	ethoru mahapuranamanu upapuranamalla.
ഇദ്ദേഹം തുടക്കമിട്ട പരിഷ്ക്കാരങ്ങൾ ചൈനയിൽ എല്ലാ മേഖലകളിലും മുന്നേറ്റത്തിനു വഴിയൊരുക്കി.	edheham thudakamitta parishkarangal Chinayil yella mekhalakalilum munnettathinu vazhiyorukki.
യൂണിവേഴ്സിറ്റി ചീഫ് എക്സിക്യൂട്ടീവ് ഓഫീസർ ആയി ചുമതലപ്പെടുത്തുന്നതിന് ബോർഡ് നിയമനം നടത്തുന്നു, കൂടാതെ പ്രൊഫസർമാരുടെ ചുമതലകൾ നിശ്ചയിക്കുകയും, സാമ്പത്തിക, ബിസിനസ്സ് കാര്യങ്ങൾ കൈകാര്യം ചെയ്യുകയും 9 വൈസ് പ്രസിഡന്റുമാരെ നിയമിക്കുകയും ചെയ്യുന്നു.	University Chief Executive Officer aayi chumathalapeduthunnathinu board niyamanam nadathunnu, koodathe professormarude chumathala nishchayikukayum, sambathika, business karyangal kaikaryam cheyyukayum 9 Vice presidentmare niyamikkukayum cheyunnu.
ഇവിടെ പ്രവർത്തിക്കുന്ന ഓഫീസുകൾ	evide pravarthikkunna officukal
മുട്ടിടകളിലെ പൊള്ളയുടെ വലിപ്പക്കുറവ് മൂലമാണ് ഇവയ്ക്ക് കല്ലൻമുള എന്ന പേരു ലഭിച്ചത്.	muttidakalile pollayude valoppakuravu moolamanu evayku kallanmula yenna peru labhichathu.
രാമനാട്ടം വാല്മീകി രാമായണത്തെ ആസ്പദമാക്കി രാമന്റെ അവതാരം, വിവാഹം, വാനപ്രസ്ഥം, സീതാപഹരണം, രാമ രാവണ യുദ്ധം, രാവണ വധം, രാമന്റെ പട്ടാഭിഷേകം എന്നി സംഭവങ്ങളായാണ് രചിച്ചിരിക്കുന്നത്.	Ramanattam Valmiki Ramayanathe aspadhamaki Ramante avatharam, vivaham, vanaprastham, Seethapaharanam, Rama Ravana yudham, Ravana vadham, Ramante pattabhishekam yenni sambhavangalayanu rachichirikkunnathu.
വിച്ഛിന്നതലങ്ങളിൽ ഇവയ്ക്കു പ്രതിപതനമോ അപവർത്തനമോ സംഭവിക്കുന്നു.	vichinnathalangalil evaykku prathipathanamo apavarthanamo sambhavikkunnu.
പൊതുവെ ഒരു വസ്തു വിയുതിയിലാണെന്ന് പറയുമ്പോൾ സൂര്യനുമായുള്ള വിയുതിയാണ്‌ അർത്ഥമാക്കുന്നത്.	pothuve oru vasthu viyuthiyilanennu parayumbol suryanumayulla viyuthiyanu arthamakunnathu.
ഇത് ആയുധം നീക്കുപോക്കു ചെയ്യാൻ സൗകര്യമായിരുന്നു.	ethu aayudham neekkupokku cheyyan saukaryamayirunnu.
ഗ്ലെൻ ഹ്യൂഗ്സ് ബിംബവാദകൽപ്പനയുടെ പ്രധാന പ്രയോക്താക്കളിൽ ഒരാളാണ്.	Glenn Hugos Bimbavadhalpanayude pradhana prayikthakalil oralanu.
മാർ ആബോയുടെ മധ്യസ്ഥതയിലുള്ള ഒരു തീർത്ഥാടന കേന്ദ്രം കൂടിയാണിത്.	Mar Aboyude adhyasthathayilulla oru theerthadana kendram koodiyanithu.
സ്വാമികൾ കൃഷ്ണധ്യാനത്തിൽ മുഴുകുകയും തുടർന്ന് അദ്ദേഹത്തിന് വേലകളി കാണിച്ചുകൊടുത്തിട്ട് കൃഷ്ണൻ കൂട്ടുകാരോടൊത്ത് ഒളിച്ചുകളയുകയും ചെയ്തു.	swamikal Krishnadhyanathil muzhukukayum thudarnnu adhehathinu velakali kanichukoduthittu Krishnan kootukarodothu olichukalayukayum cheythu.
പാരിസ് നഗരപരിധിക്ക് പുറത്ത് മൂന്നു സെമിത്തെരികൾ പണികഴിപ്പിച്ചു മോമാർത്ര്(വടക്ക്) , മൂൺപാർനസ്സ്(തെക്ക്) പേർലാഷസ്(കിഴക്ക്).	Paris nagaraparidhiku purathu moonu cemiterikal panikazhipichu Montmartre(vadaku) , Montparnasse(thekku) Perelachaise(kizhaku).
പ്രത്യുത്പാദനാവയവങ്ങൾ വളരെ വികസിതമാണ്.	prethyuthpadhanaavayavangal valare vikasithamanu.
ഏകദേശം പതിമൂന്നോളം ചിത്രങ്ങളിൽ അവർ ഒരുമിച്ച് അഭിനയിച്ചിട്ടുണ്ട്.	yekadesham pathimoonolam chithrangalil avar orumichu abhinayichittundu.
KTDC-യുടെ ആദ്യത്തെ ചെയർമാനും അദ്ദേഹമായിരുന്നു.	KTDC-yude adhyathe chairman adhehamayirunnu.
മനുഷ്യൻ തന്റെ സുഖഭോഗങ്ങൾക്കായുപയോഗിക്കുന്ന മിക്കവസ്തുക്കളിലും റബ്ബറിന്റെ സാന്നിദ്ധ്യമുണ്ട്.	manushyan thante sugabhogangalkayupayogichirunna mikkavasthukalilum rubberinte sanidhyamundu.
ഏതായാലും ഈ കുമാരൻ നമ്പ്യാർ പിന്നീട്‌ ഇസ്‌ലാം മതം സ്വീകരിക്കുകയും തന്റെ പേര് മുഹമ്മദ് അയാസ് ഖാൻ എന്നാക്കി മാറ്റുകയും ഉണ്ടായി.	yethayalum ee Kumaran Nambiar pinneedu Islam matham sweekarikkukayum thente peru Muhammad Ayas Khan yennaki mattukayum undayi.
സ്കോട്ട്‌ലൻഡ്	Scotland
അഭിനയരംഗം	abhinayarangam
ഗംഗാ കല്യാൺ യോജന, ഡി.	Ganga Kalyan Yogana, D.
ഇസ്‌ലാമിക പണ്ഡിതനും ചിന്തകനുമായ മൌദൂദിയുടെ ഖുർ‌ആൻ വ്യാഖ്യാനമാണ് തഫ്ഹീമുൽ ഖുർആൻ.	Islamic pandithanum chinthakanumaya Maududiyude Quran vyakhyanamanu Tafheemul Quran.
ജെന്നിയാണ് സ്നേഹം സ്നേഹമാണ് ജെന്നി	Jennyaanu sneham snehamanu Jenny
മുദ്രോസ് വെടിനിർത്തലിന്റെ കരാറനുസരിച്ച് ഒന്നാം ലോകമഹായുദ്ധത്തിന്റെ അവസാനത്തോടെ ഓട്ടോമാനുകൾ ഈ പ്രദേശത്തുനിന്ന് പിന്മാറാനും ബ്രിട്ടീഷുകാരെ ഇവിടെ അധിനിവേശം നടത്താൻ അനുവദിക്കാനും തീരുമാനിച്ചു.	Mudros vedinirthalinte kararanusarichu onnaam lokamahayudhathinte avasanathode Ottomanukal ee pradeshathununnu pinmaranum Britishukare evide adhinivesham nadathan anuvadhikkanum theerumanichu.
പല വിദ്വാൻമാരുടെയും ജൻമംകൊണ്ട് ധന്യമായിട്ടുളളതാണ് ഈ കുടുംബം.	pala vidhvanmarudeyum janmamkondu dhanyamayittullathanu ee kudumbam.
സുദീർഘമായ വാഴ്ചക്കുശേഷമുണ്ടായ ലൂയി പതിനാലാമന്റെ മരണം മുതൽ, മുഖ്യയൂറോപ്യൻ രാഷ്ട്രശക്തികൾ തമ്മിൽ നടന്ന പ്രസിദ്ധമായ സപ്തവത്സരയുദ്ധത്തിന്റെ തുടക്കം വരെയുള്ള കാലമായിരുന്നു അത്.	sudheerkhamaya vazhchakusheshamundaya Louis apthinalamente maranam muthal, mukhyaeuropean rashtriyashakthikal thammil nadanna prasidhamaya sapthavalsarayudhathinte thudakam vareyulla kaalamayirunnu athu.
അജൈവധാതുക്കൾ രാസസംശ്ലേഷണം ഉപയോഗിച്ച് അവയെ പല ഘടകങ്ങളായി തിരിച്ച് അതിൽ നിന്നും ലഭിക്കുന്ന ഊർജ്ജം ഉപയോഗിക്കുന്നു.	ajaivadhathukkal rasasamshleshanam upayogichu avaye pala ghatakangalayi thirichu athil ninnum labhikkunna uurjam upayogikkunnu.
പിന്നീടാണ് സ്വാമി ആനന്ദതീർഥ എന്ന് അറിയപ്പെട്ടത്.	pinnedu swamy Anandhatheertha yennu ariyapettathu.
കല്യാണക്കുറിമാനം	kalyanakurimanam
ആഖ്യാനരൂപത്തിലുള്ള ഈ കഥയിലെ ആഖ്യാതാവ് ഒരു 8-വയസ്സുകാരി ആണ്, ഇവൾ വേട്ടയാടൽ വളരെയധികം വെറുത്തിരുന്നു.	aakhyanaroopathilulla ee kadhayile akhyathavu oru 8-vayasukari aanu, eval vettayadal valareyadhikam veruthirunnu.
മീരാസ മഹൽ മ്യൂസിയം, സോപ്പോർ	Mirasa Mahal Museum, Soppor
ആദ്യം സുകാർണോയുടെ ഭാര്യ ഇങ്കിറ്റിന് ഭർത്താവിനെ ഒഴിവാക്കാൻ ആഗ്രഹമില്ലായിരുന്നു. എന്നാൽ, രണ്ടു വർഷത്തിന് ശേഷം അവർ വിവാഹ മോചനത്തിന് സമ്മതിച്ചു.	adhyam Sukarnoyude bharya Ingitinu bharthavine ozhivakan agrahamillayirunnu. Yennal, randu varshathinu shesham avar vivaha mochanathinu sammathichu.
സാഹിത്യം, പത്രപ്രവർത്തനം തുടങ്ങിയ മേഖലകളിലും മുൻ തലമുറയിലും ഇപ്പോഴത്തെ തലമുറയിലും നെടുംകുന്നത്തിന്‌ പ്രാതിനിധ്യമുണ്ട്‌.	sahithyam, pathrapravarthanam thudangiya mekhalakalilum mun thalamurayilum eppozhathe thalamurayilum nedumkunnathinu praathinidhyamundu.
1937 ൽ കൊല്ലം ജില്ലയിലെ പെരിനാട് മംഗലത്ത് കുടുംബത്തിൽ കൊച്ചുകുഞ്ഞ്-കല്യാണി ദമ്പതിമാരുടെ മകനായി ജനിച്ചു.	1937 il Kollam jillayile Perinad Mangalath kudumbathil Kochukunju-Kalyani dambathimarude makanayi janichu.
ഈ ചിത്രം യഥാർത്ഥത്തിൽ ആദ്യം ഒർലാൻഡോ എന്നായിരുന്നു.	ee chithram yatharthathil adhya Orlando yennayirunnu.
യുവമോർച്ചയുടെ സംസ്ഥാന ഉപാധ്യക്ഷയായും ബി.	yuvamorchayude samsthana upaadhyakshayayum B.
ഓർമകൾ ഉണ്ടായിരിക്കണം	ormakal undayirikanam
സരതുഷ്ട്രരുടെ അഭിപ്രായത്തിൽ ശരീരത്തെക്കാൾ ആത്മാവിനു പ്രാധാന്യം നൽകുന്ന ഉപവാസവും , ആത്മാവിനേക്കാൾ ശരീരത്തിന് പ്രാധാന്യം നൽകുന്ന അമിതഭക്ഷണവും ഒന്ന് പോലെ പാപങ്ങളാണ് .	sarathushtarude abhiprayathil shareerathekal athmavinu pradhanyam nalkunna upavasavum , athmavinekal shareerathinu pradhanyam nalkunna amithabhakshanavum onnu pole papangalanu .
മുൻ ഇന്ത്യൻ ക്രിക്കറ്റ് കളിക്കാരനും ടെസ്റ്റ് ക്രിക്കറ്റ് അമ്പയറുമാണ് ശ്രീനിവാസ് വെങ്കട്ടരാഘവൻ .	mun Indian cricket kalikaranum test cricket empirumanu Srinivas Venkattaraghavan .
ധാതു എണ്ണകളും കല്ക്കരിപോലെതന്നെ പുരാസസ്യ മഹാകല്പങ്ങളിലെ സംഭാവനകളാണ്.	dhathu yennakalum kalkaripolethanne purasasya mahakalpangalile sambhaavanakalanu.
മനുഷ്യന്റെ ഭൂതകാലത്തെ തത്ത്വചിന്താപരമായി നോക്കിക്കാണാൻ ആഗ്രഹിച്ച ഡുറാന്റിന് ആ പുസ്തകം ഇഷ്ടപ്പെട്ടു.	manushyante bhoothakalathe thathvachinthaaparamayi nokkikanaan agrahicha Durantinu aa pusthakam ishtapettu.
ഈ കിഷോരി ശിക്ഷാ കേന്ദ്രങ്ങൾക്ക് ഇപ്പോൾ 80 ശാഖകൾ ഉണ്ട്.	ee kishori shiksha kendrangalku eppol 80 shakhakal undu.
കർണ്ണാടക നിയമസഭാ തിരഞ്ഞെടുപ്പിൽ അദ്ദേഹം ആദ്യമായി 1962-ൽ വിജയിച്ചു.	Karnataka niyamasabha theranjedupil adheham adhyamayi 1962-il vijayichu.
ഹൈഡ്രജൻ സയനൈഡ് പൊട്ടാസ്യം ഹൈഡ്രോക്സൈഡിന്റെ ലായനിയുമായി പ്രവർത്തിപ്പിച്ചശേഷം ശൂന്യതയിൽ ആ ലായനി ബാഷ്പീകരിച്ചാണ് പൊട്ടാസ്യം സയനൈഡ് ഉണ്ടാക്കുന്നത്:	Hydrogen Cynide pottassium Hydroxidinte layaniyumayi pravarthipichashesham shoonyathayil a laayani bashpeekarichanu pottasium cynide undakunnathu:
ഏഴാം ക്ലാസ് ജയിച്ചു മുൻഷിയായി.	yezham class jayichu munshiyayi.
യോഹന്നാന്റെ രചനകൾ ആദ്യമായി പ്രസിദ്ധീകരിക്കപ്പെട്ടത് അദ്ദേഹം മരിച്ച് 27 വർഷം കഴിഞ്ഞ് 1618-ലാണ്.	Yohannante rachanakal adhyamayi prasidheekarikapettathu adheham marichu 27 varsham kazhinju 1618-lanu.
കണ്ണൂർ സർവ കലാശാലയുടെ പരിസ്ഥിതി പഠന കേന്ദ്രത്തിൻറെ ഡയറക്ടറായിരുന്നു.	Kannur sarva kalashalayude paristhithi padana kendrathinte directorayirunnu.
കുടിയത് -കുടിക്കുക നോടത്-നോക്കുക	kudiyathu -kudikkuka nodath-nokkuka
ബൈബിളിലെ ഉല്പത്തിപ്പുസ്തകത്തേക്കുറിച്ചും സമയം എന്ന സങ്കല്പത്തിന്റെ പൊരുളിനേയും കുറിച്ചുള്ള ചിന്തകൾ.	Biblele ulpathipusthakathekurichum samayam yenna sangalpathinte porulineyum kurichulla chinthakal.
ഭേളാത്യാഃ കിംന പഠ്യന്തേ	bhelathyah kimna pattyanthe
മനുഷ്യന്റെ കൈയിലെ തള്ളവിരൽ പോലെ, മറ്റുവിരലുകൾക്ക് അഭിമുഖമായാണ് ഇതിന്റെ കാലിലെ തള്ളവിരൽ.	manushyante kaiyile thallaviral poke, mattuviralukalkku abhimukhamayanu ethinte kalile thallaviral.
സൈന്യത്തെ ചതുരാകൃതിയിലാണ് നെപോളിയൻ വിന്യസിച്ചത്, ഈ വിന്യാസം മികച്ച യുദ്ധതന്ത്രമായി അറിയപ്പെട്ടു.	sainyathe chathurakruthiyilanu Nepolean vinyasichathu, ee vinyasam mikach yudhathantramai ariyapettu.
മിക്ക ഗവേഷക പണ്ഡിതന്മാരും ഉണ്ണുനീലിസന്ദേശത്തിന്റെ കാലം ക്രി.	mikka gaveshaka pandithanmarum unnuneelasandeshathinte kaalam cri.
ഗവ അധ്യാപക പരിശീലന കേന്ദ്രം	gava adhyapaka parisheelana kendram
പണിക്കർ പട്ടുടുത്ത് പൂവിട്ട് കളരിമുറയിൽ കെട്ടിത്തൊഴുത് വന്ദനശ്ലോകങ്ങൾ ചൊല്ലി കളി തുടങ്ങുന്നു.	paniker pattuduthu poovittu kalarimurayil kettithozhuthu vandanaslokangal cholli kali thudangunnu.
ലോകാരോഗ്യ സംഘടനയുടെ അനുമാനമനുസരിച്ച് ലോകത്ത് 14 കോടി സ്ത്രീകളും പെൺകുട്ടികളും ഈ പ്രക്രീയയുടെ ഇരകളാണ്.	lokarogya sangadanayude anumanamanusarichu lokathu 14 kodi sthreekalum penkuttikalum ee prakriyayude erakalanu.
ശബരിമലയിൽ വേലൻ പാട്ട് അയ്യപ്പപ്രീതിക്കായി നടത്തുന്ന ഒരു പ്രധാന വഴിപാടാണ്.	Sabarimalayil Velan paattu ayyappapreethikayi nadathunna oru pradhana vazhipadanu.
മയക്കുമരുന്ന് വ്യാപാരം, വാടകക്കൊല, കുഴൽപണം, ചൂതാട്ടം, വേശ്യാപ്രവർത്തനം, വാഹന മോഷണം, കവർച്ച തുടങ്ങിയവയാണ് ഇവരുടെ പ്രധാന പ്രവർത്തന മേഖല.	mayakkumarunn vyaparam, vadakakola, kuzhalpanam, choothattam, veshyapravarthanam, vahana moshanam, kavarcha thudangiyavayanu evarude pradhana pravarthana mekhala.
തീവണ്ടിചക്രങ്ങൾക്ക് ഉരുളുന്നതിന് അവലംബിക്കാവുന്ന പ്രതലമായിരിക്കും തീവണ്ടിപ്പാത.	theevandichakrangalku urulunnathinu avalambikkavunna prathalamayirikkum theevandipatha.
ഇവിടെ ഉള്ള പ്രധാന ആകർഷണം ആണ് മാക്ടൻ ഐലൻഡ് അക്വേറിയം	evide ulla pradhana akarshanam aanu Makton Island Aquarium
എക്‌സൈസ് നികുതി, സ്‌റ്റാംപ് നികുതി, തൊഴിൽ നികുതി, വാഹന നികുതി, ഏതാനും പെട്രോളിയം ഉൽപന്നങ്ങളുടെ വിൽപന നികുതി തുടങ്ങിയ സംസ്‌ഥാന നികുതികൾ ജിഎസ്‌ടിയിൽ ലയിക്കുന്നതല്ല.	excise nikuthi, stamp nikuthi, thozhil nikuthi, vahana nikuthi, yethanum petrolium ulpannangalude vilpana nikuthi thudangiya samsthana nikuthikal GSTyil layikkunnathalla.
എന്തെന്നാൽ, അനീതിയിലും ക്രൂരതയിലും മുഴുകുന്ന രാഷ്ട്രങ്ങൾക്കെതിരെയുള്ള ദൈവകോപത്തിന്റെ നിയമം, തിരികല്ലിനെ (mill stone) കടലിൽ മുക്കുന്ന നിത്യനിയമത്തേക്കാൾ ശക്തമാണ്.”	"yenthennal, aneethiyilum krurathayilum muzhukunna rashtrangalkethireyulla daiwakopathinte niyamam, thirikalline (mill stone) kadalil mukkunna nithyaniyamathekal shakthamanu."
തട്ടത്തിന്റെ അരികുകൾ അല്പം ഉയർന്നതായിരിക്കും.	thattathinte arikukal alpam uyarnnathayirikkum.
എന്നിരുന്നാലും അത് മരപ്പശയോ കുമ്മായക്കൂട്ടോ ആയിരിക്കാനിടയുണ്ടെന്നു കരുതുന്നു.	yennirunnalum athu marappashayo kummayakootto aayirikkanidayundennu karuthunnu.
ഐയിൽ കൂടി സജീവ രാഷ്ട്രീയത്തിലേക്ക് കടന്നു വന്നു.	Iyil koodi sajeeva rashtriyathilekku kadannu vannu.
ചിത്രത്തിന്റെ ദൃശ്യമനോഹാരികതയ്ക്കു തന്നെയാണ് പ്രകൃതി ഛായാഗ്രഹണത്തിൽ പ്രാധാന്യം ഉള്ളത്.	chithrathinte drishyamanoharikathayku thanneyanu prakrithi chayagrahanathil pradhanyam ullathu.
സരതുഷ്ട്രന്റെ ഉപദേശമനുസരിച്ച് ലോകത്തിന്റെ മുഴുവൻ സ്രഷ്ടാവും രക്ഷകനുമായ അഹുറമസ്ദ എന്ന ദൈവം ബുദ്ധിയും ദയവും നിറഞ്ഞ ഭരണാധികാരിയാണ് .	Sarathushtrante upadeshamanusarichu lokathinte muzhuvan srashtavum rakshakanumaya Ahuramasda yenna daiwam budhiyum dhayayum niranja bharanadhikariyanu .
1997ൽ ഭാരതസർക്കാറിന്റെ ഇൻഫ്രാസ്ട്രക്ചർ വികസന സ്ഥാപനമായ ഇൻഫ്രാസ്ട്രക്ചർ ഡെവലപ്മെന്റ് ആന്റ് ഫിനാൻസ് കമ്പനി ലിമിറ്റഡ്(ഐ.ഡി.എഫ്.സി) യുടെ നോൺ എക്സിക്യൂട്ടീവ് ചെയർമാൻ പദവിയും ദീപക് പരേഖിനു ലഭിച്ചു.	1997il bharathasarkarinte infrastructure vikasana sthapanamaya Infrastructure Development and Finance company Limited(I.D.F.C) yude non executive chairman padhaviyum Deepak Parekhinu labhichu.
എസ് പഠനത്തിനായി ചേർന്നു.	S padanathinaayi chernnu.
ബൈസാന്തിയൻ സന്യാസികൾ നാലാം നൂറ്റാണ്ടിൽ ഈ പർവതത്തെ സീനായ് മലയായി തിരിച്ചറിയുകയാണുണ്ടായത്.	Baisanthyan sanyasikal naalam noottandil ee parvathathe Sinai malayayi thirichariyukayanundayathu.
ജനകീയപ്പോരാട്ടം: പാർട്ടിയുടെ സായുധഘടകവും ജനങ്ങളും വ്യത്യസ്തമായിരിക്കരുത്. ജനങ്ങൾക്കേറ്റവും ആവശ്യമുള്ള കാര്യങ്ങളാവണം വിപ്ലവത്തിന്റെ ലക്ഷ്യം.	janakeeyaporattam: partyude sayudhakhadakavum janangalum vyathyasthamayirikaruthu. Janangalketavum aavashyamulla karyangalavanam viplavathinte lakshyam.
ഏറ്റവും അടുത്ത വിമാനത്താവളം: കൊച്ചി രാജ്യാന്തര വിമാനത്താവളം, നെടുമ്പാശേരി.	yettavum adutha vimanathavala: Kochi rajyanthara vimanathavalam, Nedumbasseri.
സാഹചര്യങ്ങൾ നിമിത്തം അവർക്ക് അവിടെ വർഷങ്ങളായി പൂട്ടിക്കിടന്ന പള്ളിയിലെ വികാരിമാരായി വേഷമിടേണ്ടി വരുന്നു.	sahacharyangal nimitham avarku avide varshangalayi poottikkidanna palliyile vikaarimarayi veshamidendi varunnu.
ഈ രണ്ട് ദൈവക്കോലങ്ങളെക്കുറിച്ചും വ്യത്യസ്തമായ വിശദീകരണങ്ങൾ ലഭ്യമാണ്.	ee randu daiwakolangalekurichum vyathyasthamaya vishadeekaranangal labhyamanu.
ഒറ്റപ്പാലത്തിനു കിഴക്ക് സദനം കഥകളി അക്കാദമിയിലും (ഗാന്ധി സേവാ സദനം) കൃഷ്ണകുട്ടി കഥകളി അഭ്യസിച്ചു.	Ottapalathinu kizhaku sadhanam Kadhakali Academyilum (Gandhi Seva Sadhanam) krishnankutti kadhakali abhyasichu.
തീയടങ്ങുമ്പോൾ അമ്മ തിരിച്ചു വന്നു നോക്കൂ, ഒരുപക്ഷെ ഞങ്ങൾ രക്ഷപ്പെടുമെങ്കിൽ നമുക്ക് ഒരുമിച്ച് ജീവിക്കാം’.	theeyadangumbol amma thirichu vannu nokku, orupakshe njangal rakshapedumengil namukku orumichu jeevikkam'.
അഡ്വാനി.	Adwani.
കേരള ഹജ്ജ് ഗ്രൂപ്പ്	Kerala Hajj Group
ഈ ചിത്രത്തെ ആദ്യം പ്രദർശിപ്പിക്കുകയും അഗാധവും അധാർമികവുമായ ഒരു സ്ത്രീയെ ചിത്രീകരിക്കുന്നതിനെ അപലപിക്കുകയും ചെയ്തപ്പോൾ നിരവധി വിമർശകർ ആവേശമുയർത്തിയിരുന്നു.	ee chithrathe adhyam pradarshipikkukayum agaadhavum adharmikavumaya oru sthreeye chithreekarikkunnathine apalapikkukayum cheythappol niravadhi vimarshakar aaveshamuyarthiyirunnu.
ഔസ്കി ചിറ്റൊ ക്രീക്ക്	Auski chitto crick
സാഹിത്യ പ്രസ്ഥാനങ്ങളുടെ സംഘാടകൻ, സാരഥി എന്നീ നിലകളിൽ ശ്രദ്ധേയനായിരുന്നു.	sahithya prasthanangalude sanghadakan, saaradhi yennee nilakalil sredheyanayirunnu.
പ്രശസ്തനായ കൊറിയൻ സൈന്യാധിപൻ ഗവോ ഷിയാൻസിയുടെ നേതൃത്വത്തിൽ വഖാൻ താഴ്വരയും ബാരോഘിൽ ചുരവും അവർ അധീനതയിലാക്കി തിബറ്റന്മാരുടെ പടിഞ്ഞാറോട്ടുള്ള പ്രവേശനം അസാധ്യമാകി.	prasjasthanaya Korean sainyadhipan Gavo Shiyansiyude netrithvathil Vakhaan thazhvarayum baroghil churavum avar adheenathayilakki Tibattanmarude padinjarottulla praveshanam asadhyamaki.
ഗ്രാനൈറ്റ് ശിലകൾ ഭൗതികാപക്ഷയത്തിനു വിധേയമാവുമ്പോൾ വിഘടിതമാവുന്ന ശകലങ്ങൾ അടിഞ്ഞുകൂടിയാണ് ആർകോസ് ഉണ്ടാകുന്നത്.	Granite shilakal bhauthikaapakshayathin vidheyamaavumpol vighadithamavunna shakhalangal adinjukoodiyanu Arkos undakunnathu.
ക്ലോറോഫോമിലും മറ്റ് കൊഴുപ്പ് ലായകങ്ങളിലും ഇത് ലയിക്കുന്നതുമാണ്.	Chlorofomilum mattu kozhuppu layakangalilum ethu layikkunnathumanu.
ഇവയിൽ വാദ്യസുഷിരങ്ങൾ രണ്ടു പംക്തികളിലായിട്ടാണ് തുളയ്ക്കപ്പെടുന്നത്.	evayil vadhyasushirangal randu pamkthikalilayittanu thulaykkapedunnathu.
കടാക്ഷം, വലിയങ്ങാടി, രാമരാവണൻ, തസ്കര ലഹള, സർക്കാർ കോളനി, ബോംബെ മിഠായി, ഒരു സ്മോൾ ഫാമിലി	kadaksham, valiyangadi, ramaravanan, thaskara lahala, sarkar colony, Bombay mittayo, oru small family
കോശസ്തരത്തിലെ ഘടകമാണിത്. കോശസ്തരത്തിന്റെ ഫ്ലൂയിഡിറ്റി നിലനിർത്തുന്നു.	koshastharaththile ghadakamanithu. Koshastharathinte fluidity nilanirthunnu.
മൂന്നാം തവണ, വലിയ അളവിൽ കാന്തിക വിവരങ്ങൾ ശേഖരിക്കുവാൻ സാധിച്ചു.	moonnam thavana, valiya alavil kaanthika vivarangal shegarikkuvan sadhichu.
ഒന്നാമനാകാൻ ആഗ്രഹിക്കുന്നവൻ അവസാനത്തവനും എല്ലാവരുടെയും ശുശ്രൂഷകനുമാകണം.	onnamanaakaan agrahikkunnavan avasaanathavanum ellavarudeyum shushrukanumakanam.
കർണ്ണാടകയിലെ ഹവേരി ജില്ലയിലെ ബങ്കപുര കോട്ടയ്ക്കകത്ത് സ്ഥിതിചെയ്യുന്ന സങ്കേതമാണ് ബങ്കപുര മയിൽ സങ്കേതം.	Karnatakaile Haveri jillayle Bangapoora Kottaikakathu sthithicheyyunna sangethamanu Bangapura mayil sangetham.
സാധാരണയായി പുഴകളിലൂടൊഴുകുന്ന ജലം ജലസേചനത്തിനായി ഉൾപ്രദേശങ്ങളിലെത്തിക്കുന്നതിനുവേണ്ടിയാണ് കേര‌ളത്തിൽ നാട്ടുതോടുകൾ സൃഷ്ടിക്കപ്പെട്ടത്.	sadharanayai puzhakaliloodozhukunna jalam jalaswejanathinai ulpradesangailethikkunnathinuvendiyanu keralathil naattuthodukal srushtikkapettathu.
'പ്രതീത്യസമുത്പാദം' (മറ്റോന്നിനെ ആശ്രയിക്കുന്ന ജനനം) എന്നാണ് കാര്യകാരണബന്ധത്തെപറ്റിയുള്ള ഈ ഈ സിദ്ധാന്തം അറിയപ്പെടുന്നത്.	pratheetyasamudpaadam' (mattonnine aashraikkunna janam) ennanu karyakaranabandhathepattiyulla ee sidhandam ariyapedunnathu.
അസോസിയേഷൻ ഒഫ് ലാറ്റിൻ അമേരിക്കൻ ഇൻഡസ്ട്രിയലിറ്റ്സ്	asocciation of Latin American industrialists
ചെഗുവേരയൊടൊപ്പം സൈക്കിളിൽ ലാറ്റിൻ അമേരിക്ക ചുറ്റി സഞ്ചരിക്കുവാൻ അദ്ദേഹത്തിന്റെ സഹയാത്രികനായി ഒപ്പമുണ്ടായിരുന്നു.	Cheguverayodoppam cycleil Latin America chooty sanjarikkuvan adhehathinte sahayatricanaai oppamundairunnu.
