ਨੌਜਵਾਨ	naujavaan
ਹੋਣਾ	hona
ਤੇਰੀ	teri
ਹਿਮਾਕਤ	himakat
ਹੈ	hai
ਅਤੇ	ate
ਤੇਰਾ	tera
ਇਹ	ih
ਅਹੰਕਾਰ	ahnkar
ਹੀ	hi
ਤੇਰੇ	tere
ਅਤੇ	ate
ਰੱਬ	rab
ਦੇ	de
ਵਿਚਕਾਰ	vichkaar
ਕਾਲੇ	kale
ਪਰਦੇ	parde
ਦੇ	de
ਵਾਂਗ	vang
ਹੈ	hai
</s>	</s>
ਸ਼ਾਇਦ	shayad
ਸਭ	sabh
ਤੋਂ	ton
ਵੱਡੀ	vadi
ਚੀਜ਼	chij
ਜੋ	jo
ਪੰਜਾਬੀਆਂ	punjabiya
ਨੂੰ	nu
ਵਿਰਸੇ	virse
ਵਿੱਚ	vich
ਮਿਲੀ	mili
ਹੈ	hai
ਉਹ	oh
ਹੈ	hai
ਪੰਜਾਬੀ	punjabi
ਬੋਲੀ	boli
</s>	</s>
ਯਜੁਰਵੇਦ	yjurved
ਵਿੱਚ	vich
ਦੋ	do
ਸ਼ਾਖਾ	shakha
ਹਨ	han
ਦੱਖਣ	dakhan
ਭਾਰਤ	bharat
ਵਿੱਚ	vich
ਪ੍ਰਚੱਲਤ	parchalat
ਕ੍ਰਿਸ਼ਣ	krishan
ਯਜੁਰਵੇਦ	yjurved
ਅਤੇ	ate
ਉੱਤਰ	utar
ਭਾਰਤ	bharat
ਵਿੱਚ	vich
ਪ੍ਰਚਲਿਤ	parchlit
ਸ਼ੁਕਲ	shukal
ਯਜੁਰਵੇਦ	yjurved
ਸ਼ਾਖਾ	shakha
</s>	</s>
ਡੋਰਾ	dora
ਦ	da
ਅੈਕਸਪਲੋਰਰ	aikasplorar
ਨਿਕਲੋਡੀਅਨ	niklodian
ਉੱਤੇ	ute
ਪ੍ਰਦਰਸ਼ਿਤ	pardarshit
ਹੋਣ	hon
ਵਾਲੇ	wale
ਕਾਰਟੂਨ	kaartun
ਹਨ	han
</s>	</s>
ਅਤੇ	ate
ਚਾਰਜ	charaj
ਦੇ	de
ਨਿਰੰਤਰ	nirantar
ਸਰਫੇਸ	sarfis
ਡਿਸਟ੍ਰੀਬਿਊਸ਼ਨ	distribiushan
ਕਾਰਣ	karan
ਪੇਦਾ	paida
ਹੋਏ	hoe
ਫੋਰਸ	foras
ਨੂੰ	nu
ਇਸਤਰਾਂ	istarha
ਲਿਖ	likh
ਸਕਦੇ	sakde
ਹਾਂ	han
</s>	</s>
ਪੁਰਖ	purakh
ਸੰਦੇਹਮੁਕਤ	sandihmukat
ਅਨੁਭਵ	anubhav
ਕਰਦੇ	karde
ਸਨ	sun
ਅਤੇ	ate
ਉਹ	oh
ਪੂਰੇ	pure
ਸੁਰੱਖਿਅਤ	surkhiat
ਸਨ	sun
</s>	</s>
ਇਹਨਾਂ	ihnan
ਰਾਹੀਂ	rahin
ਔਰਤਾਂ	aurtan
ਆਪਣੇ	apne
ਮਨਾਂ	manan
ਦਾ	da
ਗੁਭਾਰ	gubhar
ਕੱਢਦੀਆਂ	kadiyan
ਹਨ	han
</s>	</s>
16	16
ਸਾਲ	saal
ਦੀ	di
ਉਮਰ	umar
ਤੱਕ	tak
ਉਸ	us
ਨੇ	ne
ਉਰਦੂ	urdu
ਤੇ	te
ਫ਼ਾਰਸੀ	farc
ਵਿਚ	vich
ਚੰਗੀ	changi
ਮੁਹਾਰਤ	moharat
ਹਾਸਲ	hasal
ਕਰ	kar
ਲਈ	layi
ਸੀ	c
</s>	</s>
ਇਸੇ	ise
ਤਰ੍ਹਾਂ	tarha
ਲ	la
ਵਿੱਚ	vich
ਵੀ	vi
ਲ	la
ਅਤੇ	ate
ਅ	aa
</s>	</s>
ਉਸਨੇ	usne
ਗੁਪਤ	gupat
ਰੂਪ	roop
ਵਿੱਚ	vich
ਬਾਬੂ	babu
ਭਾਈ	bhai
ਪ੍ਰਸਾਦ	parsad
ਨਾਲ	nal
ਗੁਪਤ	gupat
ਰੂਪ	roop
ਵਿੱਚ	vich
ਕੰਮ	kam
ਕੀਤਾ	kita
ਅਤੇ	ate
ਉਸਨੂੰ	usnu
ਕਾਂਗਰਸ	kangras
ਰੇਡੀਓ	redio
ਦੀ	di
ਸਥਾਪਨਾ	sthapna
ਕਰਨ	karan
ਲਈ	layi
ਜਾਣਿਆ	jania
ਜਾਂਦਾ	janda
ਹੈ	hai
ਉਸ	us
ਰੇਡੀਓ	redio
ਨੂੰ	nu
ਸੀਕ੍ਰੇਟ	ckret
ਕਾਂਗਰਸ	kangras
ਰੇਡੀਓ	redio
ਵਜੋਂ	vajon
ਵੀ	vi
ਜਾਣਿਆ	jania
ਜਾਂਦਾ	janda
ਹੈ	hai
ਇੱਕ	ik
ਭੂਮੀਗਤ	bhumigat
ਰੇਡੀਓ	radio
ਸਟੇਸ਼ਨ	station
1942	1942
ਦੇ	de
ਭਾਰਤ	bharat
ਛੱਡੋ	chado
ਅੰਦੋਲਨ	andolan
ਦੇ	de
ਦੌਰਾਨ	dauran
ਕੁੱਝ	kuch
ਮਹੀਨਿਆਂ	mahiniyan
ਲਈ	layi
ਕਾਰਜਸ਼ੀਲ	karajshil
ਸੀ	c
</s>	</s>
ਫ਼ਾਤਿਮਾ	fatima
ਸ਼ਮਸ	shms
ਨੂੰ	nu
2012	2012
ਵਿੱਚ	vich
ਲੰਡਨ	landan
ਵਿਚ	vich
ਜਲੇਹ	jlih
ਐਸਫਹਾਨੀ	aisfahani
ਪੋਇਟਰੀ	poitari
ਫਾਊਂਡੇਸ਼ਨ	faundishan
ਦੁਆਰਾ	duara
ਸਭ	sabh
ਤੋਂ	ton
ਵਧੀਆ	vadhia
ਫਾਰਸੀ	farc
ਕਵੀ	kavi
ਵਜੋਂ	vajon
ਸਨਮਾਨਿਤ	sanmanit
ਕੀਤਾ	kita
ਗਿਆ	geya
ਸੀ	c
</s>	</s>
ਗੋਰਡਨ	gordan
ਨੇ	ne
ਇਲੋਨਾ	ilona
ਨੂੰ	nu
ਲਿਖਣ	likhan
ਅਤੇ	ate
ਉਸਦੀ	usdi
ਪਹਿਲੀ	phili
ਨਾਵਲ	naval
ਮੈਜਿਕ	maijik
ਬਾਈਟਸ	baitas
ਨੂੰ	nu
ਪੇਸ਼	pish
ਕਰਨ	karan
ਵਿੱਚ	vich
ਸਹਾਇਤਾ	shaita
ਕੀਤੀ	kiti
</s>	</s>
ਇਹ	ih
ਅਹਿਸਾਸ	ahisaas
ਹੋਣ	hon
ਤੇ	te
ਕਿ	ki
ਕਮਿਊਨਿਜ਼ਮ	kmiunijam
ਦੇ	de
ਵਿਚਾਰ	vichar
ਨੂੰ	nu
ਸਮਕਾਲੀ	samkaali
ਸਮਾਜ	samaj
ਵਿਚ	vich
ਕਿਸ	kis
ਹੱਦ	had
ਤੱਕ	tak
ਗਲਤ	galat
ਸਮਝਿਆ	samjhia
ਹੈ	hai
ਉਸ	us
ਨੇ	ne
ਆਪਣਾ	apna
ਖੋਜ	khoj
ਦਾ	da
ਕੈਰੀਅਰ	kariar
ਬੰਦ	band
ਕਰ	kar
ਦਿੱਤਾ	ditta
ਤਾਂ	tan
ਜੋ	jo
ਇਸ	is
ਗ਼ਲਤਫ਼ਹਿਮੀ	galatfhimi
ਨੂੰ	nu
ਸੰਬੋਧਨ	sanbodhan
ਕਰਨ	karan
ਤਰਥਲੀ	tarthli
ਮਚਾ	mcha
ਦੇਣ	den
ਵਾਲੀ	wali
ਕਿਤਾਬ	kitab
ਕਮਿਊਨਿਜ਼ਮ	kmiunijam
ਮਹਾਨ	mahan
ਗ਼ਲਤਫ਼ਹਿਮੀ	galatfihimi
ਲਿਖ	likh
ਸਕੇ	sake
</s>	</s>
ਕਈ	kaye
ਪੀੜੀਆਂ	pidiyan
ਵਲੋਂ	valon
ਜਵਾਨ	javan
ਅਤੇ	ate
ਬਜ਼ੁਰਗ	bajurag
ਦੋਨਾਂ	donan
ਨੂੰ	nu
ਸਮਾਨ	sman
ਰੂਪ	rup
ਵਲੋਂ	valon
ਸਿਨੇਮਾ	cnema
ਸੇਲੁਲਾਇਡ	selulaid
ਦੀ	di
ਛੋਟੀ	choti
ਪੱਟੀਆਂ	patiyan
ਆਪਣੇ	apne
ਖਿੱਚ	khich
ਵਿੱਚ	vich
ਬੰਨ੍ਹੇ	banhe
ਹੋਏ	hoye
ਹਨ	han
</s>	</s>
ਸਈਅਦ	syiad
ਜਾਫਰੀ	jafari
</s>	</s>
ਪਛਾਣ	pachan
Q	q
ਨਾਇਕ	naik
ਪਛਾਣਿਆ	pachaniya
ਜਾਂਦਾ	janda
ਹੈ	hai
ਨਿਸ਼ਾਨ	nishan
ਨਿਸ਼ਾਨਦੇਹੀ	nishandihi
ਜਾਂ	jan
ਉਸ	us
ਨੂੰ	nu
ਦਿੱਤੀ	ditti
ਵਸਤੂ	vastu
ਰਾਹੀਂ	rahin
</s>	</s>
ਇਸ	is
ਤਰ੍ਹਾਂ	tarha
ਜਿਸ	jis
ਨੂੰ	nu
ਆਰੀਆ	ariya
ਸਭਿਆਚਾਰ	sbhiachar
ਵਿੱਚ	vich
ਹਿੰਦੂ	hindu
ਜਾਂ	jan
ਬ੍ਰਾਹਮਣੀ	brahmani
ਸਭਿਆਚਾਰ	sbhiachar
ਦੇ	de
ਨਾਮ	naam
ਨਾਲ਼	nal
ਯਾਦ	yaad
ਕੀਤਾ	kita
ਜਾਂਦਾ	janda
ਹੈ	hai
ਸੰਯੁਕਤ	sanyukat
ਸਭਿਆਚਾਰ	sbhiachar
ਹੈ	hai
ਜਿਸ	jis
ਦਾ	da
ਆਧਾਰ	adhar
ਜਾਤਪਾਤੀ	jaatpati
ਪ੍ਰਣਾਲੀ	parnali
ਹੈ	hai
</s>	</s>
ਪਰਿਵਰਤਨਸ਼ੀਲਤਾ	privartanshilta
ਕਾਰਨ	karan
ਪੁਰਾਣੇ	purane
ਦਾ	da
ਟੁੱਟਣਾ	tutana
ਅਤੇ	ate
ਨਵੇਂ	naven
ਦਾ	da
ਜਨਮ	janam
ਲੈਣਾ	laina
ਇੱਕ	ik
ਸਰਬ	sarab
ਵਿਆਪਕ	viapak
ਸੱਚਾਈ	sachai
ਹੈ	hai
</s>	</s>
ਇਤਿਹਾਸਕ	itihack
1,682	1,682
ਏਕੜ	ikad
2.6	2.6
ਵਰਗ	varag
ਮੀਲ	meel
680.7	680.7
ਹੈਕਟੇਅਰ	haiktear
ਕੈਂਪਸ	kayenpas
ਅੰਤਰਰਾਸ਼ਟਰੀ	antarrashtari
ਤੌਰ	taur
ਤੇ	te
ਯੂਨੈਸਕੋ	yunaisko
ਦੁਆਰਾ	duara
ਸੁਰੱਖਿਅਤ	surkhiat
ਹੈ	hai
ਅਤੇ	ate
ਇਸਨੂੰ	isnu
ਦੇਸ਼	dish
ਦੇ	de
ਸਭ	sabh
ਤੋਂ	ton
ਸ਼ਾਨਦਾਰ	shandaar
ਕਾਲਜੀਏਟ	kaljiet
ਮੈਦਾਨਾਂ	maidanan
ਵਿੱਚੋਂ	vichon
ਇਕ	ik
ਦੇ	de
ਰੂਪ	rup
ਵਿੱਚ	vich
ਦਰਜਾ	darja
ਦਿੱਤਾ	ditta
ਗਿਆ	geya
ਹੈ	hai
</s>	</s>
ਰਸਮੀ	rasmi
ਤੌਰ	taur
ਪਰ	par
ਬਾਰ	baar
ਮਤਸਵਾਹ	matsvah
ਉਦੋਂ	udon
ਹੁੰਦਾ	handa
ਹੈ	hai
ਜਦ	jad
ਲੜਕਾ	ladka
ਤੇਰਾਂ	teran
ਦੀ	di
ਉਮਰ	umar
ਨੂੰ	nu
ਪਹੁੰਚੇ	phanche
ਜਦਕਿ	jadki
ਲੜਕੀਆਂ	ladkia
ਦੇ	de
ਲਈ	layi
ਉਨ੍ਹਾਂ	ohnan
ਦੇ	de
ਫ਼ਿਰਕੇ	firke
ਪਰ	par
ਨਿਰਭਰ	nirbhar
ਕਰਦਾ	karda
ਹੈ	hai
ਕਿ	ki
ਬਾਰਾਂ	baran
ਜਾਂ	jan
ਤੇਰਾਂ	teran
ਦੀ	di
ਉਮਰ	umar
ਦੀ	di
ਹੋਵੇ	hove
ਮਗਰ	magar
ਆਮ	aam
ਤੌਰ	taur
ਤੇ	te
ਬਾਰਾਂ	baran
ਪਰ	par
ਹੁੰਦਾ	handa
ਹੈ	hai
</s>	</s>
ਉਹ	oh
ਨੈਸ਼ਨਲ	naishnal
ਪਬਲਿਕ	pablik
ਰੇਡੀਓ	redio
ਦੇ	de
ਪ੍ਰੋਗਰਾਮ	program
ਫ੍ਰੈਸ਼	fraish
ਏਅਰ	ear
ਵਿੱਚ	vich
ਰੋਜਾਨਾ	rojana
ਦੇ	de
ਕਮੈਂਟੇਟਰ	kmaintetar
ਰਹੇ	rahe
ਹਨ	han
</s>	</s>
ਤਲਤੀ	talti
ਦੀ	di
ਅਹੁਦਾ	ahuda
ਕੁਲਕਰਨੀ	kulkarni
ਦੀ	di
ਥਾਂ	than
ਹੈ	hai
ਜੋ	jo
ਹੁਣ	han
ਗੁਜਰਾਤ	gujrat
ਅਤੇ	ate
ਮਹਾਰਾਸ਼ਟਰ	mharashtar
ਵਿਚ	vich
ਨਹੀਂ	nahin
ਹੈ	hai
</s>	</s>
ਪਰ	par
ਵਾਪਸ	vapas
ਮੁੜਨ	mudan
ਸਮੇਂ	smen
ਯਾਨਿ	yani
ਕਿ	ki
ਚਿੱਤਰ	chitar
ਅੰਦਰਲੀਆਂ	andarliyan
ਮੋਟੀਆਂ	motiyan
ਨੀਲੀਆਂ	niliyan
ਰੇਖਾਵਾਂ	rikhanvan
ਦਰਮਿਆਨ	darmiyan
ਤਤਕਾਲੀਨਤਾ	tatkalinta
ਦੀਆਂ	diya
ਉਸਦੀਆਂ	usdiya
ਰੇਖਾਵਾਂ	rikhavan
ਦੇ	de
ਐਂਗਲ	aingal
ਵਿੱਚ	vich
ਇੱਕ	ik
ਖਿਸਕਾਅ	khiska
ਪੈਦਾ	paida
ਹੋ	ho
ਜਾਂਦਾ	janda
ਹੈ	hai
ਜੋ	jo
ਟੇਰੈਂਸ	terains
ਦੇੀ	di
ਸੰਸਾਰ	sansar
ਰੇਖਾ	rikha
ਅੰਦਰਲੀਆਂ	andarliyan
ਘਟਨਾਵਾਂ	ghatnavan
ਦੀ	di
ਇੱਕ	ik
ਤੇਜ਼	tej
ਸਕਿਪ-ਓਵਰ	skip-ovar
ਨਾਲ	nal
ਜੁੜੀ	judi
ਹੁੰਦੀ	handi
ਹੈ	hai
ਜੋ	jo
ਸਟੈੱਲਾ	staila
ਦੇ	de
ਮੁਤਾਬਿਕ	mutabik
ਉਸਦੀ	usdi
ਅਪਣੀ	apni
ਸੰਸਾਰ	sansar
ਰੇਖਾ	rikha
ਨਾਲ	nal
ਤਤਕਾਲੀਨ	tatkalin
ਹੁੰਦੀ	handi
ਹੈ	hai
</s>	</s>
ਪ੍ਰਾੱਪ	prap
ਨੇ	ne
1960ਵੇਂ	1960ven
ਦਹਾਕੇ	dhake
ਦੇ	de
ਅੱਧ	adh
ਵਿੱਚਕਾਰ	vichkaar
ਪੜਾਉਣ	padaun
ਤੋਂ	ton
ਰਿਟਾਇਰਮੈਂਟ	ritairmaint
ਲੈ	lai
ਲਈ	layi
ਸੀ	c
ਅਤੇ	ate
ਅਪਣੀ	apni
ਅਜ਼ਾਦੀ	ajadi
ਦੀ	di
ਨਵੀਂ	nvin
ਅਵਸਥਾ	avstha
ਨੂੰ	nu
ਮਾਣਦੇ	mande
ਹੋਏ	hoe
ਪ੍ਰੌਬਲਮਜ਼	praublamj
ਔਫ	aof
ਕਮੇਡੀ	kamedi
ਐਂਡ	aind
ਲਾਫਟਰ	laftar
ਕਮੇਡੀ	kamedi
ਅਤੇ	ate
ਹਾਸੇ	hase
ਦੀਆਂ	diyan
ਸਮੱਸਿਆਵਾਂ	samcavan
ਉੱਤੇ	ute
ਕੰਮ	kam
ਕੀਤਾ	kita
</s>	</s>
ਨਾਟਯ	naty
ਸ਼ਾਸਤਰ	shastar
ਵਿੱਚ	vich
ਇਸ	is
ਤੱਤ	tat
ਦਾ	da
ਵਿਆਪਕ	viapak
ਪ੍ਰਭਾਵ	prbhav
ਦਿੱਸਦਾ	disda
ਹੈ	hai
</s>	</s>
ਪਿੰਡ	pind
ਚੰਦੇਲੀ	chandeli
ਵਿੱਚ	vich
ਰਾਜਪੂਤ	rajput
ਰਾਜਾ	raja
ਹਰੀ	hari
ਚੰਦ	chand
ਰਾਜ	raj
ਕਰਦਾ	karda
ਸੀ	c
</s>	</s>
ਸਭਿਆਚਾਰ	sbhiachaar
ਨੂੰ	nu
ਵਿਅਕਤੀ	viakti
ਆਪਣੇ	apne
ਪਰਿਵਾਰ	privaar
ਭਾਈਚਾਰੇ	bhaichare
ਸਮਾਜ	samaj
ਵਿਚ	vich
ਵਿਚਰਦਾ	vichrda
ਹੋਇਆ	hoia
ਗਹਿਣ	ghin
ਕਰਦਾ	karda
ਹੈ	hai
</s>	</s>
ਇਸ	is
ਸਮੇਂ	smen
ਇਕੱਲੇ	ikale
ਪੰਜਾਬ	punjab
ਵਿੱਚ	vich
ਕੁਲ	kul
ਮਿਲਾ	mila
ਕੇ	ke
60	60
ਹਜ਼ਾਰ	hajar
ਦੇ	de
ਆਸ-ਪਾਸ	aas-paas
ਸੈਨਿਕਾਂ	sainikan
ਦੀਆਂ	diyan
ਵਿਧਵਾਵਾਂ	vidhvanvan
ਹਨ	han
ਜਿਨ੍ਹਾਂ	jihnan
ਵਿੱਚ	vich
ਜੰਗੀ	jangi
ਵਿਧਵਾਵਾਂ	vidhvanvan
ਵੀ	vi
ਸ਼ਾਮਲ	shamil
ਹਨ	han
</s>	</s>
ਇੱਕ	ik
ਦਿਨ	din
ਸ਼ੋਮ	shom
ਦੌਰੇ	daure
ਉੱਤੇ	ute
ਸੌਰਾਸ਼ਟਰ	saurashtar
ਜਾਂਦਾ	janda
ਹੈ	hai
</s>	</s>
ਇਸਦੇ	isde
ਇੱਕ	ik
ਸਬੂਤ	sbut
ਦੇ	de
ਲਈ	layi
ਦੇਖੋ	dikho
ਪੋਆਇਨਕੇਅਰ	poainkear
ਪੁਨਰਹੋਂਦ	punarhond
ਥਿਊਰਮ	thiuram
2	2
ਦਾ	da
ਸਬੂਤ	sbut
</s>	</s>
ਪੂਰਬ	purab
ਸ਼ਬਦ	shabad
ਨੂੰ	nu
ਇਤਿਹਾਸ	itihas
ਵਿੱਚ	vich
ਯੂਰਪੀਆਂ	yurpiyan
ਵੱਲੋਂ	valon
ਏਸ਼ੀਆਈ	ishian
ਅਤੇ	ate
ਪੁਰਬੀ	purabi
ਸਮਾਜਾਂ	smajan
ਲਈ	layi
ਵਰਤਿਆ	vartia
ਗਿਆ	geya
ਹੈ	hai
</s>	</s>
ਦਿਵਿਆ	diviya
ਨੇ	ne
ਆਪਣੇ	apne
ਫ਼ਿਲਮੀ	filmi
ਕਰੀਅਰ	kariar
ਦੀ	di
ਸ਼ੁਰੂਆਤ	shruat
ਸੋਲ੍ਹਵੇਂ	solven
ਵਰ੍ਹੇ	vare
ਵਿੱਚ	vich
ਤੇਲਗੂ	telgu
ਫ਼ਿਲਮ	film
ਬੋਬਲੀ	bobli
ਰਾਜਾ	raja
ਤੋਂ	ton
ਕੀਤੀ	kiti
</s>	</s>
2300	2300
ਮੀਟਰ	mitar
ਦੀ	di
ਅਬਾਦੀ	abadi
ਉੱਤੇ	ute
ਸਥਿੱਤ	sthit
ਇਹ	ih
ਸ਼ਹਿਰ	shahir
ਦੁਨੀਆਂ	dunian
ਦੀਆਂ	diyan
ਸਭ	sabh
ਤੋਂ	ton
ਉੱਚੀਆਂ	uchiyan
ਰਾਜਧਾਨੀਆਂ	rajdhaniyan
ਵਿੱਚੋਂ	vichon
ਵੀ	vi
ਇੱਕ	ik
ਹੈ	hai
</s>	</s>
ਪ੍ਰੇਮ	prem
ਵਿਚ	vich
ਬਿਰਹੋਂ	birhon
ਦਾ	da
ਸਲ੍ਹ	sall
ਭਾਵੇਂ	bhaven
ਸਹਿਣਾ	shina
ਪੈਦਾ	paida
ਹੈ	hai
ਪਰ	par
ਇਹ	ih
ਪੀੜ	pid
ਵੀ	vi
ਆਨੰਦ	anad
ਦਾਇਕ	daik
ਹੈ	hai
</s>	</s>
ਜਨਮ	janam
ਦੀ	di
ਜੈਨ	jain
ਹਿੰਦੂ	hindu
ਤੇ	te
ਮੱਧ-ਸ਼ੇ੍ਰਣੀ	madh-shreni
ਦੀ	di
ਧੀ	dhi
ਹੈ	hai
</s>	</s>
ਨੇਕੀ	niki
ਨੇ	ne
ਆਪਣੀ	apni
ਕਵਿਤਾ	kavita
ਵਿਚ	vich
ੲਿੰਝ	injh
ਕੀਤਾ	kita
ਹੈ	hai
</s>	</s>
ਉਸ	us
ਤੋਂ	ton
ਬਾਅਦ	baad
ਮਿਤਾਲੀ	mitali
ਰਾਜ	raj
ਨੂੰ	nu
ਭਾਰਤੀ	bharati
ਟੀਮ	teem
ਦੀ	di
ਕਮਾਨ	kaman
ਦੇ	de
ਦਿੱਤੀ	ditti
ਗਈ	gayi
ਸੀ	c
</s>	</s>
ਅਰਬੀ	arbi
ਫ਼ਾਰਸੀ	farc
ਦੀ	di
ਮੁਢਲੀ	mudli
ਸਿਖਿਆ	ckhia
ਉਨ੍ਹਾ	ohnan
ਮਦਰਸੇ	madrase
ਵਿੱਚ	vich
ਹਾਸਿਲ	hacl
ਕੀਤੀ	kiti
</s>	</s>
ਨਰਿੰਦਰ	narindar
ਮੋਦੀ	modi
ਦਾ	da
ਵਿਆਹ	vivah
13	13
ਸਾਲ	saal
ਦੀ	di
ਉਮਰ	umar
ਵਿੱਚ	vich
ਜਸੋਦਾ	jasoda
ਬੇਨ	ben
ਨਾਲ	nal
ਹੋਇਆ	hoia
ਸੀ	c
ਪਰ	par
ਉਸ	us
ਨਾਲ	nal
ਉਨ੍ਹਾਂ	ohnan
ਨੇ	ne
ਆਪਣਾ	apna
ਵਿਆਹੁਤਾ	viahuta
ਜੀਵਨ	jivan
ਬਤੀਤ	batit
ਨਹੀਂ	nahin
ਕੀਤਾ	kita
</s>	</s>
ਜਵਾਨੀ	javani
ਵਿਚ	vich
ਪਹੁੰਚਣ	pahanchan
ਤੋਂ	ton
ਬਾਅਦ	baad
ਜਿਊਸ	jius
ਨੇ	ne
ਆਪਣੇ	apne
ਪਿਤਾ	pita
ਨੂੰ	nu
ਆਪਣੇ	apne
ਭੈਣ-ਭਰਾਵਾਂ	bhain-bhravan
ਦਾ	da
ਹੌਸਲਾ	haunsla
ਵਧਾਉਣ	vdhaun
ਲਈ	layi
ਮਜਬੂਰ	majbur
ਕੀਤਾ	kita
</s>	</s>
ਇਸ	is
ਪ੍ਰਥਾ	partha
ਤੋਂ	ton
ਇਹ	ih
ਸਿੱਧ	cdh
ਹੁੰਦਾ	handa
ਹੈ	hai
ਕਿ	ki
ਜੰਗਮ	jangam
ਵੰਸ਼	vansh
ਵਿੱਚ	vich
ਬਹੁਤ	bhut
ਪਹਿਲਾਂ	philan
ਤੋਂ	ton
ਅਨੇਕ	anik
ਮਹਾਂਪੁਰਖ	mhanpurakh
ਹੋਏ	hoe
ਹਨ	han
ਜਿਹਨਾਂ	jihnan
ਦੀ	di
ਮਹੱਤਤਾ	mahtta
ਨੂੰ	nu
ਜਾਣਦੇ	jande
ਹੋਏ	hoe
ਉਨ੍ਹਾਂ	ohanan
ਦੀ	di
ਪੂਜਾ	puja
ਦੀ	di
ਪ੍ਰਥਾ	partha
ਵੀ	vi
ਚੱਲੀ	challi
ਆਈ	ayi
ਹੋਈ	hoi
ਹੈ	hai
</s>	</s>
ਗਿੱਲ	gil
ਹਿੰਦੂ	hindu
ਘੱਟ	ghat
ਹਨ	han
</s>	</s>
1848	1848
ਵਿੱਚ	vich
ਥੋਰੇ	thore
ਨੇ	ne
ਕਨਕੌਰਡ	kankaurad
ਲਾਇਸੇਅਮ	laiseam
ਵਿੱਚ	vich
ਸਰਕਾਰ	sarkar
ਦੇ	de
ਸਬੰਧ	sabndh
ਵਿੱਚ	vich
ਵਿਅਕਤੀ	viakti
ਦੇਅਧਿਕਾਰ	de adhikar
ਅਤੇ	ate
ਕਰਤੱਵ	kartav
ਨਾਮ	naam
ਤੇ	te
ਭਾਸ਼ਣ	bhashn
ਦਿੱਤੇ	ditte
</s>	</s>
2012	2012
ਦੇ	de
ਵਿਧਾਨ	vidhan
ਸਭਾ	sabha
ਚੋਣਾਂ	chaonan
ਵਿੱਚ	vich
ਸਰਵਤ	sarvat
ਕਰੀਮ	karim
ਅੰਸਾਰੀ	ansaari
ਇਸ	is
ਹਲਕੇ	halke
ਦੇ	de
ਵਿਧਾਇਕ	vidhanik
ਚੁਣੇ	chane
ਗਏ	gaye
</s>	</s>
ਇਸ	is
ਤੋਂ	ton
ਬਾਅਦ	baad
ਦੱਖਣ	dakhan
ਭਾਰਤ	bharat
ਦੀ	di
ਯਾਤਰਾ	yatra
ਤੇ	te
ਜਾਣ	jaan
ਤੋਂ	ton
ਪਹਿਲਾਂ	philan
ਪ੍ਰਬੋਧ	parbodh
ਕੁਮਾਰ	kumar
ਨੇ	ne
ਬੇਬੀ	bebi
ਇੱਕ	ik
ਨੋਟਬੁੱਕ	notbuk
ਅਤੇ	ate
ਪੈੱਨ	pen
ਖਰੀਦ	kharid
ਕੇ	ke
ਦੇ	de
ਦਿੱਤਾ	ditta
ਅਤੇ	ate
ਉਸਨੂੰ	usnu
ਆਪਣੀ	apni
ਜੀਵਨ	jivan
ਕਹਾਣੀ	kahani
ਲਿਖਣ	likhan
ਲਈ	layi
ਉਤਸਾਹਿਤ	utsahit
ਕੀਤਾ	kita
ਜੋ	jo
ਕੰਮ	kam
ਬੇਬੀ	bebi
ਨੇ	ne
ਕੰਮ	kam
ਤੋਂ	ton
ਬਾਅਦ	baad
ਰਾਤ	raat
ਨੂੰ	nu
ਦੇਰ	der
ਤੱਕ	tak
ਬੈਠਣ	baithan
ਨਾਲ	nal
ਕੀਤਾ	kita
ਅਤੇ	ate
ਕਦੇ-ਕਦੇ	kade-kade
ਕੰਮਾਂ	kaman
ਦੇ	de
ਵਿੱਚ	vich
ਮਿਲਦੇ	milde
ਸਮੇਂ	samen
ਵੀ	vi
ਉਹ	oh
ਲਿਖਦੀ	likhdi
</s>	</s>
ਵਾਟਿਕਾ	vatika
ਹਾਈ	hai
ਸਕੂਲ	skul
ਫ਼ਾਰ	far
ਡੈੱਫ਼	daif
&	&
ਡਮ	dam
ਚੰਡੀਗੜ੍ਹ	chandigad
</s>	</s>
ਸਯੀਜੀ	syiji
ਸ਼ਿੰਦੇ	shinde
ਲੱਲਾ	lalla
ਦੇ	de
ਤੌਰ	taur
ਤੇ	te
</s>	</s>
ਅੱਖਾਂ	ankhan
ਦੇ	de
ਪਰਦੇ	parde
ਦੀ	di
ਨਸ	nas
ਦੀ	di
ਜਾਂਚ	janch
ਆਪਥਿਲਮੋਸਕੋਪ	aapthilmuskop
ਦੀ	di
ਮਦਦ	madad
ਨਾਲ	nal
ਕੀਤੀ	kiti
ਜਾਂਦੀ	jandi
ਹੈ	hai
</s>	</s>
ਰੋਕੈਇਆ	rokayeya
ਨੇ	ne
ਅੰਜੁਮਨ	anjuman
ਏ	a
ਖਵਾਤੀਨ	khvatin
ਏ	a
ਇਸਲਾਮ	islam
ਇਸਲਾਮੀ	islami
ਵਿਮੈਨ	vimain
ਐਸੋਸੀਏਸ਼ਨ	aisucaishan
ਦੀ	di
ਵੀ	vi
ਸਥਾਪਨਾ	sathapana
ਕੀਤੀ	kiti
ਜੋ	jo
ਕਿ	ki
