තන්ත්‍රයන්ට	Thanthrayanta
පැතිරුනි,	pathiruni,
තවද	thawaada
කොලොම්බියාවේ	kolombiyawe
මුහුදුබඩ	muhudubada
පහත්	pahath
ප්‍රදේශවලත්,	pradeshawalath,
ඉක්වදොරයෙත්,	ikwadorayeth,
හොන්ඩුරාස්	honduras
වලත්,	walath,
කොස්ට	kosta
රිකාවෙත්,	rikaweth,
ත්රිනිද්‍රඩ්	krinidrad
සහ	saha
කියුබවෙත්	kyubaweth
රෝපණය	ropanaya
කර	kara
ඇත.1912දී	atha.1912di
ඉන්දුනීසියාවෙන්	induneesiyawen
පිලිපීනයට	pilipeenayata
හදුන්වාදී	handunwadee
ඇත.	atha.
</s>	</s>
මෙම	Mema
ආපදාව	apadawa
නිසා	nisa
ඒ	e
අවට	awata
කලාපයෙන්	kalapayen
ඉවත්	iwath
කරනු	karanu
ලැබූ	laboo
135000ක්	135000k
ජනතාව	janathawa
මින්	min
දරුණු	darunu
ප්‍රතිවිපාක	prathiwipaka
ලැබීය.	labeeya.
</s>	</s>
අලි	Ali
ඇතුන්	athun
හුවමාරු	huwamaru
කරගන්නා	karaganna
ලදී.	ladi.
</s>	</s>
මෙය	Meya
පළමුවරට	palamuwarata
හඳුන්වා	handunwa
දෙන	dena
ලද්දේ	ladde
සිව්වන	siwwana
රාජවංශයේ	rajawanshaye
රාජ	raja
පදවි	padawi
කාණ්ඩයක්	kandayak
ලෙසයි.	lesai.
</s>	</s>
න්‍යෂ්ටික	Nyashtika
ඉන්ධන	indana
චක්‍රය	chakraya
</s>	</s>
චමත්කාර	Chamathkara
වූ	wu
සත්ත්ව	sathwa
ලෝකයේ	lokaye
ගුප්ත	guptha
සිදුවීම්	siduweem
බොහොමයක්	bohomayak
අතුරෙන්	athuren
මුහුදු	muhudu
අශ්වයාගේ	ashwayage
මාතෘත්වය	mathruthwaya
ලැබීමද	labeemada
දෛවයේ	daiwaye
සරදමක්	saradamak
මෙන්ය.	menya.
</s>	</s>
ටෙරන්ස්	Terrance
පීරිස්	Peiris
</s>	</s>
අවම	Awama
වශයෙන්	washayen
එක්	ek
පාරාවෝවරයකුවත්,	parawowarayakuwath,
විශේෂයෙන්ම	wisheshayenma
දෙවන	dewana
රාජවංශයේ	rajawanshaye
සෙත්-පෙරිබ්සෙන්	seth-peribsen
පාරාවෝවරයා	parawowaraya
විසින්	wisin
හොරස්	horas
දෙවියන්ගේ	dewiyange
රුව	ruwa
වෙනුවට	wenuwata
සෙත්	seth
දෙවියන්ගේ	dewiyange
රුවක්	ruwak
භාවිතා	bhawitha
කොට	kota
ඇත.	atha.
</s>	</s>
මෙම	Mema
ගුහාවේ	guhawe
ශිව	shiwa
ඵලක ප්‍රමුඛව	ekala
පැවතීමට	pawatheemata
තවත්	thawath
හේතුවක්	hethuwak
ලෙස	lesa
මෙකල	mekala
රාජ්‍ය	rajya
පාලනය	palanaya
කළ	kala
රජවරුන්	rajawarun
වෛෂ්ණව	waishnawa
ආගමේ	agame
සිට	sita
ශෛව	shaiwa
ආගම	agama
වෙත	wetha
යොමුවීම	yomuweema
ද	da
යෝජනා	yojana
වී	wee
ඇත.	atha .
</s>	</s>
චෙම්බර්ලෑන්ඩ්	Chemberland
සිතුවේ	sithuwe
පරීක්ෂණයේ	pareekshanaye
වැරදීමක්	waradeemak
සිදුව	siduwa
ඇති	athi
බවයි.	bawai.
</s>	</s>
විවාදකයන්ගේ	Wiwadakayange
විශේෂ	wishesha
තර්කයක්	tharkayak
වන්නේ	wanne
පුර්ව	poorwa
හා	ha
පශ්චාත්	paschath
කැණීම්	kaneem
සැළසුම්	selasum
අතර	athara
සංසන්දනය	sansandanaya
විදහා	widaha
දක්වන	dakwana
අන්දමට	andamata
පුර්ව	poorwa
කැණීම්	kaneem
මගින්	magin
ප්‍රදේශය	pradeshaya
සාර්ථකව	sarthakawa
කැණීමට	kaneemata
ලක්නොවෙයි.	laknowei.
</s>	</s>
දැන්	Den
තිබෙනවා	thibenawa
ගැටලුවක්...	getaluwak….
ඇම්බියුලෝසීටස්ට	Ambiyuloseetasta
පූර්ණ	poorna
කාලීනව	kaleenawa
ජලයේ	jalaye
ඉන්න	inna
පුළුවන්ද?	puluwanda?
</s>	</s>
හින්	Heen
සැරය	seraya
</s>	</s>
කරුණු	Karunu
හොදින්	hondin
පරීක්ෂා	pareeksha
කළ	kala
පසු	pasu
හොදම	hondama
අදහස්	adahas
මතු	mathu
වනු	wanu
ඇතයිද	athaida
ඔහු	ohu
පවසයි.	pawasai.
</s>	</s>
බුදුරජාණන්	Budurajanan
වහන්සේගේ	wahansege
ඇවෑමෙන්	awamen
පිළිසරණ	pilisarana
කොට	kota
පැවතිය	pawathiya
යුතු	yuthu
එක්	ek
භික්‍ෂුවක්	bhikshuwak
හෝ	ho
උන්	un
වහන්සේ	wahanse
විසින්	wisin
පත්	path
කොට	kota
නැති	nethi
බවත්,	bawath,
ඒ	e
අනුව	anuwa
තම	thama
ශාස්තෘවරයාගේ	shasthruwarayage
සම	sama
තත්ත්වයෙහිලා	thathwayehila
සැලකෙන	selakena
ධර්ම	dharma
විනය	winaya
ආරක්ෂා	araksha
කර	Kara
තැබීම	thabeema
සඳහා	sandaha
ධර්ම	dharma
සංගායනාවක්	sangayanawak
වැනි	weni
ඉක්මන්	ikman
පියවරක්	piyawarak
ගැනීමේ	ganeeme
අවශ්‍යතාව	awashyathawa
ශාසන	shasana
භාරධාරී	bharadari
මහ	maha
තෙරවරුන්	therawarun
තුළ	thula
තිබුණා	thibuna
විය	wiya
හැකි	heki
බව	bawa
ගෝපක	gopaka
මොග්ගල්ලාන	moggallana
සූත්‍රයට	suthrayata
අයත්	ayath
කරුණු	karunu
වලින්	walin
සනාථ	sanatha
වෙයි.	wei.
</s>	</s>
ෆේස්කිනි	Facekini
</s>	</s>
ඩොමිනටේ	Dominate
හෝ	ho
පසුකාලීන	pasukaleena
රෝමානු	romanu
අධිරාජ්‍යය	adhirajyaya
යනු,	yanu ,
පුරාතන	purathana
රෝමානු	romanu
අධිරාජ්‍ය	adhirajya
රජයේ	rajaye
පසුකාලීන	pasukaleen
"අත්තනෝමතික" අවධිය	"aththanomathika"awadiya
වූ	wu
අතර,	athara,
"ප්‍රින්චිපටේ"	"Princhipate"
නම්වූ	namwu
මුල්	mul
අවධියෙන්	awadiyen
පසුව	pasuwa
මෙය	meya
පැවතිණි.	pawathini.
</s>	</s>
මෙම	Mema
මිනිසුන්	minisum
සැදුම්	sadum
ලද්දේ	ladde
‍හිටපු	hitapu
ජනරාල්	General
තක්ෂිලා	thakshila
හි	hi
හිටපු	hitapu
සේනාධිපති	senadhipathi
චාණක්‍යගේ	chanakyage
අනෙක්	anek
සිසුන්	sisun
කාකයේ	kakaye
පෝරස්	poras
රජුගේ	rajuge
නියෝජිතයන්	niyojithayan
ඔහු‍ගේ	ohug
පුත්	puth
මලේන්දු	malendu
හා	ha
තුඩා	thuda
රාජ්‍ය	rajya
වල	wala
නීති	neethi
සම්පාදකයාගෙනි.	sampadakayageni.
</s>	</s>
1557	1557
සිය	siya
විවාහයේ	vivahaye
සිටම	sitama
1605	1605
අක්බර්ගේ	akbarge
මරණය	maranaya
තෙක්ම	thekma
ඇය	aya
ඔහුගේ	ohuge
එකම	ekama
අගබිසව	agabisawa
ලෙස	lesa
කටයුතු	latayuthu
කිරීමෙන්	kireemen
මේ	me
බව	bawa
පැහැදිළි	pahadili
වේ.	we.
</s>	</s>
නමුත්	Namuth
රහ්මාන්ගේ	rahmange
ආරාධනය	aradhanaya
ප්‍රතික්ෂේප	prathikshepa
කළ	kala
රෝයි	roy
1970	1970
මහමැතිවරණයට	mahamathiwaranayata
ඉදිරිපත්	idirpath
වූයේ	wuye
ස්වාධීන	swadeena
අපේක්ෂකයකු	apekshakayeku
ලෙසයි.	lesai.
</s>	</s>
ෂීල්ඩ්හි	Sheeldhi
කාර්යාංශ	karyansha
ගොඩනැගිලි	godanegili
</s>	</s>
බිල්	Bill
කොවැක්	kowak
සහ	saha
ඩෝම්	Dom
ෙරසෙන්ස්ටයල්ගේ	Resenstayalge
පත්රකලාවේදයේ	pathrakalawedaye
මූලි කාන්ග	moolikanga
“	"
යන	yana
කෘතයට	kruthayata
”	"
අනුව	anuwa
පත්රකලාවේදනයේ	pathrakalawedinaye
මලිකාංග	moolikanga
නමයකි.	namayaki.
</s>	</s>
තාපයට	Thapayata
අඩු	adu
උෂ්ණත්වයක	ushnathwayaka
ඇති	athi
ද්‍රව්‍යයක	drawyayaka
සිට	sita
වැඩි	wedi
උෂ්ණත්වයක්	ushnathwayak
ඇති	athi
ද්‍රව්‍යයක්	drawyak
වෙත	wetha
ස්වයංසිද්ධව	swayansiddhawa
ගලා	gala
යෑමේ	yame
හැකියාවක්	hekiuyawak
නැත.	netha.
</s>	</s>
මෙය	Meya
සවානා	sawana
බිම්	bim
වල	wala
නිතර	nithara
ඇතිවන	athiwana
ලැව්ගිනි	lawgini
වලින්	walin
ආරක්ෂා	araksha
වීමට	weemata
උපකාරී	upakari
වේ.	we.
</s>	</s>
තම	Thama
පියාගේ	piyage
නිසළ	nisala
දේහය	dehaya
නොක්ස්ගේ	noksge
අතින්ම	athinma
භුමදාන	bhoomadana
කෙරිනි.	kerini.
</s>	</s>
පවුෂ්	Pawush
වේදිකාවට	wedikawata
ගොඩ	goda
වන	wana
විට,	wita,
ඔහු	ohu
එම	ema
විශාල	wishala
අත්පොලසන්	athpolasan
නාදය	nadaya
නැවත්වීමට	pawathweemata
හා	ha
ප්‍රේක්ෂකයන්	prekshakayan
ට	ta
හිඳ	hinda
ගන්න	ganna
ලෙස	lesa
පැවසු	pawasu
අතර	athara
දේශනය	deshanaya
මෙසේ	mese
ආරම්භ	arambha
කළේය.	kaleya.
</s>	</s>
මෙම	Mema
ප්‍රභව	prabhawa
කේතකරණය	kethakaranaya
සහ	saha
විසංකේතීකරණය	visankethikaranaya
සිදුකෙරෙන්නේ	sidukerenne
කොඩෙක්	kodec
උපකරණ	upakarana
විසිනි.	wisini.
</s>	</s>
මරණමංචකයේ	Maranamanchakaye
සිටින	sitina
ඔහුව	ohuwa
දැක,	deka,
කාෂි	kashi
රාධාබායිගෙන්	radhabaigen
අයැද	ayada
සිටින්නේ	sitinne
මස්තානිව	masthaniwa
මුදාහරින	mudaharina
ලෙසයි.	lesai.
</s>	</s>
විද්‍යුත්	Vidyuth
විභවය	vibhawaya
අදීශ	adisha
රාශියකි.	rashiyaki.
</s>	</s>
ට්‍රිලීෂියා	Trilieeshiya
ගුණවර්ධන	Gunawardena
(ජේන්නෝනා)	(Janenona)
</s>	</s>
අන්ත්‍රයෙහිඅන්ත්‍ර‍යන්හි	Anthrayehiantrayanhi
බීජෞෂණයට	Beejoushanayata
ලක්වන	lakwana
බිත්තර,	biththara,
ආන්ත්‍රික	aanthrika
බිත්ති	biththi
වලට	walata
කාවැදීම	kawedeema
තුලින්	thulin
රුධිරය	rudiraya
හරහා	haraha
පෙනහලු	penahalu
කරා	kara
සංක්‍ර‍මණය	sankramanaya
වේ.	we.
</s>	</s>
පියාජේ	Piyaje
හදුන්වා	handunwa
දෙන	dena
පරිදි	paridi
,චින්තනයේ	, chinthanaye
සෑම	sema
දියුණු	diyunu
අවධිවක් ම	awadiyakma
මුල්	mul
අවධියට	awadiyata
වඩා	wada
බැදීම්	bandeem
වලින්	walin
නිදහසක්	nidahasak
ලබන	labana
අතර	athara
චින්තනමය	chinthanamaya
ක්‍රියාකාරීත්වයේ	kriyakarithwae
මනා	mana
පාලනයක්	palanayak
ඇති	athi
කරයි.	karai.
</s>	</s>
මෙලෙසින්	Melesin
මූඝල්	moosal
අධිරාජයකු	adhirajayaku
හදාවඩා	hadawada
ගැනීමට	ganeemata
සිය	siya
භාර්යාව	bharyawa
තුළ	thula
වූ	wu
ආශාව	ashawa
ඉටු	itu
කරලීමට	karaleemata
අක්බර්ට	akbarta
හැකි	heki
විය.	wiya.
</s>	</s>
ටැංජන	Tanjana
ශ්‍රීතය	srithaya
(tan)	(tan)
අර්ථ	artha
දක්වනුයේ	dakwanuye
සම්මුඛ	sammuka
පාදයේ	padaye
දිග	diga
බද්ධ	baddha
පාදයේ	padaye
දිගට	digata
දක්වන	dakwana
අනුපාතය	anupathaya
ලෙසයි.	lesai.
</s>	</s>
එහි	Ehi
ඇතුල්වීමේ	athulweeme
ප්‍රධාන	pradhana
දොරටුව	doratuwa
12.8	12.8
m	m
පළල	palala
වන	wana
අතර	athara
තවත්	thawath
දොරටුවක්	doratuwak
ඊට	eeta
විරුද්ධ	wiruddha
දිශාවෙන්	dishawen
පිහිටා	pihita
තිබුණි.	thibuni.
</s>	</s>
අනතුරුව	Anathuruwa
එම	ema
ජෛවමය	jaiwamaya
ඝන	ghana
අපද්‍රව්‍ය	apadrawya
අක්‍රිය	akriya
කර	kara
ඉවත	iwatha
දැමීම	dammema
හෝ	ho
නැවත	newatha
ප්‍රයෝජනයට	prayojanayata
ගැනීම	ganeema
සිදුකරයි.	sidukarai.
</s>	</s>
සාමාන්‍යයෙන්	Samanyayen
විශේෂිත	wisheshitha
හෝ	ho
ද්විත්ව	dwithwa
අර්ථ	artha
සහිත	sahitha
වචන	wachana
පමණක්	pamanak
හන්ජාවලින්	hanjawalin
මුද්‍රණය	mudranaya
කෙරේ.	kere.
</s>	</s>
තරංගයේ	Tharangaye
වේගය,	wegaya,
නිරීක්ෂකයා	nireekshakaya
සහ	saha
ප්‍රභවය	prabhawaya
අතර	athara
සාපේක්ෂ	sapeksha
වේගයට	wegayata
වඩා	wada
ඉතා	itha
වැඩි	wadi
විට	wita
(මෙසේ	(mese
වන්නේ	wanne
ආලෝකය	alokaya
වැඩි	wedi
විද්‍යුත්	vidyuth
චුම්භක	chumbaka
තරංග	tharanga
සඳහා	sandaha
ය.)	ya.)
</s>	</s>
රාත්තල්	Raththal
සියයකට	siyayakata
වඩා	wada
බරැති	barathi
පැස්බරකු	pasbareku
හෝ	ho
ගවයකු	gawayeku
කා	ka
දැමීමට	dameemata
ගතවන	gathawana
කාලය	kalaya
විනාඩි	winadi
10	10
කටත්	katath
වඩා	wada
අඩුය.	aduya.
</s>	</s>
උදා:	Uda:
සුපිරි	Supiri
වෙළඳසැල්	welandasal
හා	ha
පාන්	pan
නිෂ්පාදකයන්	nishpadakayan
අතර	athara
ගිවිසුම්.	givisum
</s>	</s>
ගොලුබෙලි	Golubeli
ගමන	gamana
=	=
ඉතා	itha
සෙමෙන්	semen
ගමන්	gaman
කිරීම.	kireema
</s>	</s>
ප්‍රතිශක්තිවිද්‍යාත්මක	Prathisakthividyathmaka
ආරක්ෂණය	arakshanaya
</s>	</s>
පිරිමි	Pirimi
ගැටය	getaya
</s>	</s>
විවේචනයද	Vivechanayada
පාදක	padaka
වන්නේ	wanne
ජාතිය	jathiya
මතයි.	mathi.
</s>	</s>
1952න්	1952n
පසු	pasu
මෙවැනි	mewani
තත්‍වයන්	thathwayan
හයවරකට	hayawarakata
වැඩි	wedi
සංඛයාවක්	sankayawak
ඇති	athi
වි	wee
තිබේ.	thibe.
</s>	</s>
වර්ගයේ	Wargaye
වැඩිම	wedima
ජලජ	jalaja
සත්ව	sathwa
විශේෂයයි.	wisheshayai.
</s>	</s>
මේ	Me
අතර	athara
ක්ලිටන්	clinton
කිහිප	kihipa
වරක්	warak
ම	ma
ඔහු	ohu
හා	ha
විවාහ	vivaha
වන	wana
ලෙස	lesa
ඇයගෙන්	ayagen
ඉල්ලා	illa
සිටි	siti
අතර	athara
ඒ	e
සෑම	sema
විටම	witama
ඇය	aya
එය	eya
ප්‍රතික්ෂේප	prathikshepa
කළේය.	kaleya.
</s>	</s>
එම	Ema
නිසා	nisa
ඔක්සිජන්	oxygen
සැපයුම	sepayuma
අඩු	adu
වේ.	we.
</s>	</s>
ගෝර්යෝ	Goryo
සහ	saha
ජොසොන්	Joson
යුගවල	yugawala
දී,	di,
ප්‍රමිතිකරණයට	pramithikaranayata
ගත්	gath
උත්සාහයන්	uthsahayan
නිසා,	nisa,
ස්වදේශික	swadeshika
කොරියානු	koreanu
ස්ථාන	sthana
නාම	nama
හන්ජාවලට	hanjawalata
පරිවර්තනය	pariwarthanaya
කෙරුණු	kerunu
අතර,	athara,
අද	ada
භාවිතා	bhawitha
වන	wana
බොහෝ	boho
නම්	nam
හන්ජා	hanja
පාදක	padaka
ඒවා	ewa
ය.	ya.
</s>	</s>
ජොං	Jon
ඉන්-හොං	in-hon
සහ	saha
යි	I
ඉචොම්ව	Ichomwa
ඝාතනය	ghathanaya
කෙරුණු	kerunu
අතර,	athara,
පාලක	palaka
මහා	maha
උත්තර	uththara
පක්ෂය	pakshaya
විස්ථාපනය	visthapanaya
කරමින්	karamin
බටහිර	batahira
පක්ෂය	pakshaya
බලයට	balayata
පැමිණියේ	paminiye
ය.	ya.
</s>	</s>
බොන්ඩ්	Bond
විසින්	wisin
ගත්කතුවරණය	gathkathuwaranaya
ඇරඹුවේ	arambuwe
1945	1945
වසරෙහිදී	wasarehidi
යුද්ධ	yudda
හමුදාව	hamudawa
සමගින්	samagin
කයිරෝවෙහි	kairowehi
ස්ථානගතව	sthanagathawa
සිටින	sitina
විටදී	witadi
වන	wana
අතර,	athara,
ඔහුගේ	ohuge
පළමුවන	palamuwana
කෙටිකතාව	keikathawa
ලන්ඩන්	london
ඔපීනියන්	opinion
සඟරාවට	sangarawata
විකුණන	wikunana
ලදි.	ladi.
</s>	</s>
මෙම	Mema
සත්වයා	sathwaya
ලංකා	lanka
දූපතට	doopathata
ආවේණික	awenika
වූ	wu
අතර	athara
මීට	meeta
වසර	wasara
37000කට	37000kata
පමණ	pamana
පෙර	pera
වඳව	wandawa
ගොස්	gos
ඇත.	atha.
</s>	</s>
එමගින්	Emagin
වායු	wayu
ගෝලයේ	golaye
හරිතාගාර	harithagara
වායුවල	wayuwala
විශේෂ	wishesha
මට්ටමක්	mattamak
ජනනය	jananaya
කෙරිණි.	kerini.
</s>	</s>
කුමන්ත්‍රණ	Kumanthrana
ගණනාවකින්	gananawakin
පසු,	pasu,
ප්‍රාග්‍යා	Pragya
ආලියාට	aaliyata
අභියෝග	abhiyoga
කරන්නේ	karanne
තනූ	thanu
සමග	samaga
විවාහයට	vivahayata
පෙර	pera
තමන්	thaman
අභිගේ	abhige
මතකය	mathakaya
යළි	yali
ගෙන්වන	genwana
බව	bana
පවසමිනි.	pawasamini.
</s>	</s>
මෙරට	Merata
අධ්‍යාපනයට	adyapanayata
අදාළ	adala
ඉහත	ihatha
වාර්තා	wartha
සහ	saha
විද්වතුන්ගේ	vidwathunge
ඉදිරිපත්	idripath
කිරීම්	kireem
අනුව	anuwa
විෂය	wishaya
සමගාමී	samagami
ක්‍රියාකාරකම්,	kriyakarakam,
අත්දැකීම්	athdekeem
බහුලව	bahulawa
ලැබීමට	labeemata
හැකිවන	hekiwana
අයුරින්	ayurin
පුළුල්	pulul
ක්‍ෂේත්‍රයන්	kshethrayan
කරා	kara
පැතිර	pathira
පවත්නා	pawathna
බව	bawa
පැහැදිලි	pahadili
වේ.	we.
</s>	</s>
මෙය	Meya
දඹුලු	dambulu
ලෙන්	len
විහාරය	viharaya
නැරඹීමේදී	narambeemedi
මනාව	manawa
ප්‍රත්‍යක්ෂ	prathyaksha
වේ.	we.
</s>	</s>
1690	1690
දී	di
පුත්තලමේ	puttalame
පදිංචියට	padinchiyata
ගිය	gia
ජුසේ	Juse
වාස්	Vaas
පියතුමාට	piyathumata
වසරක්	wasarak
තුළදී	thuladi
පුත්තලමේ	puttalame
කතෝලික	katholika
ජනතාව	janathawa
නගා	naga
සිටුවීමෙහිලා	situweemehila
විශාල	wishala
වැඩ	weda
කොටසක්	kotasak
ඉටු	itu
කිරීමට	kireemata
හැකිවිය.	hekiwiya.
</s>	</s>
සමහර	Samahara
අවස්ථාවල	awasthawala
එය	eya
මැනීම	maneema
සෙන්ටිමීටර්	centimetre
47	47
දක්වා	dakwa
සටහන්	satahan
වී	wee
ඇත.	atha.
</s>	</s>
ඒ	E
කියන්නෙ	kiyanne
නොගැඹුරු	nogamburu
ජලයේ	jalaye
අපේ	ape
කතා	katha
නායක	nayaka
පැකිසීටස්ලට	pakeeseetaslata
පහසුවෙන්	pahasuwen
⁣සොයාගත	soyagatha
හැකි	heki
ආහාර	ahara
ඉහලයි...	ihalai…
</s>	</s>
සාමාන්‍ය	Samanya
කාර්මික	karmika
ආසවන	aasawana
කුලුණු	kulunu
</s>	</s>
මිනිසාගේ	Minisage
ජීනෝමය	jeenomaya
හා	ha
වෛරසවල	wairasawala
ජීනෝමය	jinomaya
සංසන්දනය	sansandanaya
කිරීමේදී	kireemedi
ඒවා	ewa
තුළ	thula
එක	eka
හා	ha
සමාන	samana
ප්‍රෝටීන	proteena
වර්ග	warga
නිෂ්පාදනය	nishpadanaya
කිරීමේ	kireeme
හැකියාව	hekiyawa
පවතින	pawathina
බව	bawa
සොයා	soya
ගෙන	gena
ඇත.	atha.
</s>	</s>
කටහඬෙහි	Katahandehi
අනුනාදය	anunadaya
ඉහළ	ihala
දැමීම.	dameema
</s>	</s>
සමාජය	Samajaya
වුකලි	wookali
ස්ථිතික	sthithika
වුවක්	wuwak
නොව	nowa
ගතික	gathika
ප්‍රපංචයකි.	prapanchayaki.
</s>	</s>
එහෙනම්	Ehenam
ඉතිරි	ithiri
එක්	ek
තාර්කික	tharkika
විකල්පයයි.....	wikalpayai…..
</s>	</s>
දුර	Dura
සිට	sita
බැලු	balu
විට	wita
බෝකොළයක	bokolayaka
දළ	dala
හැඩයෙන්	hedayen
පෙනෙන	penena
නිසා	nisa
මෙයට	meyata
මෙම	mema
නම	nama
ලැබී	labee
ඇත.	atha.
</s>	</s>
ද	The
එක්ස්-ෆයිල්ස්	X - files
රූපවාහිනී	rupavahini
කතාමාලාවෙහි	kathamalawehi
"එක්ස්-ගොනුවක්" නැතහොත්	"X-gonuwak"nathahoth
"එක්ස්-ෆයිල්" එකක්	"X-file"ekak
යනුවෙන්	yanuwen
හැඳින්වෙන්නේ	handinwenne
ෆෙඩරල්	federal
විමර්ශන	wimarshana
කාර්යාංශය	karyanshaya
වෙතින්	wethin
විසඳීමට	wisandeemata
නොහැකි	nohaki
හෝ	ho
අවම	awama
ප්‍රමුඛතාවක්	pramukathawak
ලදැයි	ladai
සඳහන්	sandahan
වන	wana
ප්‍රබන්ධිත	prabandhitha
පරීක්ෂණයකි.	pareekshanayaki.
</s>	</s>
නාරිද්වේෂයට	Naridweshayata
විරුද්ධව	wiruddhawa
අදහස්	adahas
පළකිරීමේදී	palakireemedi
වැඩි	wedi
වශයෙන්ම	washayenma
විවේචන	vivechana
එල්ල	ella
වන්නේ	wanne
ආගමික	agamika
අංශයෙනි.	anshayeni.
</s>	</s>
ශ්‍රීපාදස්ථානය	Sripadasthanaya
යනු	yanu
සමනල	samanala
කන්ද	kanda
මුඳුනේ	mudune
පිහිටා	pihita
ඇති	athi
සිරි	siri
පතුල	pathula
සහ	saha
ඒ	e
ආශ්‍රිතව	ashrithawa
ගොඩනැගී	godanagee
ඇති	athi
බෞද්ධ	bauddha
සිද්ධස්ථානයයි.	siddhasthanayai.
</s>	</s>
පරාක්‍රමබාහු	Parakramabahu
සහ	saha
පරාක්‍රම	parakrama
පාණ්ඩ්‍ය	pandaya
අතර	athara
ඇතිවූ	athiwu
සන්ධානය,	sandayana,
1120	1120
වන	wana
විට	wita
චෝල	chola
අධිරාජ්‍යය	adhirajya
ක්‍රම	krama
ක්‍රමයෙන්	kramayen
කුඩා	kuda
වන්නට	wannata
බොහෝ	boho
සෙයින්	seyin
බලපෑවේය.	balapaweya.
</s>	</s>
මුකලන්	Mookalan
හොද්ද	hodda
</s>	</s>
දියඉනි	Diyaini
ඇල්ල,	alla,
පියන්ගිර	piyangira
ඇල්ල	alla
සහ	saha
දූවිලි	duwili
ඇල්ල	alla
රසකාමීන්ගේ	rasakaminge
නිවාඩු	niwadu
නිකේතන	nikethana
බවට	bawata
පත්ව	pathwa
ඇත.	atha.
</s>	</s>
චේතනාත්මකව	Chethanathmakawa
සිදු	sidu
කරනු	karanu
ලබන	labana
සිවිල්	civil
වැරදි	weradi
ඉඩමක	idamaka
පදිංචි	padinchi
වි	wee
සිටීම	siteema
හෝ	ho
භාවිතය	bhawithaya
නිසා	nisa
ඇති	athi
විය	wiya
හැකිය.	hekiya.
</s>	</s>
ඔව්හු	Owhu
යටත්	yatath
වූහ.	wuha.
</s>	</s>
අැග්‍රීෙග්ටර්ස් ‘	Agrigetors
නම්	nam
අන්තර්ජාල	antharjala
සේවා	sewa
වෙනත්	wenath
මූලාශ්‍රයන්ගෙන්	moolasrayangen
ලබා	laba
ගත්	gath
ලුහුඬු	luhundu
දැන්වීම්	danweem
එක්	ek
වෙබ්	web
අඩවියක	adaviyaka
දක්වාය.	dakwa ya.
</s>	</s>
සමුද්‍රගුප්තගේ	Samudragupthage
කාසි	kasi
එකතුවක්	ekathuwak
</s>	</s>
යක්ෂයා	Yakshaya
විසින්	wisin
ලෝකයට	lokayata
ලෙඩවීම	ledaweema
ජරාවට	jarawata
පත්වීම	pathweema
මරණය	maranaya
උරුමකර	urumakara
දුන්නේය.	dunneya.
</s>	</s>
ඇය	Aya
තප්කිව	thapkiwa
මරා	mara
දැමීමට	dammemata
සැලසුම්	selasum
කරන්නී	karannee
ය.‍	ya.
</s>	</s>
සාමාන්‍යයෙන්	Samanyayen
දහවල්	dahawal
ආහාර	ahara
වේල	wela
සඳහා	sandaha
මෙය	meya
පිළිනොගන්වයි.	pilinoganwai.
</s>	</s>
(උෂ්ණත්වය	(Ushnathwaya
නියත	niyatha
ව	wa
පවත්වා	pawathwa
ගැනීම	ganeema
සඳහා	sandaha
අයිස්	ice
කැට	keta
හෝ	ho
උණු	unu
වතුර	wathura
හෝ	ho
භාවිත	bhawitha
කිරීම)	kireema)
</s>	</s>
සත්මහල්	Sathmahal
ප්‍රාසාදය	pasadaya
හැරුණු	harunu
විට	wita
මෙම	mema
විශේෂිත	wisheshitha
ආකාරයේ	akaraye
ඉදිකිරීම්	idikireem
ත්‍රිත්වයක්	thrithwayak
අනුරාධපුර	anuradhapura
අභයගිරි	abhayagiri
විහාරයේ	viharaye
හා	ha
නඛා	nakha
වෙහෙරහීදී	weherehidi
දැකගත	dekagatha
හැකිවේ.	hekiwe.
</s>	</s>
•ශරීරයේ	Shareeraye
සෛල	shaila
න්‍යෂ්ටි	nyasti
සහිතය.	sahithaya.
</s>	</s>
මෙම	Mema
සමාජ	samaja
සමිබන්ධතා	sambandatha
අධ්‍යනය	adyanaya
තුළින්	thulin
සමාජය	samajaya
තේරැමි	therum
ගැනීමට	ganeemata
පහසු	pahasu
වන	wana
බව	bawa
පෙනේ.	pene.
</s>	</s>
ඇල්ෂයිමර්	Alshiymar
රෝගය	rogaya
ක්‍රමයෙන්	kramayen
පරිහානියට	parihaniyata
පත්වෙන	pathwena
විනාශකාරී	winashakari
රෝගයක්	rogayak
වන	wana
අතර	athara
මේ	me
වනවිටද	wanawitada
නිශ්චිත	nishchitha
ප්‍රතිකාර	prathikara
ක්‍රමයක්	kramayak
සොයාගෙන	soyagena
නොමැත.	nomatha.
</s>	</s>
පූජකයෝ	Poojakayo
අරලියගහ	araliyagaha
හා	ha
පූජා	pooja
කිරීමට	kireemata
සහභාගි	sahabhagi
වන	wana
විට	wita
යුදෙව්	yudew
ආගම	agama
තුළ	thula
පූජක	poojaka
භූමිකාව	bhoomikawa
සැලකිය	selakiya
යුතු	yuthu
ලෙස,	lesa,
ක්රිස්තු	kristhu
වර්ෂ	warsha
70	70
දී	dee
දෙවන	dewana
මාලිගාවේ	maligawe
විනාශයට	winashaata
සිට	sita
හීන	heena
වී	wee
