තන්ත්‍රයන්ට අනුව මහා තත්ත්වය (පරබ්‍රහ්මන්) ද්විත්වයන් මත රඳා පවතී.	Thanthrayanta anuwa maha thathwaya (parabrahman) dwithwayan matha randa pawathee.
ක්ලින්ටන් ඩිමොක්‍රටික් අපේක්ෂත්වය පහසුවෙන් ලබා ගනනේ යුධ විරෝධී ක්‍රියාකාරිකයකු වූ “ජොනතන් ටසිනි” පරදවමිනි.	Clinton democratic apekshakathwaya pahasuwen laba ganne yuda wirodee kriyakarikayeku wu, "Jonothon tasini" paradawamini.
එහි විස්තර වන්නේ 'ළමා පුරවැසියන් දුබල පුද්ගලයින් ලෙසිනි. එමෙන්ම උත්පත්තියේ සිට නීතිමය වයස් සීමාවට එන තෙක් ඔවුන් සමානය, අදක්ෂයින් ලෙස නොසැළකිය යුතුය' යනුවෙනි.	Ehi wisthara wanne 'Lama purawasiyan dubala pudgalayin lesini. Emenma uthpaththiye sita neethimaya wayas seemawata ena thek own samanaya, adakshayin lesa nosalakiya yuthuya' yanuweni.
ඇතැම්විට අස්ථික මසුන්ගේ මෙන්, ඌර්ධ්වහනුක අස්ථිය "ඉහළ මැක්සිලාව", ලෙසත්, අධෝහනුක අස්ථිය "පහළ මැක්සිලාව" ලෙසත් හඳුන්වනු ලැබේ.	Athamwita asthika masunge men, urdwahanuka asthiya "ihala maksilawa", lesath, adhohanuka asthiya "pahala maksilawa" lesath handunwanu labe.
එයට අනුව මූල්‍ය ප‍්‍රතිපාදන ලබාදීම ස්වේඡ්ඡාවෙන් සිදුකළ යුතු අතර එවැනි මූල්‍ය ප‍්‍රතිපාදන අප‍්‍රමාණවත් වන කල්හි ස්ථාවර කමිටුවේ අනුමැතියට යටත්ව බාහිරව ලබාගත හැකි මූල්‍ය ආධා	Eyata anuwa moolya prathipadana labadeema swechchawen sidukala yuthu athara ewani moolya prathipadana apramanawath wana kalhi sthawar kamituwe anumathiyata yatathwa bahirawa labagatha heki moolya adhara
දිව්‍ය සත්ප්‍රසාද වහන්සේ සහ සක්‍රමේන්තුද රැගෙන යමින්, දිවයින පුරා රහසිගතව සිටි කතෝලිකයන් සමූහ වෙත එතුමා ගමන් කලේය.	Divya sathprasada wahanse saha sakramenthuda regena yamin, divayina pura rahasigathawa siti katholokayan samooha wetha ethuma gaman kaleya.
වාර්තා ගත කරුණු නැවත පරීක්ෂණය.	Wartha gatha karunu newatha pareekshanaya.
මේ ප්‍රතිභා සම්ප්‍රාප්ත නොවන ප්‍රතිඵලය අදහස් කරන්නේ පද්ධති ඔත්තේ සංඛ්‍යාවක් ඒවායේ උෂ්ණත්වය හා එන්ට්‍රොපි උච්ඡාවචනය නොසලකා සැමවිටම සමතුලිත වන අතර උෂ්ණත්වය සමාන විට අවශ්‍ය වන්නේ එන්ට්‍රොපි උච්ඡාවචනවලින් යුක්තව පද්ධති ඉරත්තේ සංඛ්‍යාවක් අතර දී පමණි.	Me prathiba sampraptha nowana prathipalaya adahas karanne paddathi oththe sankayawak ewaye ushnathwaya ha entropi uchchawachanaya nosalaka samawitama Samathulitha wana athara ushnathywa samana wita awashya wanne entrophi uchchawachanawalin yukuthawa paddathi iratte sankayawak athara dee pamani.
පහල හා ඉහල හාල්දඬුවන නමින් කොටස් දෙකකට ග්‍රාම නිලධාරී කොට්ටාශ දෙකකට බෙදා ඇති අතර ඉහල හාල්දඬුවන බෞද්ධ ජනතාව වැඩි අතර පහල හාල්දඬුවන කතෝලික ජනතාව වැඩියෙන් වාසය කරයි.	Pahala ha ihala haldanduwana namin kotas dekakata grama niladhari kottasha dekakata beda athi athara ihala haldanduwana bauddha janathawa wedi athara pahala haldanduwana katholika janathawa wediyen wasaya karai.
වර්තමාන ස්ථීර -නොවන සාමාජීකයන් වන්නේ ආර්ජන්ටිනාව, ඕස්ට්‍රේලියාව, චෑඩ්, චිලි, ලක්සම්බර්ග්, ජෝර්දානය, ලිතුවේනියාව, රුවන්ඩා, දකුණු කොරියාව, සහ නයිජීරියාව යන රටවල් වෙති.	Warthamana sthira -nowana samajikayan wanne arjantinawa, australiyawa, chad, chilee, laksumburg, jordanaya, lithuweniyawa, ruwanda, dakunu koriyawa, saha nigeerayawa yana ratawal wethi.
එම දියණිය ඛුරාම් කුමරුට දාව ඔහුගේ පළමු බිසව වූ කන්දහාරී බෙගම් නම් සෆාවිද් කුමරියට උපන් දියණියයි.	Ema diyaniya buram kumaruta dawa ohuge palamu bisawa wu kandahari begam nam safavid kumariyata upan diyaniyai.
බදුල්ලේ උපන් මෙම දැරිය ඇගේ පෙර ආත්මයේ එනම් අළුත්ගම ගෙදර පිළිබදව විස්තර හා ඇයට තිබූ කාරයක් හා ගෙදර බල්ලා පිළිබදව ද විස්තර ප්‍රකාශ කළාය.	Badulle upan mema dariya age pera athmaye enam aluthgama gedara pilibandawa wisthara ha ayata thibu karayak ha gedara balla pilibandawa da wisthara prakasha kalaya.
දකුණු ආසියාවේ මානව ශිෂ්ඨාචාරය පැවති බවට හමුවන පැරණිතම ‍කක්ෂිය හමුවි ඇත්තේ පාකිස්ථානයේ මෙර්ගා (ක්‍රි.පූ. 7000 සිට ක්‍රි.පූ. 3200 දක්වා) ප්‍රදේශයෙනි.	Dakunu asiyawe manawa shishtacharaya pawathi bawata hamuwana paranithama kakshiya hamuwee aththe pakisthanaye merga (kri.poo. 7000 sita kri.poo, 3200 dakwa) pradeshayeni.
මෙම සත්වයා ඕනෑම පරිසරයකට ලේසියෙන් අනුවර්තනය වන සත්වයෙකි.	Mema sathwaya onama parisarayakata lesiyen anuwarthanaya wana sathwayeki.
ප්‍රාථමික මට්ටමෙන් ඔබ්බෙහි වන සියලු ගණිත කොටස්වල සම්මත කෝණික මිණුම ලෙස රේඩියන භාවිතා කරයි.	Prathamika mattamen obbehi wana siyalu ganitha kotaswala sammatha konika minuma lesa radiana bhawitha karai.
රාගම දුම්රිය ස්ථානය, කොළඹ කොටුව දුම්රිය ස්ථානයේ සිට ප්‍රධාන දුම්රිය මාර්ගයේ 09 වැනියාට හමුවන දුම්රිය ස්ථානය වන අතර එය මුහුදු මට්ටමේ සිට මීටර 09 උන්නතාංශයකින් යුතුව පිහිටා තිබේ.	Ragama dumriya sthanaya, kolomba kotuwa dumriya sthanaye sita pradhan dumriya margaye 09 waniyata hamuwana dumriya sthanaya wana athara eya muhudu mattame sita metre 09 unnathanshayakin yuthuwa pihita thibe.
මේ නිසා මධ්‍යහනයේ දී වුවත් දැක ගැනීමට තරම් එය දීප්තිමත් වන අතර ඉර බැස ගෙන යන විට එය ඉතා පහසුවෙන් දැකගත හැකිය.	Me nisa madyahanaye di wuwath deka ganeemata tharam eya deepthimath wana athara ira besa gena yana wita eya itha pahasuwen dekagatha hakiya.
අසේවනා ච බාලානං - පණ්ඩිතානං ච සේවනා පූජා ච පූජනීයා නං - ඒතං මංගල මුත්තමං	Asewana cha balanan - pandithanan cha sewana pooja cha poojaneeya nan - ethan mangala muththaman
අනතුරුව ජයග්‍රාහක පෙළපාලිය වැඩසටහනේ තැටිගත කිරීමක්‌ සඳහා චන්ද්‍රසේන වීරසේකර (ගිල්බට්‌ මාස්‌ටර්) විසින් පද රචනය කරනු ලැබූ සාධු දන්ත දා ගීතය ගායනා කලාය.	Anathuruwa jayagrahaka pelapaliya wedasatahane thetigatha kireemak sandaha chandrasena weerasekera (Gilbert master) wisin pada rachanaya karanu labu sadhu dhantha da geethaya gayana kalaya.
රාජසිංහ යුගයේදී උඩරට දේශපාලන කටයුතු කළ බලවත් පවුල්, 18 වෙනි සියවසේදී වැඩි බලයක් උරුම කරගත්හ.	Rajasinghe yugayedi udarata deshapalana katayuthu kala balawath pawul, 18 weni siyawasedi wedi balayak uruma karagathha.
දොඩම්පහළ ශ්‍රී රාහුල පුස්තකාලය	Dodampahala sri rahula pusthakalaya
ප්‍රභවය යම් කිසි කෝණයකින් යුක්තව නිරීක්ෂකයා වෙත ළඟා වන්නේ නම් (ඒකාකාර ප්‍රවේගයෙන්), පළමුව ඇසුණු නිරීක්ෂිත සංඛ්‍යාතය, විමෝචිත සංඛ්‍යාතයට වඩා වැඩි ය.	Prabhawaya yam kisi konayakin yukthawa nireekshakaya wetha langa wanne nam (ekakara prawegayen), palamuwa asunu nireekshitha sankayathaya, vimochitha sankayathayata wada wedi ya.
ආගමික හා සදාචාරාත්මක හරයන් ඔප් නංවන වැඩසටහන්	Agamika ha sadacharathmaka harayan op nanwana wedasatahan
ශ්‍රී ලංකාවේ අනුරාධපුර ශ්‍රී මහා බෝධියට නිරිතදෙසින් පිහිටා ඇති මයුර පිරිවෙණ, අනුරාධපුර යුගයේ මහා විහාර සංකීර්ණයට අයත් මූලික අධ්‍යාපනික මධ්‍යස්ථානයක් ලෙස සැළකේ.	Sri Lankawe anuradhapura sri maha bodhiyata nirithadesin pihita athi mayura piriwena, anuradhapura yugage maha vihara sankeernayata ayath moolika adyapanika madyasthanayak lesa selake.
පාරිසරික භූගෝල විද්‍යාව	Parisarika Bhoogola vidyawa
පළාත් සභාවන්ට ප්‍රඥප්ති සෑදීමට බලය දීම යනු ආණ්ඩුක්‍රම ව්‍යස්ථාවේ 76 ව්‍යවස්ථාව උල්ලංගණය කිරීමකි.	Palath sabhawantha pragnampthi sadeemata balaya deema yanu andukrama wyawasthawe 76 wyawasthawa ullanganaya kireemaki.
යොන්සන්ගුන්ගේ සැහැසි පාලනයට අනුබල දුන් අතිශය රූමත් ජං නොක්-සු උපබිසවගේ හිස ගසා දැමුණු අතර, යොන්සන්ගුන්ගේ ළදරු පුතුන්ව ද මරා දමන ලදී.	Yonsungunge sahasi palanayata anubala dun athishaya roomath jang nok-su upabisawage hisa gasa damunu athara, yonsungunge ladaru puthunwa da mara damana ladee.
1950 ගණන් සහ 1960 ගණන් වල බොහෝ අප්‍රිකානු දේශපාලනඥයෝ, අප්‍රිකානු සමාජවාදය වෙත ලැදියාව ප්‍රසිද්ධියේ ප්‍රකාශ කර සිටියද, මෙම පදය පිළිබඳ අර්ථ දැක්වීම සහ අර්ථ නිරූපණය බෙහෙවින් විවිධ ස්වරූපයන් ගති.	1950 ganan saha 1960 ganan wala boho afrikanu deshapalanagnayo, afrikanu samajawadaya wetha ladiyawa prasiddiye prakasha kara sitiyada, mema padaya pilibanda artha dakweema saha artha nirupanaya behewin wiwida swaroopayan gathi.
පළමුව පෘතුග්‍රීසීන් පිලිවෙලින් ලංදෙසීන් ඉංග්‍රීසින් ලංකාව ග්‍රහණයට හසු විය.	Palamuwa pruthugeesin piliweli landesin engreesin lankawa grahanayata hasu wiya.
අතීතයේදී, වේදිකා නලුවන්ට "වෝඩිවිල්" හා "බර්ල්කියු" වැනි සජීවී රඟදැක්වීම් පිළිබඳ සුපිරි ආකල්පය තිබිණි.	Atheethayedi, wedika naluwanta "Wodvil" ha "Birlku" weni sajeewi rangadekweem pilibanda supiri akalpaya thibini.
ඒ නිසා ඒ රෑපයන්ගෙන් ලැබෙන සතුට උපාදාන වේ.	E nisa e rupayangen labena sathuta upadana we.
ඕසෝන් ක්ෂය වීම වෙනස්කම් දෙකක් මත විස්තර කරන අතර නිරීක්ෂණ වලින් පැවසෙන්නේ ඉතා සෙමින්, 1970 පටන් පෘථිවි අපරිවර්තී ගෝලයේ මුළු ඕසෝන ප්‍රමාණය දශකයකට 4% බැගින් ස්ථායි අවපාතයකට ලක් වී ඇති බවයි.	Oson kshaya weema wenaskam dekak matha wisthara karana athara nireekshana walin pawasenne itha semin, 1970 patan Pruthivi aparivarthi golaye mulu osona prmanaya dashakayakata 4% bagin sthai awapathayakata lak wee athi bawai.
දන්ත ධාතූන් වහන්සේ බෞද්ධයාගේ නිරන්තර පිදුමට ලක්වන අතරම අතීතයේ සිට ශ්‍රී ලාංකික රාජ්‍ය පාලනය කෙරෙහි මහත් වූ බලපෑමක් ඇති කරන ලදී.	Dantha dathun wahanse bauddayage niranthara pidumata lakwana athrama atheethaye sita sri lankika rajya palanaya kerehi mahath wu balapemak athi karana ladi.
මෝසම් වැසි ආරම්භ වීමට පෙර ශ්‍රීෂ්මසෘතුවේ උෂ්ණාධිකම කාලය මැයි මාසයයි.	Mosam wesi aramba weemata pera greeshma irthuwe ushnadikama kalaya may masayai.
නූල් බැඳීම මගින් මතුරන ලද නූල් බෙල්ලේ , ඉනේ හෝ අතේ ගැටගැසීම සිදු කරයි.	Nool bendeema magin mathurana lada nool belle , ine ho athe getageseema sidu karai.
වෘත්තාන්ත බව - රූපවල එකතුව හරහා ප්‍රේක්ෂකයාට සංසකෘතික මට්ටමෙන් කරුණු වටහා ගත හැක.	Wurthantha bawa - roopawala ekathuwa haraha prekshakayata sanskruthika mattamen karunu wataha gatha heka.
මෙම අකාලපය "නියම රඟමඩල" නම් වචනයෙන් පිළිබිඹු වේ.	Mema akalpaya "niyama rangamadala" nam wachanayen pilibimub we.
යි ජිං (635-713) විසින් රචනාකරන ලද සප්තතථාගතපූර්වප්‍රනිධානවිසේස සූත්‍රය අනුව භෛසජ්‍යගුරු බුදුන් වහන්සේට පෙර බුදුන් වහන්සේලා සය දෙනකු වැඩිසිටි අතර, චීන චිත්‍ර කලාව තුළ භෛසජ්‍යගුරු බුදුන් වහන්සේ සහ උන් වහන්සේට පෙර වැඩ විසූ බුදුවරුන් සයදෙනාගේ රූ සමූහයක් ලෙස නිරූපණය කොට තිබෙනු දක්නට ලැබේ.	Yi Jin (635-713) wisin rachana karana lada sapthathathagathapoorwapranidanawisesa suthraya anuwa bhaisajyaguru budunwahanseta pera budun wahansela saya deneku wedasiti athara, cheena chithra Kalawa thula bhaisajyaguru budun wahanse saha un wahanseta pera weda wisu buduwaraun sayadenage ru samuhayak lesa nirupanaya kota thibenu daknata labe.
රාජකීය වංශවත් බිසව යනු කොරියානු රජවරුන්ගේ (තුන් රාජධානි, එක්සත් සිල්ලා, ගෝර්යෝ සහ ජොසොන් රාජවංශ සමයන්හි).	Rajakeeya wanshawath bisawa yanu koriyanu rajawarunge (thun rajadhani, eksath silla, goryo saha joson rajawansa samayanhi).
ඵ් කෙසේ වුවද මෙම ගුවන් විදුලිය වැඩසටහන පසුකාලිනව ඔහුගේ වේදිකා රංගනයේදි Stage Fright හෙවත් වේදිකා භීතිය නැති කිරීමට සමත් වු බව වරෙක ඔහු ව්සින්ම පවසා තිබේ.	E kese wuwada mema guwan viduliya wedasatahana pasukaleenawa ohuge wedika ranganayedi State Fright hewath wedika bheethiya nathi kireemata samath wu bawa wareka ohu wisinma pawasa thibe.
මැද කන පිහිටන්නේ බාහිර කන සහ ඇතුළු කන අතර ය.	Meda kana pihitanne bahira kana saha athulu kana athara ya.
සෙසු ආත්‍රොපෝඩාවන් සතුව ඇති මීට වඩා සාපේක්ෂව සරල අවයව සමීප ශබ්ද හඳුනාගැනීමට වැදගත් ය.	Sesu athropodawan sathuwa athi meeta wada sapekshawa sarala awayawa sameepa shabda handunaganeemata wedagath ya.
චිත්‍රා වාකිස්ට (කමලාවතී නැන්දා)	Chitra wakista (Kamalawathi nanda)
මෙවැනි නීතියක් ජාතික මට්ටමෙන් අවශ්‍ය යැයිද අදහසක් නොකෙරේ.	Mewani neetiyak jathika mattamen awashya yaida adahasak nokere
කායම් හොද්ද (කාඩි හොද්ද)	Kayam hodda (card hodda)
අවිහිංසාවාදී සන්නිවේදනය රඳා පවතින්නේ සියලු මානව වර්ගයා තුළ අනුකම්පාවට ඉඩක් පවතී යන අදහස හාමිනිසුන් තම අවශ්‍යතා සපුරා ගැනීමට ඵලදායී ක්‍රමෝපායන් හදුනන නොගන්නා විට ඇතිවන අන් අයට කරදරකාරී ප්‍රචණ්ඩත්වයට මුල්වන හැසිරීම් මතයි.	Avihinsawadi sanniwedanaya randa pawathinne siyalu manawa wargaya thula anukampawata idak pawathi yana adhasa ha minisum thama awashyatha Sapura ganeemata paladai kramopayayan handuna noganna wita athiwana an ayata karadarakari prachandathwayata mulwana hasireem mathai.
ඇය සාත්‍ර සමග දිගුකලක් තිස්සේ ප්‍රේම සබඳතාවක් පවත්වා ගත්තද ඇයට රොමැන්තික මිතුරියන් විශාල පිරිසක් සමගද සබඳතා පවත්වා ඇත.	Aya sathra samaga digukalak thisse prama sabandathawak pawathwa gaththada ayata romanthika mithuriyan wishala pirisak samagada sabandatha pawatha atha.
සාමාජීක සහ සංස්කෘතික සංවර්ධනය වේගවත් කිරීම හා පුද්ගලයන්ගේ ගරුත්වය රැකෙන අයුරින් ජීවත්වීමට අවස්ථාව සලසාදීම.	Samajika saha sanskruthika sanwardanaya wegawath kireema ha pudgalayange garuthwaya rekena ayurin jeewathweemata awasthawa salasadeema
ජින්ප්යොං රජුට පුතුන් නොසිටි බැවින් සොන්දොක්ව සිය උරුමකරු ලෙස තෝරාගන්නා ලදී.	Ginjhyon rajuta puthun nositi bawin sondokwa siya urumakaru lesa thoraganna ladi.
එය පරිසර ලෝලීන්ට වින්දනාත්මක ස්ථානයකි.	Eya parisara loleenta windanathmaka sthanayaki.
විස්සයි 20 ලොක කුසලාන තරඟාවලියෙන් පසු ජයසූරිය එංගලන්තයට එරෙහි එක් දින (3-2) පරාජිත තරඟ මාලාවටද, ඕස්ට්‍රේලියා‍ෙව්දී පවත්වන ලද පරාජිත ටෙස්ට් තරඟ මාලාවටද (2-0) සහභාගි විය.	Wissai 20 loka kusalana tharangawaliyen pasu jayasuriya engalanthayata erehi ek dina (3-2) parajitha tharanga malawatada, australiyawedi pawathwana lada parajitha test tharanga malawatada (2-0) sahabahi wiya.
කමල්පුර වෙත යන ගමනේ දී, රාඛ් රිෂාභ්ට පවසන්නේ තමන් වරුන්ට ප්‍රේම කරන බවත්, වෙනත් කිසිවකු හා විවාහ විය නොහැකි බවත් ය.	Kamalpura wetha yana gamane di, Rakh Rishahta pawasanne thaman warunta prema karana bawath, wenath kisiwaku ha wiwaha wiya nohaki bawath ya.
එහෙත් මෙම ප්‍රතිකාර ක්‍රමයේ විද්‍යාත්මක පදනම මෙස්මර් හරිහැටි දැන නොසිටි අතර මෙම ප්‍රතිකාරය අවිද්‍යාත්මකබව විද්‍යාඥයන් පෙන්වා දුන්හ.	Eheth mema prathikara kramaye vidyathmaka padanama, mesmer harihati dena nositia athara mema prathikaraya avidyathmakabawa vidyagnayan penwa dunha.
මීර් අල් හුසෙයිනි නම් චාරුලේඛන ශිල්පියා විසින් මෙම පද්‍යය සිතුවම් සහිත අත් ලිපියක් ලෙසින් ප්‍රකාශයට පත්කොට ඇත.	Meer ali Huseini nam charulekahana shilpaya wisin mema padyaya sithuwam sahitha ath lipiyak lesin prakashayata pathkota atha.
ප්‍රාග් බෞද්ධ යුගයේ කූරගල	Prag bauddha yugaye Kooragala
2007 සැප්තැම්බර් මසදී විහාර කළමනාකාරී කමිටුවේ තුන් අවුරුදු කාලය අවසන් වු අතර නව කමිටුවක් පත් කිරීම වෙනුවට බිහාර් ආණ්ඩුව විහාර කමිටුවේ හිටපු සමාජිකයෙක් වන ගයා දිස්ත්‍රික් මහේස්ත්‍රාත්වරයා පන්සලේ තනි පාලකයා බවට පත් කළේය.	2007 September masadi wihara kalamanakri kamituwe thun awurudu kalaya awasan wu athara nawa kamituwak path kireema wenuwata Bihar anduwa wihara kamituwe hitapu samajikayek wana gaya district mahestharthwaraya pansale thani palakaya bawata path kaleya.
මෙම නාළිකා වල ආස්තරයක් ලෙසින් සෛල තට්ටුවක් (බීජාණු සෛල) පවතින අතර, යෞවනෝදයෙහි සිට මහළු විය දක්වා ඒවා ශුක්‍රාණු සෛල බවට වර්ධනය වෙති.	Mema nalika wala astharyak lesin shaila thattuwak (beejanu saila) pawathina athara, yauwanodayehi sita mahalu wiya dakwa ewa sukranu saila bawata wardanaya wethi.
එහි ගර්භගෘහය සහ පියස්ස (ශිඛර) පමණක් දක්නට ඇත.	Ehi garbagruhaya saha piyassa (shikara) pamanak daknata atha
ඔහු එක්සත් ජාතික පක්ෂයෙහි ආරම්භක සාමාජිකයෙක් විය.	Ohu eksath jathika pakshayehi arambaka samajikayek wiya.
මෙම දෙවොල ශිව දෙවියන් වෙනුවෙන් කැපවූවකි.	Mema devola shiva deviyan wenuwen kepawuwaki.
ඉන්පසුව ජුරාසික යුගය අවසානයත් සමඟම ප්‍රථම පක්ශීන් බල පියාසැරියට එළඹෙනවා...	Inpasuwa juraskika yugaya waawanayath samagama prathama paksheen bala piyasariyata elambenawa.
එසේම මයුර සංදේශයේ සදහන්වන පරිදි බුද්ධත්වය ලබා ගන්නා මොහොතේ එය වැලැක්විම සදහා පැමිණි මාර සෙනග දුටු අනෙකුත් දෙවිවරු පැන දුවද්දි ඔවුනට නොබියව මුහුණ දි ආරක්ෂාව සපයා දි ඇත්තේ විෂණු දෙවියන්ය.	Esema mayura sandeshaye sandahanwan paridi buddhathwaya laba ganna mohothe eya welakweema sandaha pamini mara senaga dutu anekuth dewiwaru pana duwaddi owunata nobiyawa muhuna dee arakshawa sapaya dee aththe wishnu deviyanya.
උදාහරණ ලෙස බ්‍රසීලයේ "ඇමසෝනියා මෙහෙයුම" යටතේ ඇමසන් වනාන්තර ප්‍රදේශයේ වනාන්තර බිම් විශාල ලෙස එළිපෙහෙළි කිරීම සිදුව ඇත.	Udaharana lesa braseeliaye "amasoniya meheyuma" yatathe amason wananthara pradeshaye wananthara bim wishala lesa elipeheli kireema siduwa atha.
මේ කාලය තුළ දී, යුදෙව්වන් වහල්භාවය, අරාජික සහ දිව්යාණ්ඩුමය ස්වයං පාලනයක්, බලෙන් අල්ලා, රැකියාව, සහ පිටුවාහලේ අත්දැකීම්.	Me kalaya thula di, yudewwan wahalbhawaya, arajika saha diwyandumaya swayan palanayak, balen alla, rekiyawa saha pituwahale athdakeem
මීට එරෙහි වූ දොන් ජෝන් පෘතුගීසින් ඉවත්ව යනතෙක් සිට දොන් පිලිප් ට වස දී මරා දැමීය.	Meeta erehi wu don John pruthugeesin iwathawa yanathek sita don pilip ta wasa dee mara dameeya.
මෙම නිදහස් අරගලයෙහි නායකයන් වූයේ විල්බාවේ (නොහොත් දොරේ සාමී) සහ කැප්පෙටිපොල දිසාවේය.	Mema nidahas aragalayehi nayakayan wuye wilbawe (nohoth dore sami) saha keppetipola disaweya.
මේ හේතුව නිසා අඩංගු පරමාණු එක ම ආකාරයට බන්ධනය වී ඇති නමුත් ඒවායේ ත‍්‍රිමානයේ පිහිටීම හේතු කොට ගෙන වෙනස් වින්‍යාස පැවැතිය හැකි ය.	Me hethuwa nisa adangu paramanu eka ma akarayata bandanaya wee athi namuth ewaye thrimanaye pihiteema hethu kota gena wenas winyasa pawathiya heki ya.
මෙම අලේපන විචිත්‍ර වර්ණයන්ගෙන් යුක්තය.	Mema alepana vichithra warnayangen yukthaya.
පිතිකරන කණ්ඞායමේ පිතිකරුවන් දස දෙනෙකු දැවි ගිය විට එම කණ්ඞායමේ ඉනිම නිමාවේ.	Pithikarana kandayame pithikaruwan dasa deneku dawee giya wita ema kandayame inima nimawe.
උස්සන්ගොඩ පිහිටි රතු පස් මත තැනින් තැන උණු වූ යකඩ නොහොත් පාෂාණ විශේෂයක් දැක ගත හැකිය.	Ussangoda pihiti rathu pas matha thenin thena unu wu yakada nohoth pashana wishesayak deka gatha hakiya.
එහිදි ජේසුස් වහන්සේ ඔහුව පාවා දිමට ජුදාස්ට කිවු බව සත්‍ය ලෙස පිළිගත හැකි කරැණකි.	Ehidi jesus wahanse ohuta pawa deemata judasta kiwu bawa sathya lesa piligatha heki karunaki.
අයියානාරේ	Ayyanare
සරණපාල සූරියආරච්චි	Saranapala Sooriyarachchi
'සොරිස්කියන්' කොටස් ද්විත්වයකට බෙදෙනවා සෝරෝපෝඩා සහ තෙරොපෝඩ් ලෙස.	Soriskiyan' kotas dwithwayakata bedenawa soropoda saha theropod lesa
කාබනික සංයෝගවල සමාවයවිකතාව පහත ආකාරයට වර්ග කළ හැකි යි.	Kabanika sanyogawala samawayawikathawa pahatha akarayata warga kala heki y.
අභයගිරි විහාරයේ වු මුල හතරින් කපාරාමුලයේ භින්ෂුන්ගේ ජල පහසුව සඳහා කරවන ලද්දකි.	Abhayagiri viharaye wu mula hatharin kapalaramulaye bhiksunge jala pahasuwa sandaha karawana laddaki.
තම මයිලනුවන් අනුගමනය කරමින් පුජකවරයා ලබා ඔරතොරියානු නිකායට බැඳී ශ්‍රී ලංකාවටද පැමිණි කරවල්ලෝ පියතුමා මහනුවර වසුරිය රෝගීන්ට උපස්ථාන කරමින් සිටියදී මරණයට පත් වුයේ ය.	Thama mailanuwan anugamanaya karamin poojakawaraya laba orathoriyanu nikayata bandee sri lankawatada pemini karawallo piyathuma mahanuwa wasuriya rogeenta upasthana karamin sitiyadei maranayata path wuye ya.
මෙම ගෝත්‍රය උසස්ම රොඩී ගෝත්‍රයයි.	Mema gothraya usasma rodee gothrayai.
අනතිමානී යනු නිහතමානී බවයි.	Anathimani yanu nihathamani bawai.
සුළු වශයෙන් වගා කරනු ලබන බිම්මල් වර්ග.	Sulu washayen waga karanu labana bimmal warga
ක්‍රිටැසියස් මහා නශ්ඨ වීම	Kritasiyas maha nashta weema
හුක්ගේ නියමය ප්‍රයෝජනවත් සන්නිකර්ෂණයක් වන්නාවූ ද්‍රව්‍යයන් රේඛීය-ප්‍රත්‍යාස්ථ හෝ "හුක්යානු" ද්‍රව්‍යයන් ලෙසින් හැඳින්වෙති.	Hukge niyamaya prayojanawath sannikarshanayak wannawu drawyayan rekheeya-prathyastha ho ''hukyanu'' drawyayan lesin handinwethi.
1960 වසරේදී, පක්ෂ නායක අන්නාදුරෙයි ගේ සහභාගීත්යෙන් තොරව පැවැත්වූ ඩීඑම්කේ (DMK) පක්ෂ රැස්වීමක තිබූ පක්ෂ වැඩසටහනකින්, ද්‍රවිඩනාඩු ඉල්ලීම පිළිබඳ කොටසක් ඉවත් කරන ලදී.	1960 wasaredi, paksha nayaka annadurei ge sahabagithwayen thorawa pawathu DMK (DMK) paksha resweemaka thibu paksha wedasatahanakin, dravidanadu illeema pilibanda kotasak iwath karana ladi.
ගා ගත් හකුරු හොඳින් කැට හැර පොඩි කර ගන්න.	Ga gath hakuru hondin keta hera podi kara ganna.
අනුරාධපුර තෙවන දළදා මාළිගාව	Anuradhapura thewana dalada maligawa
ගුණෝත්තර ශ්‍රේඪියක හැසිරීම පොදු අනුපාතයේ අගය මතරඳා පවතී. පොදු අනුපාතය	Gunoththara sreniyaka hasireema podu anupathaye agaya matha randa pawathi. Podu anupathaya
විලයනය හා විඛණ්ඩනය වැනි න්‍යෂ්ටික ප්‍රතික්‍රියා අධ්‍යයනයට විකිරණ - රසායනය හා විකිරණශීලී රසායනය යන අංශ දෙකේම සම්මිශ්‍රණයක් යොදා ගනී.	Wilayanaya ha wikandanaya weni nyashtika prathikriya adyanayata wikirana - rasayanaya ha wikiranasheeli rasayanaya yana ansha dekema sammishranayak yoda gani.
ඉංග්‍රිසි යුගයේ ඉදිකල බව සැලකෙන රිමාන්ඩ් බන්ධනාගාරය මෑතක් වනතුරු බෝධීන් වහන්සේට දකුණු පසට වන්නට තිබී ඇති අතර පසුව බෝධි භාරකාර මණ්ඩලයේ ඉල්ලීම මත එම ස්ථානයෙන් බැහැර කර තිබේ.	Engreesi yugaye idikala bawa selaken rimand bhandanagaraya methak wanathuru bodhin wahanseeta dakunu pasata wannata thibi athi athara pasuwa bodhi bharakara mandalaye illeema matha ema sthanayen behara kara thibe.
එහි පැමිණි ජුසේවාස් පියතුමාට දැකගත හැකිවන්නේ දෙකඩවී වෙන්වීගිය කතෝලික සභාවක්ය.	Ehi pamini jusewas piyathumata dekagatha hekiwanne dekadawee wenweegiya katholika sabhawakya.
