پاڪستان	Pakistan
خان	khanu
جي	je
جوڙايل	jodrael
مسجد	masjid
جي	je
ديوارن	dewaaran
تي	te
چٽسالي	chttsaalae
به	bi
آرٽ	aartt
جو	jo
نادر	nadaru
نمونو	nmuno
آهي.	ahe.
</s>	</s>
ٻوڏ	bod
سبب	sababu
سنڌ	sindh
جا	jaa
ڪيترائي	ketrai
علائقا	alaiqa
پاڻي	paani
هيٺ	heth
اچي	ache
ويا.	wiya.
</s>	</s>
1969ع	1969a
۾	men
سرڪاري	sarkaari
نوڪري	nokri
ڇڏيائين،	chhadeian,
جنهن	jahin
کان	khan
پوءِ	poi
پنهنجي	pahinje
مدد	madad
پاڻ	paan
تحت	tht
سنڌ	sindh
جي	je
-تاريخ-،	-taarikha-,
جاگرافيءَ،	jaagrafeea,
قديم	qadim
آثارن،	aasarn,
معدنيات	maduniyaat
۽	aen
پاڻياٺ	paaniuthu
تي	te
-تحقيق-	-tahqeeq-
ڪرڻ	karanu
۾	men
مشغول	mshgol
رهيو.	rahiyo.
</s>	</s>
خاص	khaas
طور	toru te
عالمي	aalimi
بئنڪ	bink
۽’آئي	aen
ايم ايف‘	'IMF'
جي	je
اڀياس	abhyaas
موجب،	mojib,
دنيا	duniyaa
۾	men
جيڪي	jeke
به	bi
سرڪارو	sarkaaro
ڪرپشن،	karpshn,
پنهنجن	pahinjan
کي	khe
نوازڻ،	nawaznr,
آمريت	aamreeta
۽	aen
ڪٽرپڻي	kttrpinue
جو	jo
شڪار	shikaar
آهن،	ahin,
سي	se
حڪمرانيءَ	hukumrunaea
جي	je
بهتر	behtar
ماڊل	madl
طور	toru
پيش	peshu
نه	na
ٿيون	thiyun
ڪري	kare
سگهجن.	sghujan.
</s>	</s>
شاهه	shah
لطف	ltf
الله	allah
قادري	kadarue
پنهنجي	pahinje
زماني	zamane
جو	jo
عالم	aalam
۽	aen
قادري	kadarue
طريقي	tareqe
جو	jo
بزرگ	buzrig
هو.	ho.
</s>	</s>
عبدالعزيز	abdalazez
چانڊيو،	chunadio,
جنهن	jahin
جو	jo
ادبي	adabi
نالو	naalo
عزيز	azez
قاسماڻي	qaasimunue
آهي،	ahe,
هڪ	hiku
ليکڪ	lekhaku
۽	aen
اديب	adibu
آهي.	ahe.
</s>	</s>
هاڻوڪيءَ	haaniokea
سنڌي	sindhi
ملت	milt
۾	men
جهڙيءَ	jahrea
طرح	taraha
عرب،	arba,
پٺاڻ،	pthunu,
مغل،	mugal,
ايراني	eraane
۽	aen
هندي،	hande,
سماٽ	smatt
قومون	komun
شامل	shaamil
آهن،	ahin,
تهڙيءَ	tadrea
طرح	taraha
’بروهي	'brohe
ڪنفيڊريسي‘	kanfeedrese'
به	bi
مختلف	mukhtalif
نسلن	nasaln
جي	je
قومن	qomun
جو	jo
مجموعو	mjmoao
آهي.	ahe.
</s>	</s>
’صنعت‘	snat'
جو	jo
فارسي	faarsi
کان	khan
علاوه	ilawaa
سنڌي	sindhi
۾	men
به	bi
گهڻو	ghano
ڪلام	kalaam
هو،	ho,
جو	jo
بي	be
توجهي	twijhe
سبب	sababu
محفوظ	mahfooz
رهي	rahe
نه	na
سگهيو.	saghiyo.
</s>	</s>
ڪيترين	ketren
روايتن	rawaayatn
۾	men
-ان-	-una-
کي	khe
حضرت	hazrat
ادريس	adarues
عه	ah
جي	je
اولاد	olaad
منجهان	manjhaan
ڏيکاريو	dekhareo
ويو	wayo
آهي.	ahe.
</s>	</s>
ھڪ	hiku
منتظمن	mantzman
يا	yaa
ڊائريڪٽرز	dairekttrz
جي	je
مجلس	mjls
جيڪا	jekaa
ھڪ	hiku
اسڪول،	iskool,
ڪاليج	kalej
يا	yaa
يونيورسٽي	univeristy
جي	je
منتظم	mantzm
ھوندي	honde
آھي-	aahe-
</s>	</s>
بيهڪ	behiku
جون	joon
نشانيون	nishaaneon
ٻولي	boli
جي	je
مقصد	maqsad
۽	aen
معنيٰ	maina
سمجھڻ	smjhnr
جو	jo
وسيلو	waselo
آهن.	ahin.
</s>	</s>
آروهي	aarohe
۾	men
مڌم	mdhm
تيور	teor
هنيو	hinaeo
ويندو	windo
آهي	ahe
۽	aen
انهيءَ	unahia
ڪري	kare
ايمن	aemn
جو	jo
رنگ	rang
چٽو	chtto
ٿيندو	thindo
آهي،	ahe,
پر	para
-امروهي-	-amrohe-
۾	men
مڌم	mdhm
شڌ	shdh
سبب	sababu
وري	wari
-بلاول-	-blawal-
جو	jo
رنگ	rang
نکري	nkhre
ٿو.	tho.
-بلاول-	-blawal-
۾	men
نکاد	nkhad
وڪر	okar
آهي.	ahe.
</s>	</s>
بهرحال	bahrhaal
ضرورتن	zarooratn
۽	aen
قيمتن	qeematn
جي	je
اثر	asaru
هيٺ	heth
طلب	tlb
۾	men
ٿيندڙ	thindar
تبديلين	tbdelen
جي	je
ڪري	kare
آخرڪار	aakhirkaar
مستحڪم	msatahukum
حالت	haalat
تڏهن	tadahin
وڃي	waji
بيهندي	behande
جڏهن	jadahin
روانگي	roangae
مال	maal
جي	je
ڪمائي	kamaie
۽	aen
آمدني	aamdne
مال	maal
جو	jo
خرچ	kharch
برابر	baraabar
ٿيندا.	thindaa.
</s>	</s>
غزوه	gzoh
بواط	boat
</s>	</s>
سو	so
ئي	ie
ماکي	makhe
مکڻ	mkhnr
کائي.	khaai.
</s>	</s>
آئين	aain
۾	men
جمهوريت،	jhamooryat,
مساوات،	msaawaat,
رواداري،	roidaare,
سماجي	samaji
انصاف	insaaf
جا	jaa
اصول	asulu
اسلام	islaam
جي	je
عين	aen
مطابق	mutaabiqu
هوندا.	honda.
</s>	</s>
ميان	miyaan
غلام	ghulaamu
شاهه	shah
ڪلهوڙي	kulhodre
شاهپور	shaahpur
نالي	naale
هڪ	hiku
ٻيو	biyo
به	bi
شهر	shahru
-آباد-	-aabad-
ڪرايو	karayo
هو.	ho.
</s>	</s>
جيڪو	jeko
ڪبوتر	kbotr
جي	je
خاندان	khandaan
سان	saan
تعلق	tailq
رکي	rakhe
ٿو.	tho.
</s>	</s>
عمر	umar
رسيده	rsayadh
هجڻ	hujan
باوجود	bawajud
-آغا-	-aaga-
سيد	sayad
عبد	abd
علي	ali
شاهه	shah
شاعري	shaairi
۽	aen
خطابت	khatuabt
جي	je
سلسلي	silsile
کي	khe
-جاري-	-jaari-
رکندو	rakhando
اچي.	ache.
</s>	</s>
ان	una
جي	je
تعمير	taamir
مڪمل	mukamil
ٿيڻ	thiyan
تي	te
آتشبازيءَ	aatshbazea
جو	jo
مُظاهرو	muzaahiro
ڪيو	kayo
ويو.	wayo.
</s>	</s>
ٻج	bj
گهڻو	ghano
پيدا	pedaa
ڪندو	kando
آهي	ahe
جو	jo
پوکڻ	pokhnr
۾	men
ايندو	endo
آهي.	ahe.
</s>	</s>
پاڪستاني	pakistane
رانديگر	raandiegr
هن	hin
وقت	wakt
تائين	taaen
سڄيءَ	sajia
دنيا	duniyaa
۾	men
چئمپين	chimpen
آهن.	ahin.
</s>	</s>
هن	hin
ٺلهه	thlhh
ڀرسان	bharsaan
قديم	qadim
بستيءَ	bastea
جا	jaa
پڻ	pinu
آثار	aasar
آهن	ahin
جتي	jite
ٺڪراٺو	thkaruthuo
به	bi
وڏي	wade
مقدار	mkdar
۾	men
پکڙيل	pkhdrel
آهي.	ahe.
</s>	</s>
اذن	azn
خير	kher
صلي	Sal
الله	lallaahu
عليه	Alaihi
وسلم	Wasallam
</s>	</s>
هن	hin
تنظيم	tinzem
جو	jo
بنيادي	bunyaadi
مقصد	maqsad
ميمبر	member
ملڪن	mulkan
درميان	darumiyaan
واپار	waparu
کي	khe
هٿي	hthi
ڏيڻ	diyan
۽	aen
علائقي	ilaiqe
۾	men
گڏيل	gadiyal
منڊي	mandi
قائم	qaaim
ڪرڻ	karanu
آهي.	ahe.
</s>	</s>
آيو	aayo
جو	jo
وايو	oaeo
منڊل	mandl
ڪافي	kaafi
سنھو	sanho
آھي	aahe
جنھن	jahin
۾	men
مک	mkh
سلفر	slfr
ڊاء	da
آڪسائيڊ	aaksaaied
،	,
سلفر	slfr
مونوآڪسائيڊ	munoaaksaaied
،	,
سوڊيئم	sodiim
ڪلورائيڊ،	kuloraied,
ايٽومڪ	aettomk
سلفر	slfr
۽	aen
آڪسيجن	aaksejin
جا	jaa
ٽريسز	ttresz
مليا	milyaa
آھن	aahin
.	.
</s>	</s>
اُهو	uho
ڪنڀرن	kanbharn
کي	khe
چيڪي	cheke
مٽيءَمنجهان	matiamanjhaan
ٿانوَ	thunaoa
ٺاهيندي	thaahende
ڏسندو	dsando
هو.	ho.
</s>	</s>
سلطان	sultaan
غياث	gyaas
الدين	aldinu
-بلبن-	-blbin-
جي	je
وفات	wafaata
کان	khan
پوءِ	poi
جڏهن	jadahin
سندس	sandas
پوٽو	pwatio
689هه/	689hh/
1290ع	1290a
۾	men
-تخت-	-takht-
تي	te
ويٺو	wetho
۽	aen
سندس	sandas
حڪومتي	hukumate
دور	doru
۾	men
ملڪ	mulku
اندر	andar
افراتفريءَ	afraatifrea
جو	jo
ماحول	maahol
وڌي	wadhi
ويو	wayo
۽	aen
لاقانونيت	laaqaanoonet
کي	khe
هٿي	hthi
ملي،	mile,
تڏهن	tadahin
مرزاڻي	mirzaanre
قبيلي	qabile
جي	je
ماڻهن	manhun
حمل	hmil
خان	khanu
مرزاڻي	mirzaanre
چانڊئي	chunadie
جو	jo
مال	maal
اچي	ache
ڦريو،	phreo,
ڦريل	phrel
مال	maal
واپس	wapas
ڪرائڻ	karain
لاءِ	laai
ٻين	biyan
چانڊين	chunadin
سان	saan
گڏ	gadu
هي	he
درويش	daruoesh
به	bi
ساڻن	saanun
ويو.	wayo.
</s>	</s>
ليلہ	lela
مجنون	mjinon
</s>	</s>
1370ع	1370a
۾	men
فيروز	feroz
شاھ	shah
وري	wari
به	bi
بنگال	bingal
فتح	fateh
ڪرڻ	karanu
کان	khan
پوءِ	poi
بکر	bakhar
۾	men
آيو،	aayo,
۽	aen
اتان	utaan
وري	wari
ٺٽي	thate
۾	men
ويو.	wayo.
</s>	</s>
دنيا	duniyaa
جي	je
ھر	har
ڪنھن	kanhin
شيءِ	shai
جا	jaa
نالا	naalaa
۽	aen
ھر	har
ھڪ	hiku
معنيٰ	maina
جا	jaa
لفظ	lafuzu
ادبي	adabi
زبان	zibaan
۾	men
لڀندا	lbhnda
اھن.	ahina.
</s>	</s>
ان	una
کي	khe
معدي	made
جو	jo
ڇن	chhn
چئبو	chaibo
آهي.	ahe.
</s>	</s>
هي	he
ٿلهين	thlahin
۽	aen
ڦيڦين	phephen
عورتن	auratun
کي	khe
وڌيڪ	wadheeka
ٿيندو	thindo
آهي.	ahe.
</s>	</s>
گدرو	gdaruo
جيترو	jetro
ول	ol
جي	je
پاڙ	padr
کي	khe
ويجهو	wejho
هوندو	hondo
اوترو	otro
چڱو	chagu
ٿيندو.	thindo.
</s>	</s>
اڻويهين	unuwehin
صديءَ	sadia
۾	men
هن	hin
تنقيد	tanqid
کي	khe
مغربي	mgrbe
ادب	adabu
۾وڏي	menwade
مقبوليت	mqaboolet
حاصل	haasil
ٿي.	thi.
</s>	</s>
سنڌ	sindh
نئشنل	nishnl
اسٽوڊنٽس	asttodntts
فيڊريشن	feedreshn
قائم	qaaim
ٿي	thi
ته	ta
ان	una
جو	jo
هيءُ	heu
پهريون	pahriyun
صدر	sadar
چونڊيو.	chundaeo.
</s>	</s>
ان	una
کان	khan
پھريان	phareuna
گورنر	governor
دين	dinu
محمد	muhammad
جڏھن	jadahin
سنڌ	sindh
۾	men
قلم	qalam
92	92
نافذ	nafz
ڪري	kare
حڪومت	hukumat
جي	je
ڀڄ	bhj
ڊڪ	dk
پنھنجي	pahinje
ھٿ	hath
۾	men
رکي	rakhe
ته	ta
پير	peer
صاحب	saahiba
انھن	unhan
کان	khan
ٽي	te
اھم	ahm
ڪم	kam
ڪرايا	karayaa
جن	jin
۾	men
پير	peer
پاڳاري	paguare
جي	je
گدي	gde
بحال	bhaalu
ڪرائڻ	karain
،	,
فرنٽيئر	frnteir
ريگيوليشن	regewalidshn
رد	rd
ڪرائڻ	karain
۽	aen
ڪرمنل	karmanl
ٽرائلس	ttrails
ايڪٽ	aektt
ختم	khatam
ڪرائي	karaae
ڪري	kare
حرن	hrn
کي	khe
حاضرين	hazren
کان	khan
نجات	njaat
ڏياري۔	dyaare-
</s>	</s>
هن	hin
ئي	ie
سنڌو	sindhu
لکت	lakht
متعلق	mtailq
ٻڌايو	budhayo
ته	ta
اها	uha
ساڄي	sajue
کان	khan
کاٻي	khabi
پاسي	paase
لکي	likhi
ويندڙ	oenddr
رسم	rsm
الخط	alkhatu
هئي.	hui.
</s>	</s>
جيوڻي	jewanue
ٻائي	baie
سنڌ	sindh
۾	men
1928ع	1928a
۾	men
راڻيپور	raanipur
جي	je
بزرگ	buzrig
سائين	saain
صالح	saalih
شاهه	shah
جي	je
مريدياڻي	muridyaanre
ٿي.	thi.
</s>	</s>
ڪائنات	kaainaat
۾	men
گھٽ	ghtt
۾	men
گھٽ	ghtt
ٻه	baa
سئو	sio
ارب	arb
ڪهڪشان	khikushuna
آهن.	ahin.
</s>	</s>
حاڪم	haakim
علي	ali
شاهه	shah
بخاريءَ	bkharea
چواڻي	chounue
”هيءَ	"hia
آتم	aatm
ڪهاڻي	kahani
مواد	mawaadu
۽	aen
انداز	andaaz
بيان	bayaan
جي	je
خيال	khayaalu
کان	khan
منفرد	manfrd
آهي	ahe
۽	aen
بنيادي	bunyaadi
طرح	taraha
سڀ	sabhu
کان	khan
وڌيڪ	wadheeka
ساراهه	saaraah
لائق	laiq
هي	he
نقطو	nkto
آهي،	ahe,
جو	jo
ان	una
جي	je
ورق	ork
ورق	ork
۾	men
جرئت	jrit
جو	jo
اظهار	izhaaru
نمايان	nmaeuna
نظر	nazara
ايندو.“	endo."
</s>	</s>
انگريزن	angrezan
جي	je
دور	doru
۾،	men,
’نواب‘	'nawaab'
جو	jo
لقب،	lkb,
جهوناڳڙهه	jhonagudrhh
۽	aen
ڀوپال	bhopal
جي	je
حاڪمن	haakimn
کي	khe
مليو،	milyo,
سنڌ	sindh
۾	men
غيبي	gebe
خان	khanu
کي	khe
پڻ	pinu
’نواب‘	'nawaab'
جو	jo
لقب	lkb
ڏنو	dino
ويو.	wayo.
</s>	</s>
قمبر	kmbr
</s>	</s>
ــــــــــ	-
حيدرآباد:	hyderabad:
سنڌ	sindh
ٽيڪسٽ	tekstt
بوڪ	book
بورڊ.	Board.
</s>	</s>
ٻيا	biyaa
به	bi
ڪي	ke
قسم	qasam
ڏيهي	dehe
گدرن	gdarun
جا	jaa
تمام	tamam
چڱا	chnga
ٿيندا	thindaa
آهن،	ahin,
جن	jin
۾	men
خوشبو	khushbo
توڙي	tore
لذت	lzt
چڱي	chagi
ٿيندي	thindi
آهي.	ahe.
</s>	</s>
ايم	aem
فاسٽر،	fasttr,
بي	be
بي	be
سيءَ	sea
جي	je
نمائيندي	nmiande
کي	khe
وراڻيو:	waraniyo:
”آئون	"aaon
هڪ	hiku
عهد	ahd
(زمان)	(zmaan)
جو	jo
ليکڪ	lekhaku
هيس.	huyas.
</s>	</s>
مينگل	mengul
مشهور	mashuru
براهوي	bruhoe
قبيلو	kbelo
آهن.	ahin.
</s>	</s>
هن	hin
راڳ	raag
جي	je
آروهي	aarohe
امروهي	amrohe
هيءَ	hia
آهي.	ahe.
</s>	</s>
احمد	ahmad
اينڊ	and
سنز.	son's
</s>	</s>
حميري	hmeere
دور	doru
کان	khan
هينئر	hinar
تائين	taaen
هي	he
شهر	shahru
تمام	tamam
بهترين	bahtrain
انداز	andaaz
سان	saan
محفوظ	mahfooz
آهي	ahe
۽	aen
ان	una
۾	men
روايتي	rawaayate
مسجدون	masjidon
۽	aen
مڪان	mkuna
آهن.	ahin.
</s>	</s>
جيڪو	jeko
آيو	aayo
تي	te
زندگي	zindagi
نا	na
ممڪن	mumkin
بڻائي	bnraie
ڇڏي	chhade
ٿو.	tho.
</s>	</s>
شهدادپور.	Shahdadpur.
</s>	</s>
آبي	aabe
چڪر	chkar
جو	jo
محرڪ	mhrk
سِجُ	siju
آهي،	ahe,
جيڪو	jeko
سمنڊَ	samundua
جي	je
پاڻيءَ	paani
کي	khe
گرمائي	garamaie
ٿو.	tho.
</s>	</s>
وڌيڪ	wadheeka
چونڊ	chunda
ڏينهن:	denhan:
</s>	</s>
22	22
کان	khan
24	24
فيبروري	february
1974ع	1974a
تي	te
-ان-	-una-
وقت	wakt
جي	je
وزيراعظم	waziruaezam
ذوالفقار	zulfiqaar
علي	ali
ڀُٽي	bhute
جي	je
دور	doru
۾	men
لاهور	lahor
۾	men
اسلامي	islaami
ملڪن	mulkan
جي	je
سربراهن	sirbrahin
جي	je
ڪانفرنس	kanfirans
ٿي.	thi.
-ان-	-una-
موقعي	moqe
تي	te
جيڪو	jeko
گڏيل	gadiyal
اعلان	ailaan
پڌرو	padhiro
ٿيو،	thiyo,
سو	so
”اعلان	"ailaan
لاهور“	lahor"
جي	je
نالي	naale
سان	saan
مشهور	mashuru
آهي.	ahe.
-ان-	-una-
۾	men
چيو	chayo
ويو	wayo
ته:	ta:
(1)	(1)
مسلمان	musalman
قومن	qomun
جو	jo
-اتحاد-	-athad-
نسل	nasal
۽	aen
-ثقافت-	-skaft-
تي	te
نه،	na,
پر	para
مساوات	msaawaat
۽	aen
اخوت	akhot
تي	te
آهي،	ahe,
(2)	(2)
اسين	aseen
ايشيا،	aeshiyaa,
آفريڪا	aafrekaa
۽	aen
لاطيني	laatene
-آمريڪا-	-aamrika-
جي	je
مشترڪ	mshtrk
جدوجهد	jidojahad
سان	saan
گڏ	gadu
آهيون،	aahiyun,
(3)	(3)
اسين	aseen
مسلمانن	musalman
جي	je
يڪجهتيءَ	ekjhitea
کي	khe
فروغ	frog
ڏيڻ	diyan
جو	jo
عزم	azm
ڪريون	kariyun
ٿا،	thaa,
(4)	(4)
اسين	aseen
عرب	arba
ملڪن	mulkan
۽	aen
فلسطين	flsten
جي	je
-آزاديءَ	-aazaadia
جي	je
تحريڪ-	tahrik-
کي	khe
ساراهيون	saarahuyun
ٿا،	thaa,
(5)	(5)
اسين	aseen
اسلامي	islaami
ڪانفرنس	kanfirans
۽	aen
-ان-	-una-
جي	je
سيڪريٽريٽ	sekretraitt
جي	je
سرگرمين	sirgaramen
کي	khe
ساراهيون	saarahuyun
ٿا،	thaa,
(6)	(6)
اسين	aseen
جارحيت	jaarhet
جي	je
خلاف	khilaaf
آهيون،	aahiyun,
(7)	(7)
عرب	arba
ملڪن	mulkan
جي	je
مؤثر	msr
۽	aen
مڪمل	mukamil
حمايت	hmaet
هجڻ	hujan
گهرجي	ghurje
۽	aen
(8)	(8)
-بيت	-bet
المقدس-	almkds-
جي	je
آزاديءَ	aazaadia
جي	je
لاءِ	laai
گڏيل	gadiyal
جدوجهد	jidojahad
هئڻ	huwan
گهرجي.	ghurje.
</s>	</s>
پنگتي	pngte
جدائي	judaaie
هنن	hunan
۾	men
هڪ	hiku
عام	aam
قبول	qabool
ڪيل	kayal
اصول	asulu
ٿي	thi
ويل	wel
آهي.	ahe.
</s>	</s>
يورپ	urap
جا	jaa
ترقي	tarqi
پسند	pasnad
عناصر	anasr
۽	aen
جديد	jadid
خيالن	khayalan
جا	jaa
حامل،	hamil,
گهڻين	ghanin
تڪليفن	taklifn
۽	aen
قربانين	krbunaen
کانپوءِ	khapoi
انهيءَ	unahia
مذهبي	mazhabi
تنگ	ting
خياليءَ	khayaaluea
جي	je
ڀيد	bhed
ڀاون	bhon
کان	khan
مس	masa
پاڻ	paan
ڇڏائي	chhdaie
سگهيا	saghea
آهن.	ahin.
</s>	</s>
پنهونءَ	pnhona
جي	je
ڳولا	golaa
واري	ware
پنڌ	pandhu
۾	men
سسئيءَ	ssiea
جو	jo
ثابت	saabitu
قدم	qadam
رهڻ،	rahanu,
عزم	azm
۽	aen
استقلال	asataklaal
۾	men
ذرو	zro
به	bi
نه	na
لڏڻ،	ldnr,
دوزخ	dozkh
جھڙي	jhdre
ڏينهن	denhan
جو	jo
سفر	safaru
ڪرڻ،	karanu,
ڏکن	dkhanu
باوجود	bawajud
ڏوراپو	dorapo
نه	na
ڏيڻ	diyan
جو	jo
ذڪر	zikiru
نمايان	nmaeuna
ملي	mile
ٿو.	tho.
</s>	</s>
انهن	unhan
مان	maan
اتريون	utareon
ڦاٽ	phatt
سنڌ	sindh
جي	je
وچولي	wichwalid
جي	je
ڏاکڻين	dakhanin
ڀاڱي	bhange
مان	maan
سنڌوءَ	sindhua
کان	khan
ڇڳو	chhgo
آهي،	ahe,
سنڌوءَ	sindhua
جي	je
هيءَ	hia
ڇاڙهه	chhaadrhh
ڪڇ	kachh
جي	je
رڻ	rnr
کان	khan
ڏهه	daha
ميل	mel
مٿان	mathan
اچي	ache
پراڻ	paraunu
۾	men
پوي	pawe
ٿي.	thi.
</s>	</s>
باقي	baaqi
سندس	sandas
-ٻه	-baa
ڪتاب-	kitaab-
’رساله	'rsaalah
جهاد‘	jhaad'
۽	aen
’ملن	'milan
جو	jo
مرشد‘	mrshd'
شايع	shayai
ٿيل	thiyal
آهن.	ahin.
</s>	</s>
جيڪو	jeko
ھنن	hinan
جي	je
مٿاڇري	mthaachhre
تي	te
ڄميل	jmel
برف	brf
کي	khe
پگھاري	pghare
ڇڏي	chhade
ٿي.	thi.
</s>	</s>
ٻنهي	binhi
پنهنجي	pahinje
لشڪر	lashkar
کي	khe
چندر	chandr
جي	je
حد	hada
۾	men
هاسي	haase
ندي	nde
جي	je
ڪپ	kp
تي	te
اچي	ache
گڏ	gadu
ڪيو	kayo
۽	aen
ڀرسان	bharsaan
واري	ware
قلعي	qile
ديوهپور	deohpur
(ديبالپور)	(debalpur)
تي	te
قبضو	kabzo
ڪيو	kayo
جتان	jitaan
اڳتي	agte
وڌي	wadhi
بندڪاهويا	bandkuhoyaa
پهچي	pahinje
مهينو	mheno
ترسيا	trsyaa
۽	aen
پوڄا	poja
پاٽ	patt
ڪئي.	kai.
</s>	</s>
جنگشاهي	jangshaahi
</s>	</s>
احمد	ahmad
اينڊ	and
برادرس.	brother's.
</s>	</s>
(2)	(2)
جسماني	jsmaani
محنت	mahnat
۽	aen
مشقت	mshkt
جو	jo
ڪم	kam
گهٽ	ghat
ڪجي	kaje
يا	yaa
احتياط	ahteat
سان	saan
ڪجي.	kaje.
</s>	</s>
اوچتو	ochito
ئي	ie
فالج	falj
جي	je
مرض	mrz
حملو	hamlo
ڪيو،	kayo,
۽	aen
ڳالهائڻ	gaalhainu
کان	khan
به	bi
معذور	mazor
ٿي	thi
ويو.	wayo.
</s>	</s>
انهن	unhan
تنظيمن	tinzeman
جو	jo
ڪم	kam
سنڌ	sindh
جا	jaa
مسئلا	masailaa
کڻڻ،	khananu,
انهن	unhan
جو	jo
حل	hl
ڳولڻ	golnr
۾	men
مدد	madad
ڪرڻ.	karanu.
</s>	</s>
ملڪي	mulkue
آزاديءَ	aazaadia
کان	khan
پوءِ	poi
مذهبي	mazhabi
آزاديءَ	aazaadia
۽	aen
تحرير	threr
۽	aen
تقرير	tkrer
جي	je
آزاديءَ	aazaadia
لاءِ	laai
هيٺينءَ	hethena
طرح	taraha
فضا	fza
قائم	qaaim
ڪئي	kai
وئي	wai
آهي:	ahe:
</s>	</s>
هن	hin
مان	maan
صاف	saafu
ظاهر	zaahir
آهي	ahe
ته	ta
سنسڪرت	sanskart
زبان	zibaan
جا	jaa
آرين	aaren
جي	je
بنيادي	bunyaadi
زبان	zibaan
آهي،	ahe,
ان	una
جي	je
وجود	wijood
کان	khan
هزارها	hazaarhaa
ورهيه	oraheh
اڳ	agu
مهراڻ	mehraan
جي	je
ماٿريءَ	matharea
توڙي	tore
بلوچستان	blochistaan
۾	men
دراوڙي	daruodre
ٻوليون	bolion
رائج	raij
هيون(1).	huyun(1).
</s>	</s>
ان	una
ڪري	kare
ئي	ie
پنھنجي	pahinje
وقت	wakt
جو	jo
حڪمران،	hukumruna,
عوام	awaam
جي	je
دلين	dilen
جي	je
آواز	aawazu
ٿي	thi
ويو	wayo
۽	aen
ھو	ho
اڄ	aju
به	bi
ايترو	aetro
ئي	ie
مقبول	mqabool
آھي	aahe
جيترو	jetro
اڳي	age
ھو.	ho.
</s>	</s>
فليطين	fleten
جا	jaa
مسلمان	musalman
پڻ	pinu
هن	hin
وقت	wakt
هتي	hite
الله	allah
جي	je
عبادت	abadt
ڪرڻ	karanu
ايندا	indaa
هئا	huwa
ان	una
کان	khan
پوءِ	poi
هن	hin
جڳه	jgh
کي	khe
مسجد	masjid
القصي	alkse
چوڻ	chawan
لڳا	laga
جنهن	jahin
جو	jo
مطلب	matlab
آهي	ahe
ته	ta
الله	allah
جي	je
عبادت	abadt
ڪرڻ	karanu
جو	jo
وڏي	wade
جاءِ.	jaai.
</s>	</s>
هن	hin
سينٽ	seentt
پيٽرڪ	peturk
هاءِ	haai
اسڪول	iskool
ڪراچيءَ	karachia
مان	maan
1971ع	1971a
۾	men
مئٽرڪ	mittrk
ڪئي.	kai.
</s>	</s>
هي	he
محل	mhl
نه	na
رڳو	rugo
ان	una
زماني	zamane
۾	men
پر	para
هاڻي	haani
به	bi
ڏاڍو	daadho
سهڻو	suhno
۽	aen
وڻندڙ	wananddr
آهي.	ahe.
</s>	</s>
مان	maan
سنڌ	sindh
۾	men
رهان	rhuna
ٿو،	tho,
سنڌ	sindh
جي	je
شين	shayun
کي	khe
سوين	soen
نه	na
بلڪه	balik
هزارين	hazaren
دفعا	dfaa
ڏٺو	ditho
اٿم،	atham,
پر	para
ڪن	kan
ڪن	kan
نظارن	nzarn
۽	aen
شين	shayun
جوذڪر	jozikiru
هريءَ	harea
اهڙي	ahre
نموني	namone
ڪيو	kayo
آهي،	ahe,
ڄڻ	jaanu
مان	maan
به	bi
سنڌ	sindh
۾	men
اهي	uhe
شيون	shayun
پهريون	pahriyun
ڀيرو	bhero
ڏسي	disi
رهيو	rahiyo
هجان.	hjaan.
</s>	</s>
کوکر	khokhr
</s>	</s>
ٻئي	biay
ڀائر	bhair
عالم،	aalam,
فاضل	fazl
۽	aen
اهل	ahl
دل	dil
بزرگ	buzrig
هئا.	huwa.
</s>	</s>
هن	hin
وقت	wakt
نواب	nawaab
ولي	walid
محمد	muhammad
بهه	bih
جي	je
واپار	waparu
جي	je
حوالي	hawale
سان	saan
ايشيا	aeshiyaa
جي	je
وڏي	wade
منڊي	mandi
ليکي	lekhe
وڃي	waji
ٿي.	thi.
</s>	</s>
”دهليل	"dhalil
جو	jo
قلعو“	klao"
يعني	yaini
”دليل	"dilel
ڪوٽ“	kotu"
قديم	qadim
زماني	zamane
۾	men
سنڌو	sindhu
درياهه	darya
مان	maan
نڪرندڙ	nkarnddr
شاخ	shakh
”هاڪڙي	"haakdre
درياهه“	darya"
جي	je
ڪپ	kp
تي	te
ڏکڻ	dakhanu
اوڀر	obhar
۾	men
تعمير	taamir
ڪيل	kayal
هو	ho
۽	aen
اڄ	aju
تائين	taaen
اهو	uho
قلعو	klao
قائم	qaaim
آهي.	ahe.
</s>	</s>
هن	hin
ناچ	naach
۾	men
ادائن	adaain
جي	je
ڪا	kaa
خاص	khaas
بندش	bandsh
ناهي.	naahe.
</s>	</s>
ان	una
کان	khan
پوءِ	poi
ڪرنٽ	karntt
افيئر	afeeir
سيڪشن	sekshan
جو	jo
هيڊ	hed
۽	aen
اينڪر	aenkar
پرسن	parasan
طور	toru
پروگرام	prograam
”اڄ	"aju
جي	je
شخصيت	shakhisiyat
۽	aen
سنڌ	sindh
جو	jo
مقدمو“	mqadamo"
نالي	naale
تيز	tez
۽	aen
تکن	tkhanu
سوالن	sawaln
تي	te
مشتمل	mushtamil
پروگرام	prograam
